	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	2
	...Stop,	-2
	...Step,	-0.04
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	-2
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.99990653991699","1.41853206958586E-09","-1.99994850158691","-1.04761483044058E-07"
"2","0.53872","1.95990967750549","1.32996072488289E-10","-1.99994993209839","-1.00976230044125E-07"
"3","1.077549","1.91989541053772","3.37626107627109E-11","-1.99994897842407","-8.95144580681517E-08"
"4","1.099255","1.87990927696228","-1.59761544271664E-11","-1.99994206428528","-8.63592006794534E-08"
"5","1.120962","1.83992791175842","-5.91607804412142E-11","-1.99994254112244","-8.61408722130363E-08"
"6","1.142669","1.79991102218628","-9.63588861480069E-11","-1.99994349479675","-8.60720135165138E-08"
"7","1.681354","1.75992822647095","9.6967217241839E-12","-1.99994516372681","-8.59568629607566E-08"
"8","2.220205","1.71994686126709","1.13773469812006E-11","-1.99994087219238","-8.37703808542756E-08"
"9","2.241911","1.67991876602173","-3.63709583284244E-11","-1.99994730949402","-8.19989125488974E-08"
"10","2.263617","1.63993334770203","-7.68671792883424E-11","-1.99994969367981","-8.20560686065619E-08"
"11","2.802324","1.59991335868835","9.50801330029671E-12","-1.99994921684265","-8.19400440832396E-08"
"12","3.341232","1.55993819236755","1.12708089389235E-11","-1.99994778633118","-8.034540854851E-08"
"13","3.362939","1.51995635032654","-3.63522788260351E-11","-1.99994444847107","-7.94048062857655E-08"
"14","3.384646","1.47992777824402","-7.68617669510974E-11","-1.99994397163391","-7.93143186683665E-08"
"15","3.923388","1.43994212150574","9.65213759612782E-12","-1.99994516372681","-7.92659164972065E-08"
"16","4.462248","1.39995503425598","1.20950584617252E-11","-1.99995422363281","-7.82453071224154E-08"
"17","4.483955","1.35993957519531","-3.5535730608105E-11","-1.99995374679565","-7.73815642673981E-08"
"18","4.505661","1.31995010375977","-7.59109858305962E-11","-1.99995493888855","-7.73492132566389E-08"
"19","5.044434","1.27996420860291","1.02740524421385E-11","-1.99995470046997","-7.73214452465254E-08"
"20","5.583394","1.2399263381958","1.28884793462736E-11","-1.99995088577271","-7.64768159911E-08"
"21","5.6051","1.19993925094604","-3.47531309285998E-11","-1.99994826316833","-7.58146541102178E-08"
"22","5.626806","1.15995407104492","-7.51992149106151E-11","-1.99994778633118","-7.58308900117299E-08"
"23","6.165587","1.11993741989136","1.14868878298147E-11","-1.99994564056396","-7.57899769610049E-08"
"24","6.704446","1.07994866371155","1.31900193892087E-11","-1.9999475479126","-7.51361994844046E-08"
"25","6.726153","1.03995585441589","-3.44680325947699E-11","-1.99994730949402","-7.45553236924934E-08"
"26","6.74786","0.999938488006592","-7.50281850536716E-11","-1.99994564056396","-7.44989137047014E-08"
"27","7.286643","0.959938526153564","1.11988777626304E-11","-1.99994993209839","-7.44719272915972E-08"
"28","7.825514","0.919953346252441","1.3453674806152E-11","-1.99994850158691","-7.39362278068256E-08"
"29","7.847221","0.879931926727295","-3.42189783453239E-11","-1.99994516372681","-7.34104901312094E-08"
"30","7.868928","0.839933156967163","-7.46564060571941E-11","-1.99994587898254","-7.32625409227694E-08"
"31","8.407619","0.799900770187378","1.1979341130175E-11","-1.99994349479675","-7.33175014033804E-08"
"32","8.946473","0.759917259216309","1.37455940726894E-11","-1.99994587898254","-7.29168903035315E-08"
"33","8.968179","0.719928026199341","-3.39336059251849E-11","-1.99994921684265","-7.25018054481552E-08"
"34","8.989885","0.679900407791138","-7.45262532242386E-11","-1.99994587898254","-7.25165136827854E-08"
"35","9.528621","0.639906406402588","1.23826261744231E-11","-1.99994611740112","-7.24516908690021E-08"
"36","10.067483","0.599921464920044","1.40962363309738E-11","-1.99994683265686","-7.20883477356438E-08"
"37","10.08919","0.559896469116211","-3.37200163624818E-11","-1.99995040893555","-7.15910886128768E-08"
"38","10.110896","0.519905090332031","-7.4316955367415E-11","-1.99994897842407","-7.15891843583449E-08"
"39","10.649665","0.479914665222168","1.24783508179127E-11","-1.99994969367981","-7.16213932605569E-08"
"40","11.188568","0.439889430999756","1.45524859523904E-11","-1.9999520778656","-7.12057257601373E-08"
"41","11.210275","0.399890661239624","-3.3217633504945E-11","-1.99995064735413","-7.07826615098384E-08"
"42","11.231981","0.359898567199707","-7.37867753008992E-11","-1.99995112419128","-7.07970855273743E-08"
"43","11.77069","0.319872140884399","1.24847883767321E-11","-1.99995160102844","-7.07870029259539E-08"
"44","12.309744","0.279884815216064","1.41759520788654E-11","-1.99994897842407","-7.04041482890716E-08"
"45","12.331451","0.239895582199097","-3.36194162786629E-11","-1.99994897842407","-7.00054201274725E-08"
"46","12.353158","0.199888229370117","-7.43523229096432E-11","-1.99995088577271","-6.99442281870688E-08"
"47","12.891855","0.159890159964561","1.07759235562499E-11","-1.99994993209839","-6.99739217679962E-08"
"48","13.430744","0.119888022542","1.12354041001406E-11","-1.99994921684265","-6.964652499164E-08"
"49","13.452451","0.0798895880579948","-3.67354757724314E-11","-1.99994802474976","-6.93039297061659E-08"
"50","13.474157","0.0398849509656429","-7.79455180954791E-11","-1.99995279312134","-6.92886032993556E-08"
"51","14.012959","-0.000111794470285531","-2.9673574795247E-12","-1.99995255470276","-6.92777888389173E-08"
"52","14.551846","-0.0399932861328125","-1.36076688111997E-11","-1.99995541572571","-6.90029295924433E-08"
"53","14.573553","-0.0799939185380936","-6.39457861661974E-11","-1.99995517730713","-6.8633745797797E-08"
"54","15.112262","-0.119999647140503","-7.78580880322899E-11","-1.9999520778656","-6.86419028284035E-08"
"55","15.134126","-0.159996181726456","-1.33116365153008E-10","-1.99995565414429","-6.82105181226689E-08"
"56","15.155832","-0.199991747736931","-1.96650376538265E-10","-1.99995803833008","-6.8282091092442E-08"
"57","15.177538","-0.240016460418701","-2.7772509292312E-10","-1.99996018409729","-6.83519587596493E-08"
"58","15.199244","-0.280001640319824","-3.86695370169221E-10","-1.99996256828308","-6.84162060338167E-08"
"59","15.22095","-0.320016145706177","-5.36553357299852E-10","-1.99996018409729","-6.82765985970946E-08"
"60","15.242657","-0.360003709793091","-7.43059835883741E-10","-1.99996042251587","-6.83026897263517E-08"
"61","15.326432","-0.400027513504028","-2.42857822740916E-09","-1.99995994567871","-6.82875622715073E-08"
"62","15.348138","-0.440013408660889","-3.40003003529432E-09","-1.99995708465576","-6.81696761262174E-08"
"63","15.369845","-0.480039119720459","-4.50368897730868E-09","-1.9999577999115","-6.80969947097765E-08"
"64","15.391552","-0.520026206970215","-5.8954157111657E-09","-1.99995708465576","-6.82589060829741E-08"
"65","15.413259","-0.560047388076782","-7.47980077875354E-09","-1.99995350837708","-6.82248497696492E-08"
"66","15.434966","-0.600028276443481","-9.30021126777092E-09","-1.99995613098145","-6.8106601247564E-08"
"67","15.518852","-0.640051364898682","-1.08588462666148E-08","-1.99995183944702","-6.82474734503558E-08"
"68","15.540559","-0.680043697357178","-1.31537793990333E-08","-1.99995684623718","-6.82154777109645E-08"
"69","15.562266","-0.720066070556641","-1.59529562893113E-08","-1.99995565414429","-6.80863365687401E-08"
"70","15.583972","-0.760048151016235","-1.90451512338541E-08","-1.99995470046997","-6.79770693068349E-08"
"71","15.605679","-0.800060033798218","-2.27829097809717E-08","-1.99995422363281","-6.80222385085472E-08"
"72","15.627385","-0.840052843093872","-2.65690331957558E-08","-1.99995589256287","-6.81143887959479E-08"
"73","15.649092","-0.880070447921753","-3.07156433621003E-08","-1.99995470046997","-6.81609506614222E-08"
"74","15.670799","-0.920061826705933","-3.54156988180421E-08","-1.99995470046997","-6.81138274671866E-08"
"75","15.692506","-0.960084915161133","-4.09202449702661E-08","-1.99995350837708","-6.80241356576516E-08"
"76","15.714213","-1.00006914138794","-4.64579841263912E-08","-1.99995636940002","-6.80080987081055E-08"
"77","15.73592","-1.04008460044861","-5.27775547709552E-08","-1.9999566078186","-6.78473099924304E-08"
"78","15.757627","-1.08006930351257","-5.90701212388467E-08","-1.99995636940002","-6.79830236549606E-08"
"79","15.779333","-1.12008738517761","-6.66941559757106E-08","-1.99995613098145","-6.79521434676644E-08"
"80","15.80104","-1.16007494926453","-7.44435766364404E-08","-1.9999577999115","-6.78331986136982E-08"
"81","15.822747","-1.20009112358093","-8.36837088513676E-08","-1.99995899200439","-6.79775098433311E-08"
"82","15.844454","-1.24007654190063","-9.30632211293414E-08","-1.99995899200439","-6.78954634736328E-08"
"83","15.883478","-1.28008985519409","-1.01909634508957E-07","-1.99995827674866","-6.79483775911649E-08"
"84","15.905185","-1.32007265090942","-1.15691307200905E-07","-1.99995851516724","-6.78805562870366E-08"
"85","15.926892","-1.36009788513184","-1.26796720678612E-07","-1.99996066093445","-6.7845235207642E-08"
"86","15.948598","-1.40007925033569","-1.39484995997918E-07","-1.99996304512024","-6.78171616641521E-08"
