	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	2
	...Stop,	-2
	...Step,	-0.04
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	-4
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.99992799758911","1.18084431122156E-08","-4.00006771087646","-1.33708354610462E-07"
"2","0.083774","1.95993566513062","3.79596576394192E-09","-4.00015115737915","-1.30104666595798E-07"
"3","0.105481","1.91991472244263","2.31488117563572E-09","-4.00014162063599","-1.26801253941267E-07"
"4","0.127187","1.87993144989014","1.43918277295541E-09","-4.0001392364502","-1.25761872027397E-07"
"5","0.665886","1.83994817733765","3.38997718785095E-10","-4.00013208389282","-1.26111871168177E-07"
"6","0.687592","1.79993653297424","2.69702066235666E-10","-4.00011777877808","-1.18643882274228E-07"
"7","0.709299","1.7599503993988","2.02909342106317E-10","-4.00016069412231","-1.17898345308731E-07"
"8","0.731006","1.71997952461243","1.41150827137615E-10","-4.0001392364502","-1.18076208366347E-07"
"9","1.269701","1.67992925643921","6.83993001127092E-11","-4.00011539459229","-1.17915035957594E-07"
"10","1.291408","1.63994646072388","1.86896453174823E-11","-4.00010347366333","-1.14785912330717E-07"
"11","1.313115","1.59992790222168","-2.45136272392088E-11","-4.00011539459229","-1.15356684204926E-07"
"12","1.334821","1.55994987487793","-6.19620466046911E-11","-4.00010585784912","-1.15010145407268E-07"
"13","1.356527","1.51995658874512","-9.43951861120951E-11","-4.00011539459229","-1.14368198467218E-07"
"14","1.895308","1.47994065284729","3.27824330181858E-11","-4.00011777877808","-1.14438059028998E-07"
"15","2.434278","1.43994879722595","3.34883683283937E-11","-4.0001106262207","-1.12764595883164E-07"
"16","2.455985","1.39996314048767","-1.42523050652987E-11","-4.00011777877808","-1.10660550944885E-07"
"17","2.477692","1.35994482040405","-5.48892736818019E-11","-4.00010585784912","-1.10663769703478E-07"
"18","2.499399","1.31996035575867","-8.97287591450358E-11","-4.00012254714966","-1.10926627883146E-07"
"19","3.038205","1.27997422218323","2.91633592275353E-11","-4.00011539459229","-1.10663769703478E-07"
"20","3.577077","1.23993730545044","3.13871047208369E-11","-4.00013208389282","-1.09362723321738E-07"
"21","3.598784","1.19994640350342","-1.62446375795433E-11","-4.00013208389282","-1.08437660628624E-07"
"22","3.620491","1.15996313095093","-5.67197330769709E-11","-4.00018692016602","-1.08272907084483E-07"
"23","3.642197","1.11994099617004","-9.15318168481782E-11","-4.00017261505127","-1.08044865498869E-07"
"24","4.180901","1.07995390892029","2.86612504563077E-11","-4.00015354156494","-1.08224867290119E-07"
"25","4.719772","1.03996682167053","3.16078066497916E-11","-4.00011301040649","-1.07215043954056E-07"
"26","4.741478","0.999943733215332","-1.59921520470618E-11","-4.00007963180542","-1.06583833314744E-07"
"27","4.763184","0.959949254989624","-5.64058418028868E-11","-4.00009870529175","-1.06460568360944E-07"
