	Common Settings,	
	.Source/Sweep Points,	31
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	50 ms
	.NPLC,	3
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.333333333333333
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	0.1
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","1.07E-05","1","0.712339505884954","5","0.712339505884954"
"2","0.1554225","1","0.805160083717275","4.666666666667","0.805160083717275"
"3","0.2663053","1","0.521219323631944","4.333333333333","0.521219323631944"
"4","0.3745281","1","0.863996283553539","4","0.863996283553539"
"5","0.5147679","1","0.856982815478455","3.666666666667","0.856982815478455"
"6","0.62667","1","0.868936556330387","3.333333333333","0.868936556330387"
"7","0.7397113","1","0.451640554448422","3","0.451640554448422"
"8","0.8464856","1","0.0845234650580787","2.666666666667","0.0845234650580787"
"9","0.95726","1","0.773722114867401","2.333333333333","0.773722114867401"
"10","1.0641193","1","0.37921221292541","2","0.37921221292541"
"11","1.1755885","1","0.791892823200623","1.666666666667","0.791892823200623"
"12","1.2824707","1","0.0111075649089681","1.333333333333","0.0111075649089681"
"13","1.3898456","1","0.177339477081476","1","0.177339477081476"
"14","1.5037227","1","0.403267045693131","0.666666666667","0.403267045693131"
"15","1.6099027","1","0.920703649018287","0.333333333333","0.920703649018287"
"16","1.7223375","1","0.140986736929504","0","0.140986736929504"
"17","1.8288814","1","0.0510158571652211","-0.333333333333","0.0510158571652211"
"18","1.9420346","1","0.529871793710567","-0.666666666667","0.529871793710567"
"19","2.0475045","1","0.418398593281581","-1","0.418398593281581"
"20","2.1601352","1","0.595750056018936","-1.333333333333","0.595750056018936"
"21","2.2665551","1","0.179474088912585","-1.666666666667","0.179474088912585"
"22","2.3772372","1","9.9E+37","-2","9.9E+37"
"23","2.501442","1","0.974087141907815","-2.333333333333","0.974087141907815"
"24","2.6143187","1","0.801428344008247","-2.666666666667","0.801428344008247"
"25","2.7551831","1","0.529244340271337","-3","0.529244340271337"
"26","2.8767866","1","0.0749329785233983","-3.333333333333","0.0749329785233983"
"27","2.9881996","1","0.822662450756255","-3.666666666667","0.822662450756255"
"28","3.0947635","1","0.442165580784048","-4","0.442165580784048"
"29","3.2041248","1","0.673348113276692","-4.333333333333","0.673348113276692"
"30","3.3168031","1","0.376620446041515","-4.666666666667","0.376620446041515"
"31","3.4232493","1","0.817946039986772","-5","0.817946039986772"
