	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	0.1
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.999948978424072","8.7636644821032E-06","5.00061750411987","1.57594677148154E-05"
"2","0.021707","0.99994158744812","7.81339167588158E-06","4.90080595016479","1.54256831592647E-05"
"3","0.043413","0.999943733215332","7.06875562173082E-06","4.80091094970703","1.498460824223E-05"
"4","0.06512","0.999935626983643","6.40906182525214E-06","4.70060110092163","1.56402584252646E-05"
"5","0.086827","0.999939203262329","5.796351160825E-06","4.60067749023438","1.52349475683877E-05"
"6","0.108534","0.999939441680908","5.30354145666934E-06","4.50045824050903","1.56879432324786E-05"
"7","0.13024","0.999941110610962","4.8257479647873E-06","4.40054655075073","1.54376029968262E-05"
"8","0.151946","0.999938249588013","4.4059679566999E-06","4.30012464523315","1.51515005200054E-05"
"9","0.173652","0.999938726425171","3.97443636757089E-06","4.20043230056763","1.52945522131631E-05"
"10","0.195359","0.999940395355225","3.59893920176546E-06","4.10054683685303","1.54614444909384E-05"
"11","0.217065","0.999939680099487","3.23425638271146E-06","4.00035619735718","1.498460824223E-05"
"12","0.238771","0.999942541122437","2.90933598989795E-06","3.90042543411255","1.50799751281738E-05"
"13","0.260478","0.999941825866699","2.59286048276408E-06","3.80029201507568","1.50442128870054E-05"
"14","0.282184","0.999939918518066","2.32076990869245E-06","3.70045185089111","1.509189587523E-05"
"15","0.30389","0.99994158744812","2.06810477720865E-06","3.60052108764648","1.53303153638262E-05"
"16","0.325597","0.999942302703857","1.85694807441905E-06","3.50034475326538","1.509189587523E-05"
"17","0.347303","0.999940395355225","1.64053437856637E-06","3.4004282951355","1.52826305566123E-05"
"18","0.369009","0.999938488006592","1.4472567499979E-06","3.30020427703857","1.4960765838623E-05"
"19","0.390715","0.999939203262329","1.2693917597062E-06","3.20034027099609","1.481771505496E-05"
"20","0.412421","0.99994158744812","1.12012855879584E-06","3.10020446777344","1.53541568579385E-05"
"21","0.451407","0.999939680099487","9.97060283225437E-07","3.00027847290039","1.48057943079039E-05"
"22","0.473114","0.999934911727905","8.52545724683296E-07","2.90040016174316","1.481771505496E-05"
"23","0.49482","0.999938011169434","7.39245763270446E-07","2.80022859573364","1.4960765838623E-05"
"24","0.516526","0.999939680099487","6.32958062851685E-07","2.70031690597534","1.5449524653377E-05"
"25","0.538233","0.999938726425171","5.34299033461139E-07","2.60015249252319","1.4960765838623E-05"
"26","0.559939","0.999942541122437","4.52729096878102E-07","2.50029563903809","1.47461896631285E-05"
"27","0.581646","0.999938011169434","3.82007584676103E-07","2.40043640136719","1.48773196997354E-05"
"28","0.603353","0.999940156936646","3.18669918897285E-07","2.3002028465271","1.47581104101846E-05"
"29","0.625059","0.999942064285278","2.6495050065023E-07","2.20034122467041","1.48296358020161E-05"
"30","0.646766","0.999942779541016","2.20207567735997E-07","2.10010051727295","1.44243240356445E-05"
"31","0.668473","0.999939680099487","1.82147616101247E-07","1.99996113777161","1.40428546728799E-05"
"32","0.690179","0.999940633773804","1.4705717887864E-07","1.89997887611389","1.42097478601499E-05"
"33","0.711885","0.999945878982544","1.17194410620414E-07","1.79998993873596","1.38998029797222E-05"
"34","0.812943","0.999941110610962","1.00899455901526E-07","1.70001006126404","1.44958494274761E-05"
"35","0.89664","0.999935865402222","8.31279791668749E-08","1.60002899169922","1.41382215588237E-05"
"36","0.918346","0.999943017959595","6.710721578429E-08","1.50003242492676","1.40428546728799E-05"
"37","0.940053","0.999943733215332","5.1004327872306E-08","1.40005087852478","1.45077710840269E-05"
"38","0.96176","0.999942541122437","3.98338073637206E-08","1.30002188682556","1.36017797558452E-05"
"39","0.983466","0.999945163726807","2.96645517039451E-08","1.20003747940063","1.43289571497007E-05"
"40","1.005173","0.999943971633911","2.1835839802975E-08","1.10004568099976","1.42335893542622E-05"
"41","1.026879","0.999943256378174","1.61443836077524E-08","1.00005221366882","1.41739847094868E-05"
"42","1.048585","0.999943256378174","1.13855600503143E-08","0.900057554244995","1.41143800647114E-05"
"43","1.132323","0.99994158744812","8.69420979654478E-09","0.800060510635376","1.43885617944761E-05"
"44","1.15403","0.999941349029541","6.11031047981214E-09","0.70005989074707","1.42574308483745E-05"
"45","1.175736","0.999939680099487","4.10213818469174E-09","0.600022315979004","1.41620639624307E-05"
"46","1.197443","0.999941825866699","2.68137334558105E-09","0.500033855438232","1.39474868774414E-05"
