	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	0.1
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.999950170516968","3.98503539195127E-12","5.00061511993408","1.48534772961284E-05"
"2","0.021706","0.999950885772705","3.57534900123635E-12","4.90041971206665","1.46627426147461E-05"
"3","0.043412","0.999951839447021","3.2176733066186E-12","4.80058193206787","1.48773196997354E-05"
"4","0.065118","0.999947547912598","2.91106700377186E-12","4.70031261444092","1.43647193908691E-05"
"5","0.086824","0.999950885772705","2.64707808624032E-12","4.60047960281372","1.44004825415323E-05"
"6","0.10853","0.999946594238281","2.4292588340219E-12","4.50023889541626","1.481771505496E-05"
"7","0.130236","0.999948501586914","2.2358655725474E-12","4.40040349960327","1.49488450915669E-05"
"8","0.151942","0.999949216842651","2.07133290554273E-12","4.30014133453369","1.49488450915669E-05"
"9","0.173648","0.999946355819702","1.92652946547078E-12","4.20028686523438","1.4352798643813E-05"
"10","0.195354","0.999948263168335","1.80789237747003E-12","4.10048246383667","1.44243240356445E-05"
"11","0.21706","0.999947071075439","1.71084403154803E-12","4.00019645690918","1.465082186769E-05"
"12","0.238766","0.999947071075439","1.63085463102813E-12","3.90033960342407","1.48415565490723E-05"
"13","0.260472","0.999952077865601","1.54805183429085E-12","3.80016565322876","1.42812732519815E-05"
"14","0.282179","0.999948024749756","1.4689206882107E-12","3.70034217834473","1.42335893542622E-05"
"15","0.303886","0.999950885772705","1.42018796896182E-12","3.60039949417114","1.42693525049253E-05"
"16","0.325592","0.999946594238281","1.36593579329325E-12","3.50025415420532","1.44958494274761E-05"
"17","0.347298","0.999946594238281","1.3259410930333E-12","3.40029001235962","1.44720079333638E-05"
"18","0.369004","0.999947071075439","1.28571990293952E-12","3.3001184463501","1.4352798643813E-05"
"19","0.39071","0.999943494796753","1.24828814819511E-12","3.20025682449341","1.42455101013184E-05"
"20","0.412417","0.999947309494019","1.22781992906162E-12","3.10006380081177","1.45077710840269E-05"
"21","0.434124","0.99994683265686","1.19767195293219E-12","3.00014734268188","1.47581104101846E-05"
"22","0.455831","0.999944448471069","1.1826157457831E-12","2.90030479431152","1.44720079333638E-05"
"23","0.477537","0.99994421005249","1.17182728364557E-12","2.80011892318726","1.41382215588237E-05"
"24","0.499243","0.999942541122437","1.15429161454822E-12","2.70019054412842","1.42574308483745E-05"
"25","0.520949","0.999947309494019","1.13312007346544E-12","2.60004758834839","1.44600871863076E-05"
"26","0.542656","0.99994683265686","1.12634901405784E-12","2.50016689300537","1.42216686072061E-05"
"27","0.564362","0.999947309494019","1.10442644613018E-12","2.4003005027771","1.40309339258238E-05"
"28","0.586069","0.999947071075439","1.09628441307547E-12","2.3000955581665","1.39951707751607E-05"
"29","0.607775","0.999946355819702","1.09828715132848E-12","2.20024585723877","1.43170354931499E-05"
"30","0.629481","0.999947547912598","1.09698773502476E-12","2.10000276565552","1.40786169140483E-05"
"31","0.651187","0.999947309494019","1.09169487685912E-12","1.99995064735413","1.39355661303853E-05"
"32","0.672893","0.99994969367981","1.07434991892391E-12","1.89997124671936","1.37805936901714E-05"
"33","0.6946","0.999947786331177","1.07296701905291E-12","1.7999804019928","1.35064128699014E-05"
"34","0.716307","0.999948501586914","1.07878452264981E-12","1.69999814033508","1.37329107019468E-05"
"35","0.738013","0.999948024749756","1.0791301663024E-12","1.60001587867737","1.36494636535645E-05"
"36","0.75972","0.999946594238281","1.06776957067845E-12","1.50002670288086","1.38163568408345E-05"
"37","0.781426","0.999948501586914","1.08225342750068E-12","1.40004062652588","1.33991243274068E-05"
"38","0.803133","0.999946594238281","1.07998852916236E-12","1.30001521110535","1.36375429065083E-05"
"39","0.82484","0.999947786331177","1.07150074403484E-12","1.20002126693726","1.35302543640137E-05"
"40","0.846546","0.999946355819702","1.07083320075724E-12","1.10002899169922","1.32679942907998E-05"
"41","0.868252","0.999947547912598","1.07356311340734E-12","1.0000376701355","1.38759614856099E-05"
"42","0.889958","0.99994945526123","1.07970240820904E-12","0.900043964385986","1.30653379528667E-05"
"43","0.911665","0.99994421005249","1.08901266910461E-12","0.800048828125","1.31607057483052E-05"
"44","0.933371","0.99994969367981","1.10452174750114E-12","0.700051784515381","1.30414964587544E-05"
"45","0.955078","0.999947309494019","1.13072398666425E-12","0.60001540184021","1.29938125610352E-05"
"46","0.976784","0.999947547912598","1.16337538560995E-12","0.500020265579224","1.32918357849121E-05"
"47","0.99849","0.999950408935547","1.20773313225242E-12","0.400024175643921","1.32560735437437E-05"
"48","1.020197","0.999947309494019","1.49031882754752E-12","0.300014019012451","1.32918357849121E-05"
"49","1.041903","0.999950408935547","1.93127393417758E-12","0.200012356042862","1.2981891813979E-05"
