	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	0.1
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.999952554702759","3.94281135518426E-12","5.00052452087402","1.33752828332945E-05"
"2","0.021706","0.99995231628418","3.53220707891011E-12","4.90033388137817","1.31845472424175E-05"
"3","0.043412","0.999953269958496","3.1795024512532E-12","4.80050802230835","1.29461286633159E-05"
"4","0.065118","0.99994969367981","2.87401677977195E-12","4.70024347305298","1.31487850012491E-05"
"5","0.086824","0.99995231628418","2.62422570652954E-12","4.60038661956787","1.29342079162598E-05"
"6","0.108531","0.999952793121338","2.40994702492558E-12","4.50018405914307","1.30653379528667E-05"
"7","0.130238","0.999953031539917","2.22864153347213E-12","4.40026998519897","1.36613844006206E-05"
"8","0.151944","0.999955654144287","2.07098726189014E-12","4.2999529838562","1.28984456750914E-05"
"9","0.173651","0.999955177307129","1.92533727676192E-12","4.20020818710327","1.28507617773721E-05"
"10","0.195357","0.999954462051392","1.79345611712317E-12","4.10032033920288","1.28984456750914E-05"
"11","0.217063","0.999952554702759","1.69112683925943E-12","4.00012969970703","1.31845472424175E-05"
"12","0.238769","0.999951839447021","1.59177781632741E-12","3.90031337738037","1.31368642541929E-05"
"13","0.260475","0.999952554702759","1.50635244295511E-12","3.8001012802124","1.29699710669229E-05"
"14","0.282181","0.999951362609863","1.44007212838498E-12","3.70023012161255","1.33395196826314E-05"
"15","0.303887","0.999952793121338","1.38221985940268E-12","3.60034465789795","1.29103664221475E-05"
"16","0.325594","0.99995493888855","1.33633620662266E-12","3.50018739700317","1.36971475512837E-05"
"17","0.3473","0.999954700469971","1.30795244426829E-12","3.40027093887329","1.35302543640137E-05"
"18","0.369006","0.999956130981445","1.27000807873673E-12","3.30010414123535","1.32441518871929E-05"
"19","0.390713","0.999950647354126","1.23044250569665E-12","3.20019721984863","1.30295757116983E-05"
"20","0.412419","0.99995493888855","1.20774505847632E-12","3.10003519058228","1.3613701412396E-05"
"21","0.434125","0.999954462051392","1.19575258982624E-12","3.00013542175293","1.3613701412396E-05"
"22","0.455831","0.999955892562866","1.17067098202861E-12","2.90027618408203","1.28626825244282E-05"
"23","0.477537","0.999953985214233","1.14018918005027E-12","2.80012607574463","1.35540967676206E-05"
"24","0.499244","0.999954462051392","1.13519436906184E-12","2.70018577575684","1.27434732348775E-05"
"25","0.52095","0.99995493888855","1.12372632900259E-12","2.60000467300415","1.32441518871929E-05"
"26","0.542657","0.999956607818604","1.1244297593721E-12","2.50015497207642","1.28507617773721E-05"
"27","0.564364","0.99995493888855","1.11432076673607E-12","2.40027666091919","1.37567521960591E-05"
"28","0.586071","0.999955177307129","1.10459330484453E-12","2.30007171630859","1.31607057483052E-05"
"29","0.607777","0.99995493888855","1.09866857365276E-12","2.20018863677979","1.34587289721821E-05"
"30","0.629483","0.999954223632813","1.09239819880841E-12","2.09999084472656","1.32441518871929E-05"
"31","0.65119","0.999953031539917","1.08453036048312E-12","1.99994778633118","1.30534172058105E-05"
"32","0.672896","0.999952554702759","1.0846138440504E-12","1.89996767044067","1.29222871692036E-05"
"33","0.694603","0.999957323074341","1.08050113994951E-12","1.79997706413269","1.31964688989683E-05"
"34","0.71631","0.99995493888855","1.07829576431046E-12","1.69999742507935","1.2648105439439E-05"
"35","0.738017","0.999952077865601","1.08492370903129E-12","1.60001373291016","1.2814998626709E-05"
"36","0.759723","0.999950885772705","1.07681756306849E-12","1.50002408027649","1.27077100842143E-05"
"37","0.781429","0.999955415725708","1.06941463063476E-12","1.40003991127014","1.31130218505859E-05"
"38","0.803136","0.999954223632813","1.05761287314682E-12","1.3000123500824","1.29461286633159E-05"
"39","0.824842","0.999954223632813","1.0651468856232E-12","1.20002055168152","1.25050546557759E-05"
"40","0.846548","0.999954223632813","1.05576517580447E-12","1.10003137588501","1.26957893371582E-05"
"41","0.868254","0.999955654144287","1.06666086553686E-12","1.00003933906555","1.30772596094175E-05"
