	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.999948501586914","2.25993043723172E-11","1.45435333251953E-05","-3.74198533270587E-10"
"2","0.083323","0.999948501586914","2.03384999813983E-11","1.5306473869714E-05","-3.59706986419184E-10"
"3","0.105029","0.99994969367981","1.98763488307163E-11","1.53303153638262E-05","-3.58531343502833E-10"
"4","0.126736","0.999948024749756","1.94902184669221E-11","1.30414964587544E-05","-3.54188428586255E-10"
"5","0.148442","0.999951362609863","1.91566953272604E-11","1.40428546728799E-05","-3.61296409456813E-10"
"6","0.170148","0.999948024749756","1.88606630313615E-11","1.38998029797222E-05","-3.84246467977079E-10"
"7","0.191854","0.999951124191284","1.85849911849001E-11","1.30653379528667E-05","-3.91838061997163E-10"
"8","0.213561","0.999946355819702","1.83358432603864E-11","1.14202503027627E-05","-3.89246440635205E-10"
"9","0.235268","0.999948501586914","1.81269894927727E-11","1.23262407214497E-05","-3.90395993310477E-10"
"10","0.256975","0.999949216842651","1.79535518396445E-11","1.49488450915669E-05","-3.79781595061246E-10"
"11","0.278682","0.999946594238281","1.7791367337705E-11","1.08718877527281E-05","-3.36927291622047E-10"
"12","0.300388","0.999945640563965","1.76699158777049E-11","1.15394595923135E-05","-3.287276006958E-10"
"13","0.322094","0.999948501586914","1.75472501112717E-11","8.70227813720703E-06","-3.36204869499923E-10"
"14","0.343801","0.999948263168335","1.73872357484006E-11","1.02281574072549E-05","-3.30447558205549E-10"
"15","0.365507","0.999944448471069","1.72689917921076E-11","1.07765199572896E-05","-3.30826394057127E-10"
"16","0.387213","0.99994683265686","1.71328784492886E-11","1.08480453491211E-05","-3.60117907716173E-10"
"17","0.408919","0.999948024749756","1.70172938240842E-11","1.17063527795835E-05","-3.76270764546049E-10"
"18","0.430626","0.999947786331177","1.68966420716066E-11","1.24454500110005E-05","-3.73234498862729E-10"
"19","0.452332","0.999944686889648","1.67786357724298E-11","1.08480453491211E-05","-3.73337499803839E-10"
"20","0.474038","0.999947547912598","1.66911120341728E-11","1.23023992273374E-05","-3.75540376573724E-10"
"21","0.495745","0.999947547912598","1.66329987977276E-11","1.18732450573589E-05","-3.65778185518195E-10"
"22","0.517452","0.999948740005493","1.65673846169723E-11","1.33514404296875E-05","-3.56625895481244E-10"
"23","0.539159","0.99994683265686","1.65213225045147E-11","1.52826305566123E-05","-3.51876500159776E-10"
"24","0.560866","0.999945640563965","1.64927481394184E-11","1.52826305566123E-05","-3.45415224201062E-10"
"25","0.582572","0.999944686889648","1.64898043136796E-11","1.41620639624307E-05","-3.45486750319424E-10"
"26","0.604278","0.999948501586914","1.64690969195469E-11","1.38998029797222E-05","-3.85070197950199E-10"
"27","0.625985","0.999948263168335","1.64590355233862E-11","1.29222871692036E-05","-4.02368527385732E-10"
"28","0.647692","0.999949216842651","1.64235239991095E-11","1.29938125610352E-05","-4.00146943357882E-10"
"29","0.669398","0.999951839447021","1.64085151715954E-11","1.17778781714151E-05","-3.98381466704123E-10"
"30","0.691104","0.999944686889648","1.63866524516276E-11","1.27792363855406E-05","-3.92281762628954E-10"
"31","0.71281","0.999948501586914","1.63511513356918E-11","1.09672546386719E-05","-3.7505054617526E-10"
"32","0.734517","0.999945640563965","1.63073061998364E-11","1.21831899377867E-05","-3.59857199594416E-10"
"33","0.756223","0.999946594238281","1.63009761938726E-11","1.32560735437437E-05","-3.57659568628321E-10"
"34","0.777929","0.999946594238281","1.62813061643785E-11","1.36613844006206E-05","-3.50635520618425E-10"
"35","0.799635","0.999945163726807","1.6285098269897E-11","1.53541568579385E-05","-3.43800293789442E-10"
"36","0.821341","0.999946117401123","1.62678724657805E-11","1.49488450915669E-05","-3.5379754681486E-10"
"37","0.843047","0.999946594238281","1.62284369970012E-11","1.4519691831083E-05","-3.67822272639984E-10"
"38","0.864753","0.999945402145386","1.61880734511621E-11","1.24454500110005E-05","-3.57069374068431E-10"
"39","0.886459","0.99994683265686","1.6135657046612E-11","1.66893005371094E-05","-3.58645779741096E-10"
