	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	2
	...Stop,	-2
	...Step,	-0.04
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	4
	...Limit,	0.001
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	Once
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.99992823600769","3.9415858736902E-06","4.00026321411133","1.2275337724077E-07"
"2","0.100689","1.95991969108582","3.70323300558084E-06","4.00026559829712","1.22871284702342E-07"
"3","0.122395","1.91990327835083","3.62478135684796E-06","4.00027275085449","1.21909380368379E-07"
"4","0.144101","1.87992000579834","3.55860697709431E-06","4.00025606155396","1.21178032941316E-07"
"5","0.165808","1.83993601799011","3.50985396835313E-06","4.00025606155396","1.20512837042952E-07"
"6","0.187514","1.79992294311523","3.39880466526665E-06","4.00022745132446","1.19833472922437E-07"
"7","0.20922","1.75993967056274","3.33783259520715E-06","4.00022268295288","1.19412305821243E-07"
"8","0.230927","1.71995639801025","3.25235828313453E-06","4.00024890899658","1.18775488999745E-07"
"9","0.252634","1.67992806434631","3.19619880428945E-06","4.00019884109497","1.1814189093684E-07"
"10","0.274341","1.63994359970093","3.106782287432E-06","4.00023937225342","1.17880823324867E-07"
"11","0.296048","1.59992456436157","3.03132287626795E-06","4.00025129318237","1.17698434110025E-07"
"12","0.317755","1.55994653701782","2.97742349175678E-06","4.00025844573975","1.17111923714219E-07"
"13","0.339461","1.51995134353638","2.89206741399539E-06","4.00020360946655","1.16695645147047E-07"
"14","0.361167","1.47993493080139","2.8135084448877E-06","4.0001916885376","1.1627233220679E-07"
"15","0.382874","1.4399471282959","2.72129182121716E-06","4.00016307830811","1.16023542773291E-07"
"16","0.40458","1.39996433258057","2.6659201921575E-06","4.00017738342285","1.15680812484698E-07"
"17","0.426286","1.35994672775269","2.60039792010502E-06","4.00019884109497","1.15246415077763E-07"
"18","0.447993","1.31996202468872","2.52495988206647E-06","4.00017738342285","1.15068672812413E-07"
"19","0.4697","1.27997136116028","2.46867648456828E-06","4.00022506713867","1.14659904681957E-07"
"20","0.491407","1.23993992805481","2.41804241341015E-06","4.00017499923706","1.1452305415105E-07"
"21","0.513114","1.19995355606079","2.34086974160164E-06","4.00016784667969","1.14114641291962E-07"
"22","0.534821","1.15996837615967","2.25026474254264E-06","4.00017976760864","1.13973499082931E-07"
"23","0.556528","1.11995124816895","2.17603428609436E-06","4.00017976760864","1.13705993953772E-07"
"24","0.578235","1.07996129989624","2.08664164347283E-06","4.00017976760864","1.13231656939661E-07"
"25","0.599942","1.03996825218201","2.01933130483667E-06","4.00019407272339","1.13234520426886E-07"
"26","0.621649","0.999945878982544","1.93886626220774E-06","4.00017023086548","1.12765668802695E-07"
"27","0.643356","0.959952831268311","1.85788860562752E-06","4.00019645690918","1.12582206668321E-07"
"28","0.665062","0.919964075088501","1.77903405074176E-06","4.00019407272339","1.12218977221801E-07"
"29","0.686768","0.879942178726196","1.69926283888344E-06","4.00020599365234","1.12395760254458E-07"
"30","0.708475","0.839946508407593","1.61439652401896E-06","4.00017261505127","1.12165807308884E-07"
"31","0.730182","0.799917459487915","1.53854841755674E-06","4.00021553039551","1.11871003127817E-07"
"32","0.751889","0.759931087493896","1.47178047882335E-06","4.00020360946655","1.11484048659349E-07"
"33","0.773595","0.719940423965454","1.39453163683356E-06","4.00019407272339","1.11344100162114E-07"
"34","0.795301","0.679913282394409","1.31323815821816E-06","4.00015830993652","1.11210582076637E-07"
"35","0.817008","0.639929533004761","1.23268716833991E-06","4.00019407272339","1.11111880585213E-07"
"36","0.838714","0.599931478500366","1.14939086870436E-06","4.00016069412231","1.11084816012408E-07"
"37","0.86042","0.55991005897522","1.06623292595032E-06","4.0001916885376","1.10780241868724E-07"
"38","0.89945","0.519913673400879","9.84633402367763E-07","4.00016069412231","1.10623716409464E-07"
"39","0.921157","0.479927778244019","9.10997414393933E-07","4.00018930435181","1.1039983860428E-07"
"40","0.942864","0.439900398254395","8.28618283321703E-07","4.00017261505127","1.10226395122481E-07"
"41","0.96457","0.399904251098633","7.4866233035209E-07","4.00022745132446","1.10145684573126E-07"
"42","0.986277","0.359910488128662","6.71727889312024E-07","4.00023460388184","1.09973314010858E-07"
"43","1.007984","0.319888591766357","5.92537162447115E-07","4.00021076202393","1.09871628239944E-07"
"44","1.02969","0.27989935874939","5.19394973252929E-07","4.00020837783813","1.09559657346381E-07"
"45","1.051397","0.23991322517395","4.38935757074432E-07","4.00017261505127","1.09515546853345E-07"
"46","1.073103","0.199905306100845","3.6224960808795E-07","4.0001654624939","1.0926830640301E-07"
"47","1.094809","0.15990836918354","2.86884187516989E-07","4.00019407272339","1.09162449746236E-07"
"48","1.116516","0.119909167289734","2.13490849887421E-07","4.00018930435181","1.09080311005982E-07"
"49","1.138223","0.0799095407128334","1.40423892958097E-07","4.00015354156494","1.09072324505632E-07"
"50","1.221942","0.0399029031395912","6.91543675657158E-08","4.00018453598022","1.08788491104406E-07"
"51","1.305643","-8.85248227859847E-05","1.07094888512904E-09","4.00017976760864","1.08237742324491E-07"
"52","1.38952","-0.0400144569575787","-6.17399251723327E-08","4.0001654624939","1.08015299815634E-07"
"53","1.428512","-0.0800133496522903","-1.23878962199342E-07","4.00018215179443","1.08301996704085E-07"
"54","1.450218","-0.120011977851391","-1.8825149084023E-07","4.00017499923706","1.07314825470439E-07"
"55","1.471924","-0.160006269812584","-2.49287239739715E-07","4.00016307830811","1.07248183667252E-07"
"56","1.493631","-0.199997618794441","-3.15428025032816E-07","4.00018930435181","1.0744440714916E-07"
"57","1.515338","-0.240021944046021","-3.87506020160799E-07","4.0001654624939","1.06884833428467E-07"
"58","1.537045","-0.280001640319824","-4.5761169076286E-07","4.00016307830811","1.07055186049365E-07"
"59","1.558752","-0.320031642913818","-5.38671145022818E-07","4.00012493133545","1.0695874408384E-07"
"60","1.580458","-0.360008001327515","-6.14540681453946E-07","4.00015592575073","1.06940269972711E-07"
"61","1.602164","-0.40003514289856","-7.0446168365379E-07","4.00017499923706","1.06809139310826E-07"
"62","1.623871","-0.440014600753784","-7.89071691542631E-07","4.00014162063599","1.06851338443903E-07"
"63","1.645578","-0.480043172836304","-8.84605753981305E-07","4.00017499923706","1.06406453426189E-07"
"64","1.667285","-0.520027875900269","-9.86473423836287E-07","4.00012969970703","1.06474040251214E-07"
"65","1.706365","-0.560054540634155","-1.09533664272021E-06","4.00014877319336","1.06256486276379E-07"
"66","1.728072","-0.60003137588501","-1.20135541692434E-06","4.00013208389282","1.06166481828041E-07"
"67","1.749779","-0.640052080154419","-1.33253092826635E-06","4.0001654624939","1.05909705894192E-07"
"68","1.771485","-0.680038452148438","-1.45053263622685E-06","4.00013446807861","1.06100557673017E-07"
"69","1.793191","-0.720062732696533","-1.59371256813756E-06","4.00018453598022","1.06193304816316E-07"
"70","1.814898","-0.760043859481812","-1.7230105413546E-06","4.00018215179443","1.05870959998811E-07"
"71","1.836604","-0.800055742263794","-1.86054580808559E-06","4.00020360946655","1.05909229830559E-07"
"72","1.858311","-0.840047359466553","-2.01172701963515E-06","4.00017261505127","1.05879422562793E-07"
"73","1.880018","-0.880067110061646","-2.20063930100878E-06","4.00017261505127","1.05635400871051E-07"
"74","1.901725","-0.920059680938721","-2.37248536905099E-06","4.00014877319336","1.05605721500979E-07"
"75","1.923433","-0.960077047348022","-2.54976635005733E-06","4.00014162063599","1.0548126994081E-07"
"76","1.94514","-1.00006818771362","-2.71763315140561E-06","4.0001654624939","1.05356214419317E-07"
"77","1.966847","-1.04007697105408","-2.90327898255782E-06","4.00013208389282","1.05163337593694E-07"
"78","1.988554","-1.08006238937378","-3.1345105071523E-06","4.00015115737915","1.0535776340248E-07"
"79","2.010261","-1.12009072303772","-3.31580031343037E-06","4.00017499923706","1.05314732934403E-07"
"80","2.031968","-1.16006970405579","-3.55638371729583E-06","4.0001368522644","1.05100987468632E-07"
"81","2.053675","-1.20008563995361","-3.80060669158411E-06","4.00017023086548","1.0512852810507E-07"
"82","2.075382","-1.240070104599","-4.05742866860237E-06","4.00016307830811","1.05288506802026E-07"
"83","2.097089","-1.28008699417114","-4.28039402322611E-06","4.00017738342285","1.04935168110387E-07"
"84","2.118796","-1.32006549835205","-4.54697237728396E-06","4.00016307830811","1.04952576407413E-07"
"85","2.140503","-1.36008739471436","-4.81816641695332E-06","4.00014162063599","1.04971292103073E-07"
"86","2.16221","-1.40007042884827","-5.09295796291553E-06","4.00014400482178","1.04705094372548E-07"
"87","2.183917","-1.44009113311768","-5.3843423302169E-06","4.00013208389282","1.04675770273843E-07"
"88","2.205624","-1.48006296157837","-5.77483751840191E-06","4.00015592575073","1.04720591309615E-07"
"89","2.227331","-1.52008438110352","-6.07882475378574E-06","4.00016069412231","1.04662653654941E-07"
"90","2.249038","-1.56006026268005","-6.32144929113565E-06","4.00018215179443","1.04552270840941E-07"
"91","2.270745","-1.60008358955383","-6.59171791994595E-06","4.00017261505127","1.04504110254311E-07"
"92","2.292452","-1.64006018638611","-6.9628176788683E-06","4.00016307830811","1.0449779352939E-07"
"93","2.314159","-1.68007230758667","-7.3061082730419E-06","4.00015592575073","1.04368922393405E-07"
"94","2.335865","-1.72005081176758","-7.60827879275894E-06","4.00015830993652","1.04289057389906E-07"
"95","2.357572","-1.76006412506104","-8.0272184277419E-06","4.00012731552124","1.04232910302926E-07"
"96","2.379278","-1.80004024505615","-8.38351388665615E-06","4.00014877319336","1.04206797857387E-07"
"97","2.400984","-1.8400547504425","-8.72855071065715E-06","4.00010585784912","1.04039784787346E-07"
"98","2.422691","-1.88004064559937","-9.13481926545501E-06","4.00014638900757","1.040138002395E-07"
"99","2.444398","-1.92005205154419","-9.58094096858986E-06","4.00013446807861","1.03803394324586E-07"
"100","2.483208","-1.96005868911743","-9.8799346233136E-06","4.00010824203491","1.03953482266661E-07"
"101","2.50506","-2.00004196166992","-1.02731464721728E-05","4.00011777877808","1.03962541686542E-07"
