	Common Settings,	
	.Source/Sweep Points,	100000
	.Repeat,	0
	.Source to Measure Delay,	0.05
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	3
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.999978542327881","2.19227786146803E-06","3.00015687942505","7.20649007135421E-09"
"2","0.128647","0.999973058700562","2.07066887014662E-06","3.00018548965454","6.42710196174789E-09"
"3","0.195353","0.999974012374878","2.03159083866922E-06","3.00015449523926","5.91179238895734E-09"
"4","0.262059","0.999975442886353","1.99257851818402E-06","3.00015449523926","5.53560131066888E-09"
"5","0.328765","0.999970674514771","1.95632810573443E-06","3.00015449523926","5.24902699083896E-09"
"6","0.395471","0.999974727630615","1.92259176401421E-06","3.00017833709717","5.01902697180867E-09"
"7","0.462177","0.999975204467773","1.89337606570916E-06","3.00016641616821","4.83072160051279E-09"
"8","0.528883","0.999974727630615","1.86565273452288E-06","3.00015449523926","4.67596050768293E-09"
"9","0.595589","0.99997353553772","1.8417048295305E-06","3.00014972686768","4.53732962313325E-09"
"10","0.662295","0.999975204467773","1.8175362583861E-06","3.00015449523926","4.41886882640574E-09"
"11","0.729001","0.999974966049194","1.79262633537292E-06","3.00018310546875","4.31311830695336E-09"
"12","0.795708","0.999972820281982","1.77825086211669E-06","3.0001425743103","4.22056434246088E-09"
"13","0.862414","0.999972343444824","1.75448769823561E-06","3.00018072128296","4.14033429763094E-09"
"14","0.929121","0.999973297119141","1.73193927821558E-06","3.00016641616821","4.06725186863355E-09"
