drain Time (s),drain Current (A)
0.0,6.126046284832259e-12
0.143375,6.0893299951014795e-12
0.28675,6.11810688916359e-12
0.430125,6.14830278702905e-12
0.5735,6.1710714663321096e-12
0.716875,6.1728361137880494e-12
0.860251,6.1690808711434294e-12
1.003626,6.17729435312131e-12
1.147002,6.19261282877592e-12
1.290377,6.21024369082401e-12
1.433752,6.2509658907417e-12
1.577127,6.3030839228539495e-12
1.720502,6.27344834067123e-12
1.863877,6.3190581239824795e-12
2.007253,6.34443756211689e-12
2.150628,6.31507649992424e-12
2.294003,6.31777052548244e-12
2.437378,6.32690210985998e-12
2.580753,6.36290325983779e-12
2.724128,6.38643521747029e-12
2.867503,6.405782588397859e-12
3.010878,6.41039608548222e-12
3.154253,6.41269676249223e-12
3.297629,6.414366000156989e-12
3.441004,6.42334232678343e-12
3.584379,6.43093607879952e-12
3.727754,6.42316365026541e-12
3.87113,6.3978197739622496e-12
4.014505,6.3907386327333195e-12
4.15788,6.40082388134178e-12
4.301255,6.4041376368617595e-12
4.44463,6.34367471746833e-12
4.588005,6.344485267012479e-12
4.73138,6.30038989729576e-12
4.874756,6.295490170837859e-12
5.018131,6.34466437721137e-12
5.161507,6.40481721478348e-12
5.304882,6.43422598187171e-12
5.448257,6.4292668411347596e-12
5.591632,6.4047100956088295e-12
5.735007,6.39768836865895e-12
5.878382,6.412136446809489e-12
6.021757,6.408429342741329e-12
6.165132,6.4015745829260095e-12
6.308507,6.3904645464241095e-12
6.451882,6.37446649284779e-12
6.595257,6.37327430413892e-12
6.738633,6.3884379557233e-12
6.882009,6.43287896909261e-12
7.025385,6.45375246299817e-12
7.16876,6.43469088776327e-12
7.312135,6.46331339143602e-12
7.45551,6.4241767287753795e-12
7.598885,6.38370519639997e-12
7.74226,6.37462131691802e-12
7.885635,6.36830345401851e-12
8.02901,6.316590479837899e-12
8.172385,6.33720159681772e-12
8.31576,6.36067414017116e-12
8.459135,6.35615605287798e-12
8.60251,6.36044732507668e-12
8.745886,6.35544091312501e-12
8.889261,6.28792070495043e-12
9.032636,6.27198206565316e-12
9.176011,6.32662802355077e-12
9.319386,6.36084067362486e-12
9.462761,6.34251852427159e-12
9.606136,6.352079019028569e-12
9.749511,6.33957383117112e-12
9.892886,6.34132633556272e-12
10.036262,6.354451253381969e-12
10.179637,6.36508467460883e-12
10.323012,6.32554295401655e-12
10.466387,6.34189836062893e-12
10.609762,6.39648447056662e-12
10.753137,6.4047456574400894e-12
10.896512,6.42821776711267e-12
11.039887,6.418574005628839e-12
11.183262,6.41212473742603e-12
11.326637,6.41797769443397e-12
11.470012,6.41882423949025e-12
11.613387,6.4542412213375295e-12
11.756762,6.4914822649197996e-12
11.900137,6.50659821160859e-12
12.043513,6.5145853121728595e-12
12.186888,6.4699053406447294e-12
12.330264,6.44112844658262e-12
12.473639,6.47208718909664e-12
12.617015,6.4799545937410695e-12
12.76039,6.48658297214277e-12
12.903765,6.48410318493386e-12
13.04714,6.44899628490792e-12
13.190515,6.4276340326630004e-12
13.33389,6.39642505628757e-12
13.477264,6.37259472621721e-12
13.620639,6.4214349983216e-12
13.764014,6.435239494062549e-12
13.907389,6.44942519528735e-12
14.050764,6.454324921745249e-12
14.194139,6.44112844658262e-12
14.337514,6.448042620677e-12
14.480889,6.4310791934862896e-12
14.624264,6.4237595277794e-12
14.76764,6.39768836865895e-12
14.911015,6.3949587812695e-12
15.05439,6.3851120571389896e-12
15.197765,6.4096926551127095e-12
15.34114,6.39958398773732e-12
15.484515,6.375205485048549e-12
15.627891,6.39537598226547e-12
