drain Time (s),drain Current (A)
0.0,1.2316608843931902e-09
0.776704,1.22833965221503e-09
0.920079,1.25441068643539e-09
1.063454,1.22995014173455e-09
1.206829,1.2259137038839202e-09
1.350204,1.2469959509431301e-09
1.493579,1.22401122570892e-09
1.636954,1.23763677084554e-09
1.780329,1.22674459479555e-09
1.923704,1.2335491517134801e-09
2.067079,1.2293684958919502e-09
2.210455,1.23777743610276e-09
2.35383,1.2280344519055602e-09
2.497205,1.2289154138756e-09
2.64058,1.2613093902658102e-09
2.783955,1.25467780609512e-09
2.92733,1.2461459641954802e-09
3.070705,1.25632404479603e-09
3.214081,1.2822711781268502e-09
3.357456,1.28107191521565e-09
3.500831,1.2728321729937902e-09
3.644206,1.3121044251107601e-09
3.787581,1.3105165841409402e-09
3.930957,1.30669119968729e-09
4.074332,1.2767839008276401e-09
4.217707,1.2707984664572802e-09
4.361082,1.26745813844309e-09
4.504457,1.2621080847097201e-09
5.281793,1.2913620173193902e-09
6.058829,1.2680327898806401e-09
6.202204,1.2725805964564101e-09
6.345579,1.2700330787041e-09
6.488954,1.2756502520971902e-09
6.632329,1.2826931738985102e-09
6.775704,1.2931216097911101e-09
6.919079,1.3003480514584e-09
7.062454,1.2927567905052202e-09
7.205829,1.24353882746675e-09
7.349204,1.25334498335405e-09
7.492579,1.24888543950874e-09
7.635955,1.23979326804857e-09
7.779331,1.25823262919766e-09
7.922706,1.25074028911598e-09
8.066081,1.25187638033708e-09
8.209455,1.24632593134777e-09
8.35283,1.2379300917686502e-09
8.496205,1.2518334147060302e-09
8.63958,1.24826549097179e-09
8.782955,1.2663244897126401e-09
8.92633,1.24049304162099e-09
9.069705,1.24324317507529e-09
9.21308,1.25471832923552e-09
9.356455,1.2423694295549101e-09
9.49983,1.22256760271e-09
9.643205,1.25302668241289e-09
9.78658,1.23138310659243e-09
9.929955,1.2014842454277602e-09
10.07333,1.21590015833561e-09
10.216705,1.2162602036625e-09
10.36008,1.22137067126715e-09
10.503455,1.2232541646284302e-09
10.64683,1.2490654066610302e-09
10.790205,1.23075838409648e-09
10.933581,1.2484491218600601e-09
11.076956,1.2400102056275802e-09
11.220331,1.2454259845640102e-09
11.363706,1.2562310081065702e-09
11.507081,1.2804615145967101e-09
11.650456,1.29503840984313e-09
11.793831,1.30649568941266e-09
11.937206,1.2734603371811202e-09
12.080581,1.27091293045112e-09
12.223957,1.2466144783118702e-09
12.367332,1.2435114049580402e-09
12.510707,1.24781374122307e-09
12.654083,1.28277777289298e-09
12.797458,1.26288535184926e-09
12.940833,1.2520050551856302e-09
13.084208,1.24639276677385e-09
13.227583,1.2679112204594402e-09
13.370959,1.2902485746479901e-09
13.514335,1.26705645975278e-09
13.65771,1.23594279255457e-09
13.801085,1.23577714727929e-09
13.944461,1.2332177501406202e-09
14.087836,1.2292432627347702e-09
14.231211,1.2130546567235e-09
14.374586,1.2005889615807101e-09
14.517962,1.2252652226152302e-09
14.661337,1.2144982797224202e-09
14.804712,1.2237966195982602e-09
14.948087,1.2261330839535801e-09
15.091461,1.22220633613779e-09
15.234837,1.1924969900434202e-09
15.378212,1.1970042734788e-09
15.521588,1.20618703913777e-09
15.664963,1.1945128219892401e-09
15.808339,1.1900269658582401e-09
15.951715,1.19205001425371e-09
16.09509,1.20301846262549e-09
16.238465,1.20560761374122e-09
16.381841,1.20709542361652e-09
16.525216,1.2259101511702401e-09
16.668591,1.1973690927646902e-09
16.811966,1.20735765829494e-09
16.955342,1.2105190183575602e-09
17.098717,1.2250351844045301e-09
17.242093,1.2314057551421301e-09
17.385468,1.23558874243201e-09
17.528844,1.2137925109456701e-09
17.672219,1.2056529108406302e-09
17.815594,1.2165272122999202e-09
17.958969,1.23339893853824e-09
18.102345,1.2373674307397701e-09
18.24572,1.2267875604266e-09
18.389095,1.20766285860441e-09
18.532471,1.1868571681006301e-09
18.675847,1.1949181644155301e-09
18.819222,1.17751475237071e-09
18.962597,1.1885452622095702e-09
19.105972,1.1660694632098501e-09
19.249348,1.16620901824405e-09
19.392723,1.14320874988749e-09
19.536098,1.1323643134275602e-09
19.679474,1.1214160711148202e-09
19.822849,1.1378263886641102e-09
19.966224,1.17121334852754e-09
20.109599,1.17265219756746e-09
20.252974,1.17900256224601e-09
20.396349,1.17718579328852e-09
20.539725,1.1761795981613e-09
20.6831,1.1504470709411401e-09
20.826475,1.15703346903473e-09
20.96985,1.1729908155899701e-09
21.113225,1.16104248437665e-09
21.256601,1.15438703041093e-09
21.399977,1.1549413647671302e-09
21.543352,1.15412113199653e-09
21.686727,1.1707138591887701e-09
21.830102,1.1727249171755701e-09
21.973478,1.1553143997034e-09
22.116853,1.14450093846585e-09
22.260228,1.14128351214049e-09
22.403603,1.15615483853304e-09
22.546978,1.13920450850458e-09
22.690353,1.14123466232741e-09
22.833729,1.12231490767556e-09
22.977105,1.1244356556972e-09
23.12048,1.1047291970101e-09
23.263855,1.1106670028127e-09
23.407231,1.1286127588050501e-09
23.550606,1.11165521232692e-09
23.693981,1.0966634267362e-09
23.837357,1.13224984943372e-09
23.980732,1.1368024299685e-09
24.124107,1.1312043524114301e-09
24.267483,1.1385440368272301e-09
24.410858,1.11600995111871e-09
24.554233,1.12932563300916e-09
24.697608,1.15741849437967e-09
24.840983,1.1237728525515e-09
24.984359,1.15090015295749e-09
25.127734,1.16125109528298e-09
25.271109,1.1640965968950902e-09
25.414484,1.16429565988341e-09
25.557859,1.1704682778557202e-09
25.701235,1.12562292819973e-09
25.84461,1.1481237072175102e-09
25.987985,1.10429887456576e-09
26.13136,1.1161315205399102e-09
26.274736,1.1355507645305401e-09
26.418112,1.07400055515683e-09
26.561487,1.07713227226469e-09
26.704862,1.0802471139825802e-09
26.848238,1.0831380237164e-09
26.991613,1.0813975270807e-09
27.134988,1.06655717591053e-09
27.278364,1.06526021337316e-09
27.421739,1.07697362139447e-09
27.565114,1.07056619125245e-09
27.708489,1.08506803542241e-09
27.851864,1.0779714898490101e-09
27.995239,1.0705423214574202e-09
28.138614,1.0855519816388402e-09
28.281989,1.0864090738138502e-09
28.425364,1.0907172942609102e-09
28.568739,1.0869490862930301e-09
28.712114,1.1050891313146801e-09
28.85549,1.08113651364761e-09
28.998865,1.0806798789175801e-09
29.14224,1.0828542507113101e-09
29.285615,1.07733488796669e-09
29.428991,1.06879349814903e-09
29.572366,1.0835480290794e-09
29.71574,1.0627854152289702e-09
29.859115,1.0902213576358101e-09
30.00249,1.0690330842777501e-09
30.145866,1.0420692087009802e-09
30.289241,1.0474979772467902e-09
30.432616,1.04951980439694e-09
30.575991,1.05123398874696e-09
30.719365,1.0497928082386902e-09
30.86274,1.0787737370066e-09
31.006115,1.0395919680661301e-09
31.149492,1.0397732674860502e-09
31.292867,1.02861286155331e-09
31.436242,1.0237837244631e-09
32.392003,1.02398867163345e-09
32.535378,1.00878116970904e-09
32.678753,1.0152232388094301e-09
32.822128,1.0360419189225902e-09
32.965503,1.02081176844848e-09
33.108879,1.03618980062947e-09
33.252256,1.02132913237796e-09
33.395632,1.0205268852203602e-09
33.539007,1.02162123205574e-09
33.682382,1.04405162293375e-09
33.825757,1.0599303656988501e-09
33.969132,1.04004860279616e-09
34.112507,1.01244690409175e-09
34.255882,1.01900576865432e-09
34.399257,1.02491382047987e-09
34.542632,1.0393023108790102e-09
34.686007,1.0308742748321701e-09
34.829382,1.01519348483237e-09
34.972757,1.0310566844751202e-09
35.116131,1.03106256865715e-09
35.259506,1.0186183008187302e-09
35.402881,1.0305643005637e-09
35.546257,1.0282326101673801e-09
35.689632,1.00691677218379e-09
