gate Voltage (V),drain Current (A)
5.00184059143066,3.19528567160887e-06
4.90190029144287,2.5690912934806e-06
4.80197668075562,2.28529916057596e-06
4.70169544219971,2.03125591724529e-06
4.60178852081299,1.818958480726e-06
4.50154781341553,1.62056437602587e-06
4.40165042877197,1.42827866511652e-06
4.3013596534729,1.25621909319307e-06
4.20147895812988,1.10283963294933e-06
4.10158395767212,9.59907310971175e-07
4.00135517120361,8.41114626837225e-07
3.9014744758606,7.32626801891456e-07
3.80125999450684,6.37140146864112e-07
3.70134830474854,5.47442425613553e-07
3.6014461517334,4.77866535675275e-07
3.50123167037964,4.08820739039584e-07
3.40123414993286,3.51436256096349e-07
3.30097198486328,2.96258093612778e-07
3.20107698440552,2.50712872684744e-07
3.10084104537964,2.13212373978422e-07
3.00086498260498,1.79913399733778e-07
2.90098190307617,1.50887842664815e-07
2.80073165893555,1.25604628919973e-07
2.70078659057617,1.04105588150105e-07
2.60058403015137,8.71264944635186e-08
2.50071287155151,7.14146253244508e-08
2.4007511138916,5.99412928181664e-08
2.30051279067993,5.29488097811281e-08
2.20067977905273,4.00747310891347e-08
2.10039377212524,3.40944410481825e-08
2.00076103210449,2.92861344064477e-08
1.90073919296265,2.49544029884419e-08
1.80070328712463,1.88701871906005e-08
1.7006824016571,1.36817099871678e-08
1.60065746307373,1.14133715811704e-08
1.50062417984009,8.254624539461021e-09
1.40059232711792,5.77801806400657e-09
1.30052185058594,4.06057854007713e-09
1.20049023628235,2.7380335776428e-09
1.10045766830444,1.7566513799138802e-09
1.00042366981506,1.2683248895584101e-09
0.900381565093994,9.98300997423485e-10
0.800344228744507,8.78318140440371e-10
0.700302600860596,6.43170794401016e-10
0.600223064422607,4.3322048726146503e-10
0.500190258026123,2.82993073419391e-10
0.400147438049316,1.8576537530457002e-10
0.300098180770874,1.26026272750934e-10
0.200104743242264,8.831948367094e-11
0.100060991942883,8.334391510267379e-11
1.1444091796875e-05,7.08909389524059e-11
-0.100078582763672,6.407192137958259e-11
-0.200116991996765,6.38593344870486e-11
-0.300215482711792,6.77119263436943e-11
-0.400256156921387,7.48703390951455e-11
-0.500288724899292,8.541607005030369e-11
-0.600358724594116,9.97089980026011e-11
-0.700392723083496,5.41541568532811e-11
-0.80046272277832,4.950666612768549e-11
-0.900496959686279,6.212855924170309e-11
-1.00052833557129,8.965059944410209e-11
-1.1005916595459,6.75213288059417e-11
-1.20062112808228,6.08755476583234e-11
-1.30067920684814,8.06589864343898e-11
-1.40070533752441,7.77176586974626e-11
-1.50073480606079,1.0379790776893201e-10
-1.6007924079895,1.6747367381775301e-10
-1.70081281661987,2.55874876842199e-10
-1.80087041854858,3.58653523546693e-10
-1.90089321136475,4.75967487645335e-10
-2.00091147422791,6.05064720549109e-10
-2.10167646408081,7.51480933036675e-10
-2.2016167640686,9.239579101816281e-10
-2.30182409286499,6.49814591024978e-10
-2.40169763565063,1.0083973656094302e-09
-2.5019645690918,1.34693745046377e-09
-2.60186195373535,1.6712355943582202e-09
-2.7017617225647,1.98355443181697e-09
-2.8020191192627,2.3626900436113403e-09
-2.90192365646362,2.70777111843756e-09
-3.00211429595947,3.10832137806472e-09
-3.10208082199097,3.5763882966222102e-09
-3.20229053497314,4.0771710452247606e-09
-3.302161693573,4.5814476656858e-09
-3.4023904800415,5.0790083250262805e-09
-3.50237846374512,5.641592526473e-09
-3.60227346420288,6.24022700179694e-09
-3.70253086090088,6.86955692330571e-09
-3.80243539810181,7.490565501200311e-09
-3.90264272689819,8.14155587391951e-09
-4.00252819061279,8.80417427850944e-09
-4.10275459289551,9.48470457728945e-09
-4.20267105102539,5.58521762172859e-09
-4.30284023284912,4.74181893750369e-09
-4.40279006958008,6.924854467627031e-09
-4.50268507003784,8.7827167760679e-09
-4.60287809371948,6.026196430752861e-09
-4.70279693603516,5.259679358715631e-09
-4.80305433273315,7.84417153454342e-09
-4.90295648574829,6.0885549935108e-09
-5.00318288803101,5.4575548524837805e-09
-4.90293741226196,1.92841875801264e-09
-4.80305671691895,5.68951608048707e-10
-4.7028112411499,4.12430645191364e-10
-4.60290431976318,2.35744590515452e-10
-4.50269222259521,1.33251548684044e-10
-4.40282344818115,5.5405451060419595e-11
-4.30283308029175,5.2723658772180196e-11
-4.20264959335327,5.6445754320622e-11
-4.10274982452393,6.6332439541128e-11
-4.00248289108276,8.46207132143562e-11
-3.90259265899658,9.304666065412801e-11
-3.80237340927124,1.11312029038579e-10
-3.70248317718506,1.63037527922683e-10
-3.60225915908813,2.41946462864462e-10
-3.50235223770142,3.55918516881104e-10
-3.40239286422729,5.30834876055764e-10
-3.30216646194458,7.7565931455581e-10
-3.20230484008789,1.2621271805457501e-09
-3.10198307037354,1.66044478167038e-09
-3.00204753875732,2.17815765424234e-09
-2.90183782577515,2.7006137326424104e-09
-2.80193328857422,3.5985434632124204e-09
-2.70177841186523,5.11731723662479e-09
-2.60186910629272,4.47086101473815e-09
-2.50198602676392,6.00299365771662e-09
-2.40170478820801,6.2764917707625e-09
-2.30173587799072,7.67054508798992e-09
-2.20158338546753,9.25754317648853e-09
-2.1016001701355,1.05763673374781e-08
-2.00090861320496,1.38693572182547e-08
-1.90088295936584,1.41859892721641e-08
-1.80086088180542,1.85570829813742e-08
-1.70081377029419,2.45272993026902e-08
-1.60079455375671,2.58986467827071e-08
-1.50073504447937,2.79781815493152e-08
-1.40069961547852,3.18789972197919e-08
-1.30067682266235,3.48050939180666e-08
-1.20061349868774,4.34746389998963e-08
-1.10058903694153,5.62045094909536e-08
-1.00052809715271,6.99248303703826e-08
