gate Voltage (V),drain Current (A)
5.0018572807312,6.26461724095861e-06
4.90192651748657,4.88760588268633e-06
4.8019552230835,4.29822785008582e-06
4.70163345336914,3.79691346097388e-06
4.601731300354,3.35553045260895e-06
4.50148105621338,2.96345456263225e-06
4.40155506134033,2.55068653132184e-06
4.3012809753418,2.22801804738992e-06
4.20137643814087,1.94370500139485e-06
4.10146236419678,1.67784924087755e-06
4.00126218795776,1.43890974868555e-06
3.90136480331421,1.22875451324944e-06
3.80113840103149,1.04828359326348e-06
3.70121717453003,8.9021051508098e-07
3.60131502151489,7.38670109967643e-07
3.50109815597534,6.10572840287205e-07
3.40113639831543,4.98702036111354e-07
3.30090522766113,4.05543914894224e-07
3.20099115371704,3.2752956258264e-07
3.10076475143433,2.620095074235e-07
3.00080299377441,2.0940625233834e-07
2.90094614028931,1.63206820502637e-07
2.80071258544922,1.26039736869643e-07
2.70076751708984,1.03722335609291e-07
2.6005482673645,8.16470873132857e-08
2.5006103515625,5.89861990363261e-08
2.40066051483154,4.28749444836285e-08
2.3004937171936,3.03897493836303e-08
2.20059871673584,2.29131220663703e-08
2.1003532409668,1.60566919760186e-08
2.00074744224548,1.03663442274637e-08
1.90072202682495,6.83930645450914e-09
1.80068254470825,3.42353700943931e-09
1.70065593719482,1.8968189241519403e-09
1.60062766075134,1.2064135246348e-09
1.50059628486633,5.86634130161912e-10
1.40056800842285,5.00431307504101e-10
1.30050253868103,2.53190857169017e-10
1.20047330856323,1.33849972772104e-10
1.10043859481812,2.72326952655e-11
1.00041270256042,2.3866249254656e-11
0.900371551513672,1.79360745006241e-11
0.800333261489868,1.52824645299754e-11
0.700290203094482,1.1574471416031498e-11
0.60021185874939,1.4111972007624398e-11
0.50017523765564,1.6951441986212698e-11
0.400138139724731,2.13208201094162e-11
0.300088167190552,2.8141320870811396e-11
0.200094804167747,3.78431799785695e-11
0.100053787231445,5.1168156517400495e-11
7.89165551395854e-06,6.97564020435415e-11
-0.100077509880066,9.31177010499162e-11
-0.200114965438843,3.91535762145345e-11
-0.300206422805786,3.10564282623993e-11
-0.400255441665649,5.127200053411939e-11
-0.500288248062134,9.80358641489154e-11
-0.600354671478271,6.73485989199918e-11
-0.700388193130493,5.77423352188244e-11
-0.80046010017395,9.057811445334349e-11
-0.900494575500488,8.6421723943797e-11
-1.00052571296692,1.32049912671128e-10
-1.10058975219727,2.4021171163290903e-10
-1.20061826705933,3.83676035387026e-10
-1.30067873001099,5.34317368128256e-10
-1.4007031917572,6.97323754295098e-10
-1.50073027610779,8.68616067961625e-10
-1.60078859329224,6.15795858749379e-10
-1.70080971717834,3.20112214513557e-10
-1.80086207389832,4.3511413916341703e-10
-1.90088391304016,7.12072734110336e-10
-2.00090289115906,7.42521266694496e-10
-2.10164308547974,1.2239861346685602e-09
-2.20155715942383,1.6524255297412101e-09
-2.30177402496338,2.07491646087021e-09
-2.40170001983643,2.46549958227149e-09
-2.50195264816284,2.8517461725385804e-09
-2.60182857513428,3.12797077128835e-09
-2.70171880722046,3.47548123613706e-09
-2.80194997787476,3.8809524482985605e-09
-2.90186882019043,4.14869294473874e-09
-3.00208806991577,4.56321114228331e-09
-3.10203552246094,4.9195705287274905e-09
-3.20225954055786,5.29499777357501e-09
-3.30218076705933,5.60060264831463e-09
-3.40239286422729,6.03951821886994e-09
-3.50234270095825,6.384937911718681e-09
-3.60224008560181,6.88657531000558e-09
-3.70250463485718,7.47281170276892e-09
-3.8024115562439,7.87997134210627e-09
-3.90264749526978,8.41474978585666e-09
-4.00251388549805,8.937563578115261e-09
-4.10275936126709,9.527500566264281e-09
-4.20265674591064,5.689048787616e-09
-4.30280685424805,4.62893723351954e-09
-4.40278291702271,6.8124972329997e-09
-4.5026969909668,8.547894836397061e-09
-4.60290193557739,9.779438592261162e-09
-4.70282077789307,6.27568974564952e-09
-4.80308055877686,5.50092682516379e-09
-4.90295648574829,8.14099099244459e-09
-5.00321388244629,6.1429026310122506e-09
-4.9029803276062,2.0712864756689e-09
-4.80307817459106,6.970929944394301e-10
-4.70275402069092,5.00274432990722e-10
-4.60286617279053,2.68183808493916e-10
-4.50265407562256,1.27175325825846e-10
-4.40276861190796,1.9511723833853797e-11
-4.30280447006226,1.2730765226731699e-11
-4.20260906219482,8.60359700149971e-12
-4.10273790359497,1.1502361563220398e-11
-4.0024995803833,2.1732116106676397e-11
-3.90259027481079,4.2448471820888394e-11
-3.8023853302002,7.822475306396019e-11
-3.70248079299927,9.88293891168723e-11
-3.60225677490234,1.30305044532264e-10
-3.50236654281616,2.32934838084731e-10
-3.40244770050049,4.01114808035175e-10
-3.30221652984619,6.4584720904648e-10
-3.20232391357422,9.8413555082999e-10
-3.10211420059204,1.7723666978497501e-09
-3.00216197967529,2.65278088384946e-09
