drain Time (s),drain Current (A)
0.0,2.3244071598038697e-11
0.321845,2.3046434552420598e-11
0.46522,2.27118011897343e-11
0.608595,2.2557723050598e-11
0.751969,2.2647441214052e-11
0.895343,2.2954129916263898e-11
1.038718,2.3034870885729798e-11
1.182092,2.2967910559557e-11
1.325467,2.2916137737416497e-11
1.468842,2.2969163029906696e-11
1.612216,2.2999430485115498e-11
1.755589,2.2987866818424698e-11
1.898963,2.3030936532886198e-11
2.042337,2.3136079857488696e-11
2.185712,2.3141372498813898e-11
2.329086,2.32100484665043e-11
2.47246,2.3151184094794e-11
2.615834,2.3188043499211598e-11
2.759208,2.3545217858744697e-11
2.902583,2.36027013905682e-11
3.045957,2.3560285666857097e-11
3.189331,2.35360030076404e-11
3.332706,2.3398352699821597e-11
3.47608,2.35453254116003e-11
3.619455,2.3576581659190397e-11
3.762829,2.3420692468745198e-11
3.906203,2.3883641592226096e-11
4.049578,2.3933900000772096e-11
4.192952,2.39710092053702e-11
4.336326,2.4197460007924198e-11
4.4797,2.4185419292277498e-11
4.623075,2.4418616434429597e-11
4.766449,2.4687672045553597e-11
4.909823,2.4747395105384497e-11
5.053197,2.4878895818480896e-11
5.196571,2.5277972423576297e-11
5.339946,2.54066108429374e-11
5.48332,2.5238240317082498e-11
5.626695,2.51414895846569e-11
5.770069,2.5077247570171e-11
5.913443,2.4964726466625296e-11
6.056817,2.49402529878262e-11
6.200191,2.48022678783766e-11
6.343565,2.5036776471476498e-11
6.486939,2.5143885237777197e-11
6.630314,2.5259006691813497e-11
6.773688,2.5126409633480197e-11
6.917063,2.4968766637600798e-11
7.060438,2.5027025590818e-11
7.203812,2.4822246688649398e-11
7.347187,2.4685621602405002e-11
7.490561,2.46555813959715e-11
7.633936,2.4633956333119897e-11
7.77731,2.4632334366669898e-11
7.920684,2.4487556080088298e-11
8.064058,2.45414018967827e-11
8.207432,2.4532032655288896e-11
8.350806,2.4643100060561797e-11
8.49418,2.44973069607468e-11
8.637554,2.4477994284288798e-11
8.780928,2.45565182771523e-11
8.924302,2.4455821048818797e-11
9.067676,2.45446562380236e-11
9.211051,2.4553836394658497e-11
9.354426,2.4697780279248097e-11
9.4978,2.49614842684487e-11
9.641174,2.5147724180829598e-11
9.784548,2.4953485458501e-11
9.927923,2.4944126625348098e-11
10.071297,2.46893408495374e-11
10.214672,2.46748801946417e-11
10.358046,2.46526011410397e-11
10.50142,2.4509286961071898e-11
10.644794,2.4561000802614298e-11
10.788169,2.45306015084212e-11
10.931543,2.4467683087947598e-11
11.074917,2.4339186915911497e-11
11.218292,2.42287526847074e-11
11.361666,2.41900804942574e-11
11.505041,2.4039447515944397e-11
11.648415,2.4231601100654898e-11
11.79179,2.4254119546096598e-11
11.935165,2.4081290780908498e-11
12.078539,2.4288690850249298e-11
12.221914,2.4172878976269597e-11
12.365289,2.4261761003008298e-11
12.508664,2.4198877277004097e-11
12.652038,2.45976572443851e-11
12.795412,2.4595474962252297e-11
12.938786,2.4456155850449697e-11
13.08216,2.418447733743e-11
13.225534,2.43462333626709e-11
13.368909,2.4312163393602798e-11
13.512283,2.4212361282582897e-11
13.655657,2.4537193457629898e-11
13.799031,2.4790501249039e-11
13.942405,2.45573873736138e-11
14.085779,2.4495684994296796e-11
14.229154,2.4320174346614798e-11
14.372529,2.46097326545014e-11
14.515903,2.4356294758831596e-11
14.659278,2.39021424180974e-11
14.802652,2.3596119849700298e-11
14.946027,2.3483454764106097e-11
15.089402,2.34743127713877e-11
15.232777,2.3760677453355e-11
15.376151,2.4177337215602896e-11
15.519525,2.4351560698465698e-11
15.662899,2.43568307883857e-11
15.806274,2.4116099742177397e-11
15.949648,2.4035454182502698e-11
16.093023,2.4080872712550797e-11
16.236398,2.4021017813735697e-11
16.379772,2.3881459310093298e-11
16.523146,2.3807275595366697e-11
16.666521,2.3564672782527797e-11
16.809896,2.3456431241797298e-11
16.95327,2.3581565519736898e-11
17.096644,2.3777688151760398e-11
17.240017,2.36383083246361e-11
17.383391,2.3431659390560397e-11
17.526765,2.3515033670262798e-11
17.67014,2.33904839941346e-11
17.813514,2.30917333865488e-11
17.956888,2.32604976946327e-11
18.100262,2.3489106493190797e-11
