drain Time (s),drain Current (A)
0.0,1.2714373824607199e-11
0.455639,1.2101590562974001e-11
0.599013,1.2085783762660899e-11
0.742387,1.2056946586958e-11
0.885761,1.20317341159581e-11
1.029135,1.21125219229579e-11
1.172508,1.20741723910744e-11
1.315882,1.2058591972175e-11
1.459256,1.2065124940785499e-11
1.60263,1.2025022470829599e-11
1.746004,1.1968982228938199e-11
1.889377,1.2048316337665e-11
2.032751,1.2226736983977899e-11
2.176126,1.2232542236090299e-11
2.3195,1.2263631950226699e-11
2.462874,1.2398838900029598e-11
2.606248,1.2425220574652199e-11
2.749621,1.2380302512327e-11
2.892995,1.2449312414286598e-11
3.036368,1.2476730586186098e-11
3.179742,1.25285511132223e-11
3.323115,1.26228454772059e-11
3.466489,1.2653493704217799e-11
3.609863,1.2689101505647398e-11
3.753236,1.2655198937394599e-11
3.89661,1.2562525672499299e-11
4.039985,1.25206589887683e-11
4.183359,1.2445950520190199e-11
4.326733,1.2504470549290498e-11
4.470107,1.2519490652507198e-11
4.61348,1.25922917926236e-11
4.756853,1.2679076538679699e-11
4.900227,1.2762057903514799e-11
5.043601,1.27556801926554e-11
5.186975,1.2714576787253899e-11
5.330348,1.2728703507880498e-11
5.473721,1.2870443426293799e-11
5.617095,1.29520179303899e-11
5.760469,1.2960219702984299e-11
5.903843,1.3027596362791299e-11
6.047217,1.30186798841248e-11
6.190591,1.2903046686663099e-11
6.333965,1.2867891648060699e-11
6.477339,1.29928229633536e-11
6.620712,1.30250220331529e-11
6.764086,1.30205629264579e-11
6.90746,1.2922358495759399e-11
7.050834,1.28837582963337e-11
7.194207,1.2861704756783598e-11
7.337581,1.2809145237546699e-11
7.480955,1.2919521355514399e-11
7.624328,1.3049507655016299e-11
7.767702,1.2953138561755398e-11
7.911076,1.2841535126928398e-11
8.05445,1.2878561064799699e-11
8.197824,1.2976229465944098e-11
8.341198,1.3186836171630299e-11
8.484572,1.3179445382260898e-11
8.627946,1.3234341574019898e-11
8.77132,1.3314688761256698e-11
8.914694,1.3323831621336898e-11
9.058067,1.3272345028569899e-11
9.201441,1.33515238795456e-11
9.344815,1.3357317855955399e-11
9.488188,1.3396239846585899e-11
9.631561,1.3384115864212298e-11
9.774934,1.3321638063501498e-11
9.918308,1.3303315914148199e-11
10.061682,1.33415466174736e-11
10.205056,1.34007215046861e-11
10.34843,1.3413036306642e-11
10.491804,1.3396441941870798e-11
10.635178,1.3410008346814699e-11
10.778552,1.33510234118228e-11
10.921925,1.3367188432533699e-11
11.065299,1.32868889501925e-11
11.208673,1.3243556425124298e-11
11.352046,1.3382005573103798e-11
11.49542,1.3379037461236399e-11
11.638794,1.3345289283373e-11
11.782168,1.3298678998297e-11
11.925542,1.3326847438099899e-11
12.068916,1.3481104253754199e-11
12.21229,1.3450443883678e-11
12.355664,1.3399446482931198e-11
12.499038,1.33199571164533e-11
12.642413,1.3350307838389001e-11
12.785787,1.3375842967955399e-11
12.929161,1.33484959197183e-11
13.072534,1.33276939831561e-11
13.215908,1.3508999474609599e-11
13.359282,1.3509499942332399e-11
13.502656,1.34637830398465e-11
13.64603,1.3454007873059399e-11
13.789404,1.3469230938922798e-11
13.932778,1.3493740846914899e-11
14.076152,1.35933278522238e-11
14.219525,1.3579082303039099e-11
14.362899,1.3503206365561598e-11
14.506273,1.3451647781770299e-11
14.649646,1.3511657938336499e-11
14.79302,1.3547587530971e-11
14.936394,1.3552593942922598e-11
15.079768,1.3637328245830198e-11
15.223141,1.3860368582030398e-11
15.366515,1.3955664748821498e-11
15.509889,1.4013147413283199e-11
15.653262,1.4097809725166499e-11
15.796636,1.4079916919873499e-11
15.94001,1.3943088003620699e-11
16.083384,1.3888108545134799e-11
16.226757,1.3935256594488398e-11
16.370131,1.4127552426523898e-11
16.513504,1.42992137228126e-11
16.656878,1.4189946960507798e-11
16.800252,1.4079558699475699e-11
16.943627,1.4004314201343499e-11
17.087001,1.39818547365e-11
17.230375,1.406116542646e-11
17.373748,1.4085972839528199e-11
17.517121,1.3984751724704899e-11
17.660495,1.3977825841227099e-11
17.803869,1.40310410859379e-11
17.947244,1.4038682542849598e-11
18.090617,1.4102375517355299e-11
18.233991,1.40790460886886e-11
18.377365,1.4134705558777e-11
18.520738,1.4179563773142299e-11
18.664112,1.4265191458640001e-11
18.807485,1.42095684177446e-11
18.950859,1.4056277843066399e-11
19.094232,1.4061487217664799e-11
19.237606,1.4073836714090199e-11
19.38098,1.4136350076632298e-11
19.524354,1.4108157350700699e-11
19.667728,1.4118576099897398e-11
19.811102,1.4194334076178498e-11
19.954476,1.4106941309544e-11
20.09785,1.4071214679556299e-11
20.241224,1.4165901958407298e-11
20.384598,1.4174819304435499e-11
20.527972,1.4075780471745099e-11
20.671346,1.39758231029741e-11
20.81472,1.3883828982319499e-11
20.958094,1.3892794033243399e-11
