drain Time (s),drain Current (A)
0.0,9.949673723808059e-11
1.410341,1.00634688082746e-10
1.553717,1.00432509531068e-10
1.697093,1.00377914313832e-10
1.840468,1.00127219015977e-10
1.983843,1.00038644035294e-10
2.127218,1.00661513846578e-10
2.270594,1.00838302985462e-10
2.41397,1.0134303118913801e-10
2.557345,1.01534003427162e-10
2.70072,1.0189592225540201e-10
2.844095,1.01461408719139e-10
2.98747,1.012356240504e-10
3.130845,1.01833458332479e-10
3.27422,1.02327701867466e-10
3.417596,1.02555866576814e-10
3.560971,1.02467416496221e-10
3.704346,1.02335570573153e-10
3.847721,1.02239008925586e-10
3.991097,1.02210635788413e-10
4.134472,1.02722760852991e-10
4.277847,1.02782130029233e-10
4.421222,1.02662205125892e-10
4.564597,1.02652067401898e-10
4.707972,1.0275148787375301e-10
4.851347,1.0281836493319901e-10
4.994722,1.02547283165055e-10
5.138098,1.02584121752791e-10
5.281473,1.02456564066156e-10
5.424848,1.02940198032364e-10
5.568223,1.0356068086414501e-10
5.711598,1.03673333806675e-10
5.854973,1.0338938039034001e-10
5.998348,1.03687641805905e-10
6.141723,1.03575342746964e-10
6.285099,1.03422402586428e-10
6.428475,1.03066798151641e-10
6.571851,1.03440041254732e-10
6.715227,1.03467102940957e-10
6.858602,1.03945609064571e-10
7.001977,1.03878974866412e-10
7.145352,1.0337566913598601e-10
7.288728,1.03116154503979e-10
7.432103,1.02848528305e-10
7.575479,1.02475999907981e-10
7.718854,1.02324246298302e-10
7.862229,1.02167843629708e-10
8.005604,1.02205868768301e-10
8.14898,1.01931810214673e-10
8.292355,1.01802705154697e-10
8.435731,1.01929541196366e-10
8.579106,1.02276319358108e-10
8.722481,1.0261392430210801e-10
8.865856,1.02916598854197e-10
9.009231,1.03083604152676e-10
9.152606,1.03324168665431e-10
9.295981,1.03235600623641e-10
9.439356,1.03280183016974e-10
9.582731,1.03251691918604e-10
9.726106,1.0364437086352001e-10
9.869481,1.04319212990145e-10
10.012856,1.03678822471753e-10
10.156231,1.03516216432009e-10
10.299606,1.03391288586163e-10
10.442981,1.0301005881618901e-10
10.586356,1.02970479365361e-10
10.729731,1.02920769129433e-10
10.873106,1.03109833171633e-10
11.016481,1.03126285289079e-10
11.159856,1.03087302583127e-10
11.303231,1.0325634097752001e-10
11.446606,1.0327017019307001e-10
11.589981,1.0319435583827601e-10
11.733356,1.03386160743568e-10
11.876731,1.03153346975304e-10
12.020106,1.02718472616559e-10
12.163481,1.02839112225972e-10
12.306856,1.0310136772107e-10
12.450231,1.03341460389039e-10
12.593606,1.03739732082442e-10
12.736982,1.03884935376275e-10
12.880357,1.03600496237366e-10
13.023732,1.03516931138081e-10
13.167107,1.03832838160844e-10
13.310482,1.0391568855405701e-10
13.453857,1.04233378872554e-10
13.597232,1.0425388330404e-10
13.740607,1.03861565181607e-10
13.883982,1.035743921185e-10
14.027357,1.03589650746194e-10
14.170732,1.04268427225662e-10
14.314107,1.04653119503695e-10
14.457483,1.04406594481077e-10
14.600858,1.0407662232037e-10
14.744233,1.03736755296957e-10
14.887608,1.0333704725251601e-10
15.030983,1.03317375488299e-10
15.174358,1.0265505112627701e-10
15.317734,1.02591990458478e-10
15.461109,1.02623340381136e-10
15.604484,1.02851387129288e-10
15.747859,1.02858062345224e-10
15.891234,1.03193877054597e-10
16.034609,1.03333230860869e-10
16.177984,1.0357105451053201e-10
16.321359,1.03035330267787e-10
16.464734,1.02341767005409e-10
16.608109,1.02551932223971e-10
16.751484,1.02758759834565e-10
16.894859,1.02342245789089e-10
17.038234,1.02578279204124e-10
17.18161,1.02638120225151e-10
17.324986,1.02603314733329e-10
17.468361,1.02561827086678e-10
17.611736,1.0260080979263001e-10
17.755112,1.02814673441642e-10
17.898488,1.0286783924673401e-10
18.041863,1.02722046146919e-10
18.185238,1.02331990103899e-10
18.328614,1.02760910891675e-10
18.471989,1.02671975088509e-10
18.615365,1.02923627953722e-10
18.75874,1.02657431166886e-10
18.902115,1.02157352022125e-10
19.04549,1.02005952296036e-10
19.188865,1.01900814175604e-10
19.332241,1.0241579806447e-10
19.475616,1.02581977634575e-10
19.618992,1.02405424418084e-10
19.762367,1.02175351512912e-10
19.905742,1.02293729042913e-10
20.049117,1.02600691831434e-10
20.192492,1.02199554374849e-10
20.335867,1.02107163002518e-10
20.479242,1.02428072967786e-10
20.622617,1.01996418255812e-10
20.765992,1.02063295315258e-10
20.909367,1.01920125117339e-10
21.052743,1.01631522642087e-10
21.196118,1.020420761777e-10
21.339494,1.02164623982937e-10
21.482869,1.01945042685347e-10
21.626244,1.01706858213202e-10
21.769619,1.0165214503477e-10
21.912994,1.01918813666391e-10
22.056369,1.01697560095371e-10
22.199744,1.01336952718079e-10
22.34312,1.0089885871256101e-10
22.486495,1.00466128472032e-10
22.62987,1.0036301650862001e-10
22.773245,1.00244992862208e-10
22.916621,1.0054600207976001e-10
23.059996,1.00896117849469e-10
23.203371,1.01202130009526e-10
23.346747,1.0070252270955e-10
23.490122,1.00780127298972e-10
23.633497,1.01106283068031e-10
23.776872,1.01009006714392e-10
23.920248,1.0067534306212901e-10
24.063623,1.00658058277414e-10
24.206998,1.00520133883286e-10
24.350373,1.00279090586852e-10
24.493748,1.0044705345269001e-10
24.637123,1.01020213028047e-10
24.780498,1.01246594441662e-10
24.923873,1.00982423811846e-10
25.067249,1.00359082155776e-10
26.478019,1.00949519576954e-10
26.621395,1.00969788086047e-10
26.764771,1.0135448036408001e-10
26.908146,1.0167562625174001e-10
27.051521,1.01859444490149e-10
27.194896,1.01816652331443e-10
27.338271,1.01805681940181e-10
27.481646,1.01483821346449e-10
27.625021,1.01375699501638e-10
27.768396,1.00924962831428e-10
27.911772,1.00633140709405e-10
28.055147,1.0034358066679501e-10
28.198523,1.00218056076073e-10
28.341899,1.00340839803703e-10
28.485275,1.0032367298018501e-10
28.62865,1.00058433760708e-10
29.405697,9.8876275222981e-11
29.549072,9.82930403736759e-11
29.692447,9.801707362422359e-11
29.835823,9.865990663326939e-11
29.979198,9.888633661914169e-11
30.122573,9.839363351860089e-11
30.265948,9.85263745589826e-11
30.409323,9.858576455190619e-11
30.552698,9.82800507642878e-11
30.696073,9.8480133770007e-11
30.839448,9.85424866706275e-11
30.982823,9.83370329610267e-11
31.126198,9.86214027109966e-11
31.269573,9.907782233531389e-11
31.412948,9.915710613706001e-11
31.556323,9.8888550126297e-11
31.699698,9.962898561699519e-11
31.843073,9.9454465496418e-11
31.986448,9.966025227292619e-11
32.129824,9.97055285556492e-11
32.273199,9.95137097725696e-11
32.416574,9.96865298641403e-11
32.559949,9.962512065309069e-11
32.703324,9.94435228607315e-11
32.846699,9.930558458881579e-11
32.990075,9.913379145354279e-11
33.13345,9.8896280054106e-11
33.276825,9.854052296365269e-11
33.4202,9.85813999876406e-11
33.563575,9.82573189478586e-11
33.70695,9.78321451627906e-11
33.850325,9.802714889817209e-11
33.9937,9.81307188285818e-11
34.137075,9.756222218992859e-11
34.28045,9.743371387482819e-11
34.423825,9.75674055436748e-11
34.5672,9.71369859548155e-11
34.710576,9.694546554417369e-11
34.853951,9.68586114091785e-11
34.997326,9.691350499885229e-11
35.140701,9.706613984805659e-11
35.284076,9.660005434453109e-11
35.427452,9.62914123436853e-11
35.570827,9.59755400153917e-11
35.714202,9.57331089401769e-11
35.857577,9.54880757797483e-11
36.000952,9.5575110325985e-11
36.144327,9.57100024234769e-11
36.287702,9.554094321240209e-11
36.431077,9.560174180078819e-11
36.574452,9.58212537094383e-11
36.717827,9.594319089201159e-11
36.861202,9.62924046055136e-11
37.004577,9.63307628110144e-11
37.147952,9.639382347881309e-11
37.291327,9.633066566649969e-11
37.434702,9.650963361806929e-11
37.578077,9.637698972220219e-11
37.721453,9.62325358289107e-11
37.864829,9.603899620014289e-11
38.008204,9.584560228814709e-11
38.151579,9.57475349006032e-11
38.294954,9.529624311888089e-11
38.438329,9.536861578229859e-11
38.581704,9.545178536463079e-11
38.725079,9.563868447193259e-11
38.868454,9.553147856111719e-11
39.011829,9.542770740278429e-11
39.155205,9.54259171681571e-11
39.29858,9.54115050855187e-11
39.441955,9.565147285339749e-11
39.58533,9.543180828908149e-11
39.728705,9.505141118637539e-11
39.87208,9.4942977091339e-11
40.015455,9.489117130945249e-11
40.15883,9.439148768164429e-11
40.302206,9.37558086722134e-11
40.445581,9.352039281873559e-11
40.588956,9.338997630781169e-11
40.732331,9.38944616502013e-11
40.875706,9.397829736634829e-11
41.019082,9.36448973920534e-11
41.162457,9.352688068453569e-11
41.305833,9.327976585593589e-11
41.449208,9.2898917725126e-11
41.592583,9.3131224954135e-11
41.735958,9.33942714831382e-11
41.879333,9.300406972334589e-11
42.022708,9.259323169308329e-11
42.166083,9.21486290050844e-11
42.309458,9.191867406110889e-11
42.452833,9.2248597649558e-11
42.596208,9.231999192893529e-11
42.739583,9.2577077948075e-11
42.882958,9.277133922180879e-11
43.026333,9.3040596060856e-11
43.169709,9.265656297774429e-11
43.313083,9.2803167928146e-11
43.456458,9.322779354059559e-11
43.599834,9.325982347485609e-11
43.743209,9.30458349257535e-11
43.886584,9.27590712573867e-11
44.029959,9.294363195744279e-11
44.173334,9.28864762883563e-11
44.31671,9.240883752648089e-11
44.460085,9.19219769746071e-11
44.603459,9.197431011243039e-11
44.746833,9.269746775730779e-11
44.890208,9.336110357027749e-11
45.033583,9.36822633357259e-11
45.176958,9.31448737584439e-11
45.320333,9.320760829822919e-11
45.463708,9.277882628833109e-11
45.607084,9.271078349470939e-11
45.750459,9.288498442616701e-11
45.893834,9.290529456862369e-11
46.03721,9.251471810856059e-11
46.180585,9.224516289707549e-11
46.32396,9.2104386617553e-11
46.467335,9.20843401530647e-11
46.61071,9.2096011372611e-11
46.754085,9.21012294208268e-11
46.897459,9.17364587071923e-11
47.040834,9.18089146373369e-11
47.184209,9.211097162786789e-11
47.327585,9.19784318154093e-11
47.47096,9.14217937464379e-11
47.614335,9.116634530625939e-11
47.757711,9.098967412857209e-11
