drain Time (s),drain Current (A)
0.0,1.57405491418849e-10
0.143376,1.58306243114303e-10
0.286751,1.60170904317525e-10
0.430126,1.6040706263265e-10
0.573502,1.60973540053178e-10
0.716877,1.60308599728154e-10
0.860252,1.59838794977496e-10
1.003627,1.61357163741549e-10
1.147002,1.6105436428937002e-10
1.290377,1.61304344881152e-10
1.433753,1.61419391742079e-10
1.577128,1.62179936147311e-10
1.720503,1.62546628934557e-10
1.863878,1.62041782769684e-10
2.007254,1.62492269639714e-10
2.150629,1.6293048854532101e-10
2.294003,1.63295141297759e-10
2.437378,1.63313029766243e-10
2.580754,1.62304281126069e-10
2.724129,1.6141855907481101e-10
2.867504,1.62032956496638e-10
3.010879,1.62405131010068e-10
3.154254,1.63698193889061e-10
3.297629,1.65482391678573e-10
3.441005,1.65055275003212e-10
3.58438,1.65382971206718e-10
3.727755,1.65555111286686e-10
3.871131,1.65463684420608e-10
4.014506,1.64518357270715e-10
4.157881,1.62881721998964e-10
4.301256,1.64121383150473e-10
4.444631,1.62304281126069e-10
4.588006,1.63316249413015e-10
4.731381,1.65890093328791e-10
4.874756,1.67545199936114e-10
5.018131,1.6817258696733e-10
5.161506,1.6766714405758201e-10
5.304881,1.67664521155686e-10
5.448257,1.67828320685182e-10
5.591632,1.68924332855092e-10
5.735007,1.68384306498126e-10
5.878381,1.68516992027357e-10
6.021756,1.65743946345387e-10
6.165131,1.63718580359351e-10
6.308506,1.64533497937214e-10
6.451883,1.65994398781955e-10
6.595258,1.66983482596805e-10
6.738633,1.65690530740115e-10
6.882008,1.65767427562358e-10
7.025384,1.65823577091828e-10
7.168759,1.66216013175458e-10
7.312134,1.65742627955545e-10
7.45551,1.65674210461653e-10
7.598885,1.66228170117577e-10
7.74226,1.65714372779568e-10
7.885635,1.65878172309064e-10
8.029011,1.6417872616969501e-10
8.172386,1.65200103596774e-10
8.315761,1.65335176105508e-10
8.459136,1.6498362398476e-10
8.602511,1.6317307227620102e-10
8.745886,1.6291498705634002e-10
8.889261,1.61987770419536e-10
9.032637,1.61773316964542e-10
9.176012,1.64422503390327e-10
9.319387,1.6383135126307702e-10
9.462762,1.61643504137388e-10
9.606137,1.61109806051662e-10
9.749512,1.63117047646821e-10
9.892888,1.63112634510298e-10
10.036263,1.62793875602141e-10
10.179639,1.61135188525563e-10
10.323013,1.59328342186349e-10
10.466388,1.5855562696121002e-10
10.609764,1.5868806269026002e-10
10.75314,1.6048359863241002e-10
10.896515,1.60247801139768e-10
11.03989,1.61104435347781e-10
11.183265,1.62039520690271e-10
11.32664,1.62432067796203e-10
11.470015,1.62317270735457e-10
11.61339,1.60935278992191e-10
11.756765,1.58351054491135e-10
11.90014,1.58246152293096e-10
12.043515,1.59300919677641e-10
12.18689,1.60220975375935e-10
12.330265,1.591987514038e-10
12.47364,1.5998696811792001e-10
12.617015,1.62468663522652e-10
12.760391,1.64188385110009e-10
12.903766,1.63389440865913e-10
13.047141,1.61952132260446e-10
13.190517,1.61944624377242e-10
13.333892,1.6261744728574001e-10
13.477267,1.62507535206302e-10
13.620642,1.64098373778288e-10
13.764018,1.68875691208825e-10
13.907393,1.70113437225616e-10
14.050768,1.69629213453426e-10
14.194144,1.67618752211496e-10
14.337519,1.64647573352994e-10
14.480895,1.63030505762052e-10
14.62427,1.64932484336688e-10
14.767645,1.63972488365083e-10
14.91102,1.63231969607658e-10
15.054395,1.63316360435317e-10
15.19777,1.63532007380063e-10
15.341145,1.63655033968979e-10
15.48452,1.6614495890188201e-10
15.627896,1.6560899873674401e-10
15.771272,1.64427152449242e-10
15.914647,1.6401159597112501e-10
16.058022,1.62918317725413e-10
16.201398,1.63895244598145e-10
16.344774,1.63562774435633e-10
16.488149,1.63574445655179e-10
16.631524,1.64729230256455e-10
16.774898,1.62797442193607e-10
16.918273,1.59963722823342e-10
17.061649,1.60214064237607e-10
17.205024,1.59762023055343e-10
17.348399,1.59205315597433e-10
18.12572,1.57115098708971e-10
18.902829,1.55091162135079e-10
19.046204,1.55284632374908e-10
19.189579,1.54235596516727e-10
19.332954,1.5395462682477002e-10
19.47633,1.53964868632173e-10
19.619705,1.5442752632211e-10
19.76308,1.53603435526506e-10
19.906455,1.5388500196333901e-10
20.04983,1.52939910735839e-10
20.193205,1.53420207094079e-10
20.33658,1.5547656218029002e-10
20.479955,1.57355420360439e-10
20.62333,1.58080576406761e-10
20.766705,1.57231450081952e-10
20.910081,1.57309998360944e-10
21.053456,1.58876412026387e-10
21.196832,1.59614321759705e-10
21.340207,1.57475352202674e-10
21.483582,1.56144736029873e-10
21.626957,1.56222215719204e-10
21.770332,1.56076304658193e-10
21.913707,1.55955900971172e-10
22.057082,1.55691376457767e-10
22.200457,1.56942361884127e-10
22.343832,1.58444632414323e-10
22.487207,1.60185573139238e-10
22.630582,1.59638524621641e-10
22.773957,1.57640817066707e-10
22.917332,1.55498142140331e-10
23.060708,1.55984156147149e-10
23.204083,1.58372759351266e-10
23.347458,1.59529806031955e-10
23.490833,1.58813476258679e-10
23.634207,1.58481477940953e-10
23.777582,1.59445526226598e-10
23.920957,1.61100507933831e-10
24.064332,1.61995042380347e-10
24.207707,1.6025494820048901e-10
24.351083,1.61058180681017e-10
24.494458,1.6143321401873601e-10
24.637833,1.6117417123151501e-10
24.781208,1.61901228534767e-10
24.924584,1.60344598709727e-10
25.067959,1.58463714372559e-10
25.211334,1.57660953736816e-10
25.354709,1.57666435463e-10
25.498084,1.57691110169722e-10
25.641459,1.55981061400468e-10
25.784834,1.56187771049865e-10
25.92821,1.56832449804689e-10
26.071586,1.56916965532439e-10
26.214962,1.56536811291019e-10
26.358337,1.55878421281841e-10
26.501713,1.55147783509335e-10
26.645089,1.54039739297396e-10
26.788463,1.53784859846517e-10
26.931838,1.54446719302648e-10
27.075213,1.56233428971753e-10
27.218588,1.57457949456763e-10
27.361964,1.56648388704994e-10
27.505339,1.55721296968281e-10
27.648714,1.5517484519556002e-10
27.792089,1.5431832200985e-10
27.935464,1.54408444363874e-10
28.078839,1.5435468181390601e-10
28.222214,1.54783241779199e-10
28.365589,1.55235171939161e-10
28.508964,1.55655863198767e-10
28.652339,1.54713741817858e-10
28.795714,1.54560794718428e-10
28.939089,1.54570814481225e-10
29.082464,1.55258764178434e-10
29.225839,1.5456819157933002e-10
29.369214,1.5457188307088602e-10
29.51259,1.5516661566739e-10
29.655965,1.55866139439631e-10
29.799339,1.5518605844810901e-10
29.942715,1.56251900307325e-10
30.08609,1.5664088082179e-10
30.229465,1.5635549799331e-10
30.37284,1.56839957687893e-10
30.516215,1.5744328063505e-10
30.65959,1.56549689878105e-10
30.802965,1.5521990637257201e-10
30.94634,1.5428995581157101e-10
31.089715,1.54560447773733e-10
31.23309,1.54101731375533e-10
31.376466,1.53739923569596e-10
31.519841,1.5501296080078201e-10
31.663216,1.5554141308271601e-10
31.806591,1.55214785468871e-10
31.949966,1.5490174420929e-10
32.093341,1.54895776760533e-10
32.236717,1.5560745747489302e-10
32.380092,1.56071544576974e-10
32.523467,1.55202378726571e-10
32.666842,1.53921486667485e-10
32.810218,1.54071921887322e-10
32.953593,1.53027410187967e-10
33.096969,1.53496257371266e-10
33.240345,1.54108517613771e-10
33.38372,1.54610990676929e-10
33.527095,1.54030205257172e-10
33.670471,1.5460382973842002e-10
33.813846,1.54659382523015e-10
33.957221,1.54367199578509e-10
34.100597,1.54500481852615e-10
34.243972,1.53256643486976e-10
34.387347,1.52143478371336e-10
34.530722,1.51345491694599e-10
