drain Time (s),drain Current (A)
0.0,3.35763812586709e-11
0.143376,3.3799220366947896e-11
0.286751,3.45159074932599e-11
0.430126,3.49710121971825e-11
0.573501,3.5209942600422695e-11
0.716876,3.52873702480494e-11
0.860251,3.54566931370925e-11
1.003626,3.5737919568124e-11
1.147001,3.59843266295456e-11
1.290376,3.65242731892312e-11
1.433751,3.6643160727933794e-11
1.577126,3.67283217728165e-11
1.720501,3.71689692912902e-11
1.863877,3.76537794000154e-11
2.007252,3.76877903884854e-11
2.150627,3.79787347404292e-11
2.294002,3.8416422820652895e-11
2.437377,3.80699985425004e-11
2.580752,3.8038908828363896e-11
2.724127,3.8071084479396294e-11
2.867503,3.7803794816770894e-11
3.010878,3.7177157186096795e-11
3.154253,3.69680050460452e-11
3.297628,3.71734969195625e-11
3.441003,3.7351382403683095e-11
3.584378,3.72897997202859e-11
3.727753,3.7228848476234004e-11
3.871128,3.7035905592341895e-11
4.014503,3.6998855368342e-11
4.157878,3.7215029669024295e-11
4.301253,3.75562671239837e-11
4.444629,3.80697140478503e-11
4.588004,3.8462615037371296e-11
4.73138,3.8766396343037396e-11
4.874755,3.88362189629454e-11
5.01813,3.88637073911458e-11
5.161505,3.8870191787499e-11
5.30488,3.87172585658568e-11
5.448255,3.8524211598556196e-11
5.59163,3.8527431245327596e-11
5.735005,3.8775420374559395e-11
5.87838,3.8665581153507495e-11
6.021755,3.8514493677643794e-11
6.16513,3.9160896747603095e-11
6.308505,3.9249277439257194e-11
6.451881,3.8709854766061395e-11
6.595256,3.8596712631511197e-11
6.738631,3.8499214233267396e-11
6.882007,3.8762711790374395e-11
7.025382,3.9229643838956095e-11
7.168757,3.9873278290247795e-11
7.312133,3.98970266546339e-11
7.455508,3.9802001972066796e-11
7.598884,4.0123081940235394e-11
7.742259,4.0167570658500296e-11
7.885634,4.064064015874e-11
8.029009,4.0655458166671795e-11
8.172385,4.0192401490335395e-11
8.31576,4.023889207949159e-11
8.459135,4.0124022160359393e-11
8.60251,3.97714500222079e-11
8.745886,3.97315999545178e-11
8.889262,4.0237202458826e-11
9.032637,4.0571868781258396e-11
9.176012,4.1178740972647196e-11
9.319387,4.07509685718122e-11
9.462762,4.0292345848680394e-11
9.606137,4.02774827379382e-11
9.749512,4.0774966736378795e-11
9.892887,4.1582941950890596e-11
10.036263,4.20984150317771e-11
10.179638,4.25217049071502e-11
10.323013,4.25859590647004e-11
10.466388,4.2461718169351e-11
10.609764,4.2685761175720297e-11
10.75314,4.2810737593823595e-11
10.896515,4.2688061419049493e-11
11.03989,4.28300138410886e-11
11.183265,4.33409939881724e-11
11.32664,4.349362883737659e-11
11.470016,4.29385069167232e-11
11.613391,4.28810251196232e-11
11.756766,4.3271244226650296e-11
11.900141,4.3648386988115494e-11
12.043516,4.385749055590969e-11
12.186891,4.37601448133318e-11
12.330266,4.3913390285199596e-11
12.47364,4.353580690397149e-11
12.617015,4.3780135766668897e-11
12.76039,4.3279265588003193e-11
12.903765,4.30253506433775e-11
13.04714,4.330189332102389e-11
13.190516,4.32415006579312e-11
13.333891,4.3085968820522095e-11
13.477266,4.36511174428666e-11
13.620641,4.3373346580999294e-11
13.764016,4.2576407677241696e-11
13.907391,4.20869103456845e-11
14.050766,4.147681156863039e-11
14.194141,4.1469716549613596e-11
14.337516,4.144255077997979e-11
