	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00051116943359","3.35763812586709E-11","6.79492950439453E-06","-1.21137743933075E-11"
"2","0.143376","1.00051069259644","3.37992203669479E-11","6.55651092529297E-06","-7.71117197873039E-12"
"3","0.286751","1.0005087852478","3.45159074932599E-11","4.43458566223853E-06","-1.08738660437036E-11"
"4","0.430126","1.00050950050354","3.49710121971825E-11","2.81333927887317E-06","-8.56204083327095E-12"
"5","0.573501","1.00050806999207","3.52099426004227E-11","3.76701359527942E-06","-1.11057404592052E-11"
"6","0.716876","1.00050449371338","3.52873702480494E-11","4.00543240175466E-06","-1.74710038103321E-11"
"7","0.860251","1.00050330162048","3.54566931370925E-11","6.29425039733178E-06","3.12980414154951E-12"
"8","1.003626","1.0005042552948","3.5737919568124E-11","9.27448309084866E-06","-1.27158882382017E-11"
"9","1.147001","1.00050735473633","3.59843266295456E-11","8.96453911991557E-06","-2.03284385852376E-11"
"10","1.290376","1.00050759315491","3.65242731892312E-11","9.27448309084866E-06","-1.64283881637362E-11"
"11","1.433751","1.00050806999207","3.66431607279338E-11","9.96589642454637E-06","-1.33357769271925E-11"
"12","1.577126","1.00050830841064","3.67283217728165E-11","6.93798074280494E-06","-1.36743307649345E-11"
"13","1.720501","1.00050640106201","3.71689692912902E-11","6.91413902131899E-07","-1.14573836529352E-11"
"14","1.863877","1.00050759315491","3.76537794000154E-11","9.29832481233461E-07","-1.45910748761136E-11"
"15","2.007252","1.00050687789917","3.76877903884854E-11","1.66893002528923E-07","-1.92119011671599E-11"
"16","2.150627","1.00050759315491","3.79787347404292E-11","-2.12192549042811E-06","-7.88116447103526E-12"
"17","2.294002","1.00050735473633","3.84164228206529E-11","-1.47819525864179E-06","-1.86302188953658E-11"
"18","2.437377","1.00050806999207","3.80699985425004E-11","-5.72204612581118E-07","-1.24246359728408E-11"
"19","2.580752","1.00051069259644","3.80389088283639E-11","-2.4318694613612E-06","-1.34391664463607E-11"
"20","2.724127","1.00050926208496","3.80710844793963E-11","-2.31266017181042E-06","-1.27030616928203E-11"
"21","2.867503","1.00050854682922","3.78037948167709E-11","-3.05175785797474E-06","-1.23224139225719E-11"
"22","3.010878","1.00050759315491","3.71771571860968E-11","-1.69277188888373E-06","-8.86596438626208E-12"
"23","3.154253","1.00050783157349","3.69680050460452E-11","-3.55243696503749E-06","-1.1712897145244E-11"
"24","3.297628","1.00050687789917","3.71734969195625E-11","-4.10079974244582E-06","-1.64438480193541E-11"
"25","3.441003","1.00050806999207","3.73513824036831E-11","-2.98023223876953E-06","-1.41477827717007E-11"
"26","3.584378","1.00050854682922","3.72897997202859E-11","-2.14576729717919E-07","-9.90594672262146E-12"
"27","3.727753","1.00050902366638","3.7228848476234E-11","3.52859501617786E-06","-9.35860850620474E-12"
"28","3.871128","1.00050640106201","3.70359055923419E-11","2.64644631897681E-06","-7.71631022966623E-12"
"29","4.014503","1.00050640106201","3.6998855368342E-11","-5.00679050219333E-07","-1.16417526660473E-11"
"30","4.157878","1.00050783157349","3.72150296690243E-11","-9.05990589217254E-07","-1.53946872610833E-11"
"31","4.301253","1.0005099773407","3.75562671239837E-11","2.16960916077369E-06","-1.34320263245336E-11"
"32","4.444629","1.00051164627075","3.80697140478503E-11","9.5367431640625E-07","-1.93745852694605E-11"
"33","4.588004","1.00050973892212","3.84626150373713E-11","-5.24520885392121E-07","-1.41788481997085E-11"
"34","4.73138","1.00050830841064","3.87663963430374E-11","4.0531159584134E-07","-1.00786809453801E-11"
"35","4.874755","1.00050783157349","3.88362189629454E-11","1.57356259933294E-06","-1.76463600676247E-11"
"36","5.01813","1.00050950050354","3.88637073911458E-11","2.36034406952967E-06","-1.96089984527692E-11"
"37","5.161505","1.00050926208496","3.8870191787499E-11","2.71797193818202E-06","-9.61401444565801E-12"
"38","5.30488","1.00050950050354","3.87172585658568E-11","6.91413879394531E-06","-1.81920173369932E-11"
"39","5.448255","1.00050830841064","3.85242115985562E-11","6.43730163574219E-06","-1.52367944650234E-11"
"40","5.59163","1.00050854682922","3.85274312453276E-11","7.93933850218309E-06","-1.94101332229302E-11"
"41","5.735005","1.0005099773407","3.87754203745594E-11","9.82284564088332E-06","-2.13297018936132E-11"
"42","5.87838","1.00051140785217","3.86655811535075E-11","8.70227813720703E-06","-2.04460146729923E-11"
"43","6.021755","1.00051236152649","3.85144936776438E-11","1.08957292468403E-05","-1.74605607750067E-11"
"44","6.16513","1.00051331520081","3.91608967476031E-11","1.37090682983398E-05","-1.47052179461094E-11"
"45","6.308505","1.00051212310791","3.92492774392572E-11","1.42812732519815E-05","-1.32682441422727E-11"
"46","6.451881","1.00051188468933","3.87098547660614E-11","1.56402584252646E-05","-1.72101135426095E-11"
"47","6.595256","1.00051236152649","3.85967126315112E-11","1.57117847265908E-05","-1.47686359669441E-11"
"48","6.738631","1.00051307678223","3.84992142332674E-11","1.33752828332945E-05","-8.31086675173731E-12"
"49","6.882007","1.00051212310791","3.87627117903744E-11","8.55922735354397E-06","-1.16436955563404E-11"
"50","7.025382","1.00051355361938","3.92296438389561E-11","1.08242038550088E-05","-1.22203826918854E-11"
