	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.0002007484436","6.12604628483226E-12","7.10487393007497E-06","-2.27712276118508E-11"
"2","0.143375","1.00019860267639","6.08932999510148E-12","8.15391558717238E-06","-1.56621694780146E-11"
"3","0.28675","1.00019526481628","6.11810688916359E-12","8.36849267216166E-06","-1.25316380536478E-12"
"4","0.430125","1.0001962184906","6.14830278702905E-12","1.02758413049742E-05","1.7538428391875E-12"
"5","0.5735","1.00019717216492","6.17107146633211E-12","1.15871434900328E-05","1.46023158842379E-11"
"6","0.716875","1.00019836425781","6.17283611378805E-12","1.19447713586851E-05","-2.31048704474324E-11"
"7","0.860251","1.00019764900208","6.16908087114343E-12","1.15156171887065E-05","-1.81205640770177E-11"
"8","1.003626","1.00019645690918","6.17729435312131E-12","1.10626224341104E-05","-2.31629368463437E-11"
"9","1.147002","1.00019550323486","6.19261282877592E-12","1.16825103759766E-05","-3.74098911570808E-11"
"10","1.290377","1.0001962184906","6.21024369082401E-12","1.27553939819336E-05","-6.14211459470937E-11"
"11","1.433752","1.00019836425781","6.2509658907417E-12","1.45673757288023E-05","-3.51594586778248E-11"
"12","1.577127","1.00019788742065","6.30308392285395E-12","1.51157382788369E-05","-6.97096269597353E-11"
"13","1.720502","1.00019907951355","6.27344834067123E-12","1.69754039234249E-05","-5.01946574582579E-11"
"14","1.863877","1.00019884109497","6.31905812398248E-12","1.53779983520508E-05","-4.48717729639725E-11"
"15","2.007253","1.00020122528076","6.34443756211689E-12","1.54018398461631E-05","-5.77045911054341E-11"
"16","2.150628","1.00020217895508","6.31507649992424E-12","1.48534772961284E-05","-3.7727820867417E-11"
"17","2.294003","1.0002019405365","6.31777052548244E-12","1.69992454175372E-05","-3.07906512786449E-11"
"18","2.437378","1.00020098686218","6.32690210985998E-12","1.60217296070186E-05","-2.55780223390456E-11"
"19","2.580753","1.00020098686218","6.36290325983779E-12","1.4519691831083E-05","-7.83749801169797E-12"
"20","2.724128","1.00020217895508","6.38643521747029E-12","1.24216085168882E-05","-1.99709537102022E-11"
"21","2.867503","1.00020051002502","6.40578258839786E-12","1.17301942736958E-05","-2.11093434399068E-11"
"22","3.010878","1.00019979476929","6.41039608548222E-12","9.98973882815335E-06","-1.92950256466817E-11"
"23","3.154253","1.0002007484436","6.41269676249223E-12","9.05990600585938E-06","-3.36299425807152E-11"
"24","3.297629","1.00020217895508","6.41436600015699E-12","8.32080877444241E-06","-1.87542672364094E-11"
"25","3.441004","1.00020265579224","6.42334232678343E-12","6.34193429505103E-06","4.06281952525234E-12"
