	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019693374634","1.23166088439319E-09","1.40190122692729E-05","-3.33655256201659E-11"
"2","0.776704","1.00019836425781","1.22833965221503E-09","1.29461286633159E-05","-3.17594527066145E-11"
"3","0.920079","1.00019836425781","1.25441068643539E-09","1.45435333251953E-05","-3.84017227739175E-11"
"4","1.063454","1.00019979476929","1.22995014173455E-09","1.69515606103232E-05","-3.57252005755981E-11"
"5","1.206829","1.00019669532776","1.22591370388392E-09","1.62363048730185E-05","-4.31495568442575E-11"
"6","1.350204","1.00019788742065","1.24699595094313E-09","1.64031989697833E-05","-2.96478397388E-11"
"7","1.493579","1.0001974105835","1.22401122570892E-09","1.48296358020161E-05","-3.32784529100127E-11"
"8","1.636954","1.0001962184906","1.23763677084554E-09","1.42574308483745E-05","-3.08580396478353E-12"
"9","1.780329","1.00019526481628","1.22674459479555E-09","1.20162967505166E-05","-1.6240215769403E-11"
"10","1.923704","1.00019431114197","1.23354915171348E-09","1.45912172229146E-05","6.66753067687931E-12"
"11","2.067079","1.00019478797913","1.22936849589195E-09","1.71184547070879E-05","2.62991191324335E-12"
"12","2.210455","1.00019407272339","1.23777743610276E-09","1.65939327416709E-05","-3.849065163819E-12"
"13","2.35383","1.00019431114197","1.22803445190556E-09","1.43766401379253E-05","-1.96632276433517E-11"
"14","2.497205","1.00019454956055","1.2289154138756E-09","1.34706497192383E-05","-2.01642522124068E-12"
"15","2.64058","1.00019669532776","1.26130939026581E-09","1.18732450573589E-05","-8.51792074374469E-12"
"16","2.783955","1.00019550323486","1.25467780609512E-09","1.0704994565458E-05","-9.01440380673968E-12"
"17","2.92733","1.00019669532776","1.24614596419548E-09","8.22544097900391E-06","4.55133934013086E-12"
"18","3.070705","1.00019884109497","1.25632404479603E-09","5.57899466002709E-06","-3.71576554247799E-12"
"19","3.214081","1.00019860267639","1.28227117812685E-09","6.07967376708984E-06","-8.78719146057971E-12"
"20","3.357456","1.00019884109497","1.28107191521565E-09","4.07695779358619E-06","-4.343426226322E-12"
"21","3.500831","1.00019788742065","1.27283217299379E-09","6.81877145325416E-06","-3.24792861876311E-12"
"22","3.644206","1.00019645690918","1.31210442511076E-09","7.12871542418725E-06","-8.61731779683295E-12"
"23","3.787581","1.00019884109497","1.31051658414094E-09","7.24792471373803E-06","1.44732001990805E-12"
"24","3.930957","1.00019860267639","1.30669119968729E-09","8.34465026855469E-06","-5.39947773992022E-12"
"25","4.074332","1.0001974105835","1.27678390082764E-09","7.55786913941847E-06","-7.12628393795267E-12"
"26","4.217707","1.00019526481628","1.27079846645728E-09","9.82284564088332E-06","6.25666402367941E-12"
"27","4.361082","1.00019717216492","1.26745813844309E-09","1.1610984984145E-05","2.44009510947524E-13"
"28","4.504457","1.00019788742065","1.26210808470972E-09","1.04188920886372E-05","-1.14649531188227E-11"
"29","5.281793","1.00019645690918","1.29136201731939E-09","1.70946132129757E-05","-1.70746559252644E-11"
"30","6.058829","1.00019669532776","1.26803278988064E-09","1.85728076758096E-05","-2.19482904073587E-11"
"31","6.202204","1.00019669532776","1.27258059645641E-09","1.92403804248897E-05","-1.43453955311901E-11"
"32","6.345579","1.00019574165344","1.2700330787041E-09","1.88589092431357E-05","-8.34800024246407E-12"
"33","6.488954","1.00019574165344","1.27565025209719E-09","1.70469284057617E-05","-1.35981321688905E-11"
"34","6.632329","1.00019288063049","1.28269317389851E-09","1.87635432666866E-05","-7.97127468199488E-12"
"35","6.775704","1.00019240379333","1.29312160979111E-09","1.79529197339434E-05","5.58326258490172E-12"
"36","6.919079","1.00019192695618","1.3003480514584E-09","1.98364268726436E-05","-1.88210974583214E-11"
"37","7.062454","1.00019335746765","1.29275679050522E-09","1.88112262549112E-05","-1.41805170036924E-11"
"38","7.205829","1.00019240379333","1.24353882746675E-09","1.61647803906817E-05","-1.16827849477863E-11"
"39","7.349204","1.00019407272339","1.25334498335405E-09","1.69038776220987E-05","-3.01963801185856E-11"
"40","7.492579","1.00019121170044","1.24888543950874E-09","1.70946132129757E-05","-3.04054025880574E-12"
"41","7.635955","1.00018954277039","1.23979326804857E-09","2.06470485863974E-05","-8.85226700969577E-12"
