	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00020027160645","4.32207707490306E-06","5.00189304351807","1.57706736558794E-08"
"2","0.321993","1.00019836425781","3.32443460138165E-06","4.90191698074341","1.37216806805895E-08"
"3","0.465368","1.0001962184906","2.91303263111331E-06","4.80203151702881","1.23523955508631E-08"
"4","0.608744","1.00019812583923","2.5658737285994E-06","4.70175504684448","1.12784386274711E-08"
"5","0.752119","1.00019764900208","2.25850931201421E-06","4.60182189941406","1.03579163024392E-08"
"6","0.895494","1.00019907951355","1.98739530787861E-06","4.50157403945923","9.5719734360955E-09"
"7","1.217582","1.00020003318787","1.70309181157791E-06","4.40165042877197","8.64909743825137E-09"
"8","1.360957","1.00019979476929","1.4824330492047E-06","4.30138826370239","7.96382337853174E-09"
"9","1.504332","1.00019836425781","1.28427745949011E-06","4.20151472091675","7.43044026307871E-09"
"10","1.647707","1.00019693374634","1.11573092453909E-06","4.10160064697266","6.8989969292943E-09"
"11","1.925052","1.0001916885376","9.67175765254069E-07","4.00136709213257","6.38499830785122E-09"
"12","2.068427","1.00019359588623","8.17638294847711E-07","3.90146732330322","5.93952886873694E-09"
"13","2.211802","1.00019383430481","6.89828880240384E-07","3.80122900009155","5.43908118544323E-09"
"14","2.355177","1.00019574165344","5.74242733364372E-07","3.70129346847534","5.01067498603902E-09"
"15","2.498553","1.00019788742065","4.70421326781434E-07","3.60137939453125","4.60013405145787E-09"
"16","2.641928","1.00019645690918","3.82847900937122E-07","3.50116014480591","4.21971435571322E-09"
"17","2.785304","1.00019216537476","3.15082075985629E-07","3.40121746063232","3.8129437385237E-09"
"18","2.928679","1.00018978118896","2.51586442345797E-07","3.30103397369385","3.49398732168993E-09"
"19","3.072054","1.00019240379333","2.00065500166602E-07","3.20113897323608","3.11650505402383E-09"
"20","3.21543","1.00019216537476","1.61648515017987E-07","3.10089349746704","2.80689005371926E-09"
"21","3.358805","1.0001916885376","1.2752437328345E-07","3.00092697143555","2.5169373252254E-09"
"22","3.50218","1.00019192695618","1.00497366872787E-07","2.90104150772095","2.18561768683401E-09"
"23","3.824265","1.00018835067749","7.93070000781881E-08","2.8008246421814","1.920563041935E-09"
"24","3.96764","1.0001904964447","6.064193058819E-08","2.70089149475098","1.75629133458699E-09"
"25","4.111015","1.00018739700317","4.54306245956104E-08","2.60067224502563","1.44697431814222E-09"
"26","4.25439","1.00018787384033","3.60596068560426E-08","2.50076532363892","1.16406795314106E-09"
"27","4.397765","1.00018930435181","2.71545772534409E-08","2.40082025527954","1.82125803327438E-09"
"28","5.353471","1.00019431114197","2.28094823029323E-08","2.30056285858154","1.00381369882996E-09"
"29","5.496846","1.0001962184906","1.68071636608147E-08","2.20063209533691","1.49067280741377E-09"
"30","6.452644","1.00019240379333","1.37216931150874E-08","2.10039377212524","1.30416155652568E-09"
