	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1","2.32440715980387E-11","-4.81367133033928E-05","-5.00684146920172E-11"
"2","0.321845","0.999998807907104","2.30464345524206E-11","-4.76837158203125E-05","-4.80227350940776E-11"
"3","0.46522","1","2.27118011897343E-11","-4.6849250793457E-05","-4.75743888728175E-11"
"4","0.608595","0.999999284744263","2.2557723050598E-11","-4.67062018287834E-05","-5.05883460122369E-11"
"5","0.751969","0.999999046325684","2.2647441214052E-11","-4.53710563306231E-05","-5.12846466682593E-11"
"6","0.895343","0.999999284744263","2.29541299162639E-11","-4.71591956738848E-05","-4.70367078619915E-11"
"7","1.038718","1.00000095367432","2.30348708857298E-11","-4.82320792798419E-05","-4.55049400938101E-11"
"8","1.182092","0.999999523162842","2.2967910559557E-11","-4.80890266771894E-05","-4.52937375106099E-11"
"9","1.325467","0.999998331069946","2.29161377374165E-11","-4.94956984766759E-05","-4.89061603714536E-11"
"10","1.468842","0.999997854232788","2.29691630299067E-11","-4.9400328862248E-05","-4.89326947017421E-11"
"11","1.612216","0.999997854232788","2.29994304851155E-11","-5.11407852172852E-05","-4.73167442727185E-11"
"12","1.755589","0.999998569488525","2.29878668184247E-11","-5.21898291481193E-05","-4.86207012151407E-11"
"13","1.898963","0.999998092651367","2.30309365328862E-11","-5.17606749781407E-05","-5.05140304585261E-11"
"14","2.042337","0.999997615814209","2.31360798574887E-11","-5.20706198585685E-05","-4.99745245186034E-11"
"15","2.185712","0.999999523162842","2.31413724988139E-11","-5.16653053637128E-05","-4.96542217065521E-11"
"16","2.329086","1","2.32100484665043E-11","-5.15222563990392E-05","-5.28079142914084E-11"
"17","2.47246","0.999998807907104","2.3151184094794E-11","-5.03301635035314E-05","-5.26439065950957E-11"
"18","2.615834","0.999995231628418","2.31880434992116E-11","-5.07116310473066E-05","-4.97077587424677E-11"
"19","2.759208","0.99999475479126","2.35452178587447E-11","-5.11169455421623E-05","-5.2782382631289E-11"
"20","2.902583","0.999995946884155","2.36027013905682E-11","-5.20944595336914E-05","-5.82050345421248E-11"
"21","3.045957","0.999995231628418","2.35602856668571E-11","-5.38349158887286E-05","-5.12468713298464E-11"
"22","3.189331","0.999995946884155","2.35360030076404E-11","-5.33103957423009E-05","-5.41668411513374E-11"
"23","3.332706","0.999994993209839","2.33983526998216E-11","-5.14984130859375E-05","-5.63777809159394E-11"
"24","3.47608","0.999995231628418","2.35453254116003E-11","-5.14268867846113E-05","-5.1091218061794E-11"
"25","3.619455","0.999996423721313","2.35765816591904E-11","-5.23567214258946E-05","-5.33939732705324E-11"
"26","3.762829","0.999995708465576","2.34206924687452E-11","-5.24997703905683E-05","-4.89362959876782E-11"
"27","3.906203","0.999997138977051","2.38836415922261E-11","-5.24997703905683E-05","-4.64728706905948E-11"
"28","4.049578","0.999997615814209","2.39339000007721E-11","-5.47170639038086E-05","-4.78214620680539E-11"
"29","4.192952","0.999997854232788","2.39710092053702E-11","-5.31673431396484E-05","-4.77082852390343E-11"
"30","4.336326","0.999998807907104","2.41974600079242E-11","-5.37633895874023E-05","-4.78375915269336E-11"
"31","4.4797","0.999998092651367","2.41854192922775E-11","-5.57661078346428E-05","-4.61858155886841E-11"
"32","4.623075","0.999998807907104","2.44186164344296E-11","-5.31435034645256E-05","-4.4712223506993E-11"
"33","4.766449","0.999998807907104","2.46876720455536E-11","-5.19514105690178E-05","-4.6846259510458E-11"
"34","4.909823","0.999998569488525","2.47473951053845E-11","-5.27381889696699E-05","-4.62044846827325E-11"
"35","5.053197","0.999998331069946","2.48788958184809E-11","-5.09023666381836E-05","-4.60124265078132E-11"
"36","5.196571","0.999998331069946","2.52779724235763E-11","-4.99010093335528E-05","-4.38837889638055E-11"
"37","5.339946","0.999997615814209","2.54066108429374E-11","-4.91380706080236E-05","-4.70450171874415E-11"
"38","5.48332","0.999999284744263","2.52382403170825E-11","-4.96864340675529E-05","-4.56407203697218E-11"
"39","5.626695","1.0000011920929","2.51414895846569E-11","-5.05447387695313E-05","-3.03005086299546E-11"
"40","5.770069","1.00000047683716","2.5077247570171E-11","-5.13076774950605E-05","-3.66287000730381E-11"
