	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","0.99989128112793","1.27143738246072E-11","-6.97135910741054E-05","-5.21718016011086E-11"
"2","0.455639","0.999890327453613","1.2101590562974E-11","-7.02381148585118E-05","-5.21924621577075E-11"
"3","0.599013","0.999889373779297","1.20857837626609E-11","-7.08580046193674E-05","-5.44728394336058E-11"
"4","0.742387","0.999888181686401","1.2056946586958E-11","-6.9427493144758E-05","-5.44347761310959E-11"
"5","0.885761","0.99988842010498","1.20317341159581E-11","-6.8283079599496E-05","-5.12997144763716E-11"
"6","1.029135","0.999890327453613","1.21125219229579E-11","-6.74724578857422E-05","-5.75809261382787E-11"
"7","1.172508","0.999890804290771","1.20741723910744E-11","-6.73770919092931E-05","-6.12172396108335E-11"
"8","1.315882","0.999892950057983","1.2058591972175E-11","-6.6590313508641E-05","-5.44800281276903E-11"
"9","1.459256","0.999893426895142","1.20651249407855E-11","-6.69956207275391E-05","-5.91935250815467E-11"
"10","1.60263","0.999895095825195","1.20250224708296E-11","-6.50882720947266E-05","-6.4747061878645E-11"
"11","1.746004","0.999892950057983","1.19689822289382E-11","-6.54458999633789E-05","-7.17167505936978E-11"
"12","1.889377","0.999893426895142","1.2048316337665E-11","-6.64711042190902E-05","-5.99554642044531E-11"
"13","2.032751","0.999892234802246","1.22267369839779E-11","-6.78300857543945E-05","-5.92580221003836E-11"
"14","2.176126","0.999893188476563","1.22325422360903E-11","-6.6614149545785E-05","-5.6427921363289E-11"
"15","2.3195","0.999891519546509","1.22636319502267E-11","-6.57081618555821E-05","-6.05550262711141E-11"
"16","2.462874","0.999890565872192","1.23988389000296E-11","-6.63518949295394E-05","-5.57208654217156E-11"
"17","2.606248","0.999892234802246","1.24252205746522E-11","-6.72578826197423E-05","-5.60896537549205E-11"
"18","2.749621","0.999892234802246","1.2380302512327E-11","-6.64949402562343E-05","-5.80508106862165E-11"
"19","2.892995","0.999890327453613","1.24493124142866E-11","-6.47783308522776E-05","-5.28098710594893E-11"
"20","3.036368","0.999889850616455","1.24767305861861E-11","-6.41345977783203E-05","-5.19879590765715E-11"
"21","3.179742","0.99989128112793","1.25285511132223E-11","-6.35385513305664E-05","-5.61094642970161E-11"
"22","3.323115","0.999890565872192","1.26228454772059E-11","-6.43491730443202E-05","-5.06916522646783E-11"
"23","3.466489","0.999892234802246","1.26534937042178E-11","-6.60419464111328E-05","-5.1167393239071E-11"
"24","3.609863","0.999892473220825","1.26891015056474E-11","-6.61373123875819E-05","-5.3852249048969E-11"
"25","3.753236","0.999891996383667","1.26551989373946E-11","-6.62565216771327E-05","-5.5479943555925E-11"
"26","3.89661","0.999892473220825","1.25625256724993E-11","-6.79016156936996E-05","-5.40407059379522E-11"
"27","4.039985","0.999892234802246","1.25206589887683E-11","-7.06195860402659E-05","-5.43885006476508E-11"
"28","4.183359","0.999894618988037","1.24459505201902E-11","-6.92605972290039E-05","-5.51250954605731E-11"
"29","4.326733","0.999896287918091","1.25044705492905E-11","-6.89983353368007E-05","-5.64445261364011E-11"
"30","4.470107","0.999895095825195","1.25194906525072E-11","-7.03096375218593E-05","-5.74220532234548E-11"
"31","4.61348","0.999894857406616","1.25922917926236E-11","-7.03811674611643E-05","-5.48218970219949E-11"
"32","4.756853","0.999895334243774","1.26790765386797E-11","-6.91175446263514E-05","-5.4931940940417E-11"
"33","4.900227","0.999895572662354","1.27620579035148E-11","-6.77824064041488E-05","-5.36819581842263E-11"
"34","5.043601","0.999896764755249","1.27556801926554E-11","-6.53028473607264E-05","-5.3506362535094E-11"
"35","5.186975","0.99989652633667","1.27145767872539E-11","-6.57320051686838E-05","-5.43190735446952E-11"
"36","5.330348","0.999897480010986","1.27287035078805E-11","-6.57796845189296E-05","-5.58844567843941E-11"
"37","5.473721","0.999896049499512","1.28704434262938E-11","-6.60419464111328E-05","-5.41394706843334E-11"
"38","5.617095","0.999896287918091","1.29520179303899E-11","-6.59704237477854E-05","-5.50774946483923E-11"
"39","5.760469","0.999897241592407","1.29602197029843E-11","-6.90698652761057E-05","-5.54056522883428E-11"
"40","5.903843","0.999895095825195","1.30275963627913E-11","-6.98328003636561E-05","-5.42285105709084E-11"
"41","6.047217","0.999896049499512","1.30186798841248E-11","-6.99996962794103E-05","-5.47084114121965E-11"
"42","6.190591","0.999896287918091","1.29030466866631E-11","-7.2097776865121E-05","-5.45438659516062E-11"
"43","6.333965","0.99989652633667","1.28678916480607E-11","-7.32898697606288E-05","-5.38360710178321E-11"
"44","6.477339","0.999895334243774","1.29928229633536E-11","-7.10248932591639E-05","-5.51600709552957E-11"
"45","6.620712","0.999896287918091","1.30250220331529E-11","-7.02142715454102E-05","-5.37192963723232E-11"
"46","6.764086","0.999894142150879","1.30205629264579E-11","-7.12633118382655E-05","-5.66137692281643E-11"
"47","6.90746","0.999894618988037","1.29223584957594E-11","-7.07387953298166E-05","-5.22386682522136E-11"
"48","7.050834","0.999894380569458","1.28837582963337E-11","-7.07864746800624E-05","-5.20896312194985E-11"
"49","7.194207","0.999896049499512","1.28617047567836E-11","-7.15494170435704E-05","-5.49206374822475E-11"
"50","7.337581","0.999897241592407","1.28091452375467E-11","-7.10725798853673E-05","-5.05088228186512E-11"
"51","7.480955","0.999898433685303","1.29195213555144E-11","-7.13348417775705E-05","-5.24484518316104E-11"
"52","7.624328","0.999900579452515","1.30495076550163E-11","-7.15017304173671E-05","-5.38119097892586E-11"
"53","7.767702","0.999902486801147","1.29531385617554E-11","-7.06195860402659E-05","-5.19582640801097E-11"
"54","7.911076","0.999901056289673","1.28415351269284E-11","-7.08580046193674E-05","-5.15778079968054E-11"
"55","8.05445","0.999899864196777","1.28785610647997E-11","-7.08341613062657E-05","-5.07776390379355E-11"
"56","8.197824","0.999899625778198","1.29762294659441E-11","-7.18593582860194E-05","-5.15540977963358E-11"
"57","8.341198","0.999898910522461","1.31868361716303E-11","-7.08818479324691E-05","-5.3712881364909E-11"
"58","8.484572","0.999897480010986","1.31794453822609E-11","-7.05957427271642E-05","-5.32116295470786E-11"
"59","8.627946","0.999896764755249","1.32343415740199E-11","-6.94513364578597E-05","-5.40281777650087E-11"
"60","8.77132","0.999898433685303","1.33146887612567E-11","-6.81400342728011E-05","-5.65398700080877E-11"
"61","8.914694","0.999897956848145","1.33238316213369E-11","-6.76870331517421E-05","-5.3013815559666E-11"
"62","9.058067","0.999897003173828","1.32723450285699E-11","-6.85453414916992E-05","-5.30832287848337E-11"
"63","9.201441","0.999896287918091","1.33515238795456E-11","-6.98328003636561E-05","-5.61772711682451E-11"
"64","9.344815","0.999898672103882","1.33573178559554E-11","-6.89983353368007E-05","-5.52917503449102E-11"
"65","9.488188","0.999898433685303","1.33962398465859E-11","-7.01904282323085E-05","-5.37914643383708E-11"
"66","9.631561","0.999898195266724","1.33841158642123E-11","-6.99996962794103E-05","-5.36824577845874E-11"
"67","9.774934","0.999896764755249","1.33216380635015E-11","-6.96897550369613E-05","-5.34530301965486E-11"
"68","9.918308","0.999896764755249","1.33033159141482E-11","-6.85930281179026E-05","-5.18015387529491E-11"
"69","10.061682","0.999894857406616","1.33415466174736E-11","-6.73294052830897E-05","-5.11453379647975E-11"
"70","10.205056","0.999896287918091","1.34007215046861E-11","-6.54935865895823E-05","-5.23653273520885E-11"
"71","10.34843","0.999896049499512","1.3413036306642E-11","-6.42776503809728E-05","-5.15656475852388E-11"
"72","10.491804","0.999897003173828","1.33964419418708E-11","-6.43730163574219E-05","-5.1528156741476E-11"
"73","10.635178","0.999898433685303","1.34100083468147E-11","-6.46591215627268E-05","-5.21791117258363E-11"
"74","10.778552","0.999899864196777","1.33510234118228E-11","-6.68525681248866E-05","-5.26040669357464E-11"
"75","10.921925","0.999900102615356","1.33671884325337E-11","-6.64949402562343E-05","-5.15636214282189E-11"
"76","11.065299","0.999900341033936","1.32868889501925E-11","-6.71386733301915E-05","-5.26803982381363E-11"
"77","11.208673","0.999899387359619","1.32435564251243E-11","-6.70671506668441E-05","-5.36897436231865E-11"
"78","11.352046","0.999898910522461","1.33820055731038E-11","-6.86168714310043E-05","-5.49492361334725E-11"
"79","11.49542","0.999898672103882","1.33790374612364E-11","-6.90221786499023E-05","-5.75799130597687E-11"
