	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019550323486","3.61006974314293E-10","6.24656695435988E-06","-3.64072313963071E-12"
"2","0.321741","1.00019574165344","3.84519444063258E-10","6.69956216370338E-06","-6.38924850526745E-12"
"3","0.465116","1.00019240379333","3.86385062833838E-10","8.94069671630859E-06","-7.15556173341847E-12"
"4","0.608491","1.00019359588623","3.92590737696707E-10","7.51018524169922E-06","-7.10438478879194E-12"
"5","0.751866","1.00019407272339","4.01779415293291E-10","8.34465026855469E-06","-4.8744320212124E-12"
"6","0.895242","1.00019383430481","3.95531885022393E-10","1.03473666968057E-05","-3.71630200571293E-12"
"7","1.038617","1.00019240379333","3.91336796301545E-10","1.2516975402832E-05","-6.90803534167395E-12"
"8","1.181992","1.00019502639771","3.96475435815447E-10","1.36852268042276E-05","-3.81449472702799E-12"
"9","1.325367","1.00019454956055","4.01358363211202E-10","1.48057943079039E-05","-7.73568188672247E-12"
"10","1.468742","1.00019264221191","3.99707184017828E-10","1.53779983520508E-05","-5.7119369997749E-12"
"11","1.612117","1.00019574165344","4.07086586662331E-10","1.54972076416016E-05","-3.0982256690737E-12"
"12","1.755493","1.00020003318787","4.0201447726318E-10","1.74760825757403E-05","-8.89173717294467E-12"
"13","1.898868","1.0002007484436","4.08292871734162E-10","1.71422962012002E-05","-1.34721877750876E-11"
"14","2.042243","1.00019860267639","4.12274825389858E-10","1.51157382788369E-05","-1.04444621354394E-11"
"15","2.185618","1.00019764900208","4.1534994887904E-10","1.29938125610352E-05","-1.30449418628276E-11"
"16","2.328993","1.00019717216492","4.09439787629751E-10","1.14917756945943E-05","-8.08892276077389E-12"
"17","2.472368","1.00019788742065","4.05437211581372E-10","1.43766401379253E-05","-5.2891254744003E-12"
"18","2.615744","1.00019693374634","4.03913846813708E-10","1.38521199914976E-05","-6.90543672590693E-12"
"19","2.759119","1.00019812583923","4.03045291585968E-10","1.72138225025265E-05","-8.63629567166013E-12"
"20","2.902494","1.00019717216492","4.08296563225719E-10","1.78337104443926E-05","-9.76659031426408E-12"
"21","3.045869","1.00019693374634","4.05677547110628E-10","1.67608268384356E-05","-1.71842453461357E-11"
"22","3.189244","1.00019884109497","4.02639727115073E-10","1.78813934326172E-05","-1.49707919672171E-11"
"23","3.332619","1.00020051002502","3.99142968676713E-10","1.79767612280557E-05","-5.46888099042797E-12"
"24","3.475995","1.00019955635071","4.02765626406065E-10","1.47819519042969E-05","5.20777702645719E-13"
"25","3.61937","1.0001974105835","3.98549554470051E-10","1.35183336169575E-05","-6.78269853476854E-12"
"26","3.762745","1.00020003318787","4.04169309131674E-10","1.1467934200482E-05","-8.05855989577386E-12"
"27","3.90612","1.00019788742065","4.06888245318981E-10","1.40428546728799E-05","-1.05896116528448E-11"
"28","4.049495","1.00019717216492","4.15199985503989E-10","1.3279915037856E-05","-1.44352559419691E-11"
"29","4.19287","1.00019812583923","4.21066737033016E-10","1.20162967505166E-05","-1.13162994599958E-11"
"30","4.336246","1.00020003318787","4.28235863436655E-10","1.09910970422789E-05","-7.01181907675208E-12"
"31","4.479622","1.00019884109497","4.26745055959188E-10","1.08242038550088E-05","-7.95503853762147E-12"
"32","4.622998","1.0002007484436","4.18187012796167E-10","9.72747784544481E-06","-1.20973352862874E-11"
"33","4.766373","1.00020098686218","4.1370748493641E-10","1.04188920886372E-05","-1.70091267459593E-11"
"34","4.909748","1.00020241737366","4.18317908090771E-10","1.24216085168882E-05","-1.47513390391651E-11"
"35","5.053124","1.00020051002502","4.17809231656463E-10","1.15156171887065E-05","-7.46442057469876E-12"
"36","5.196499","1.00019764900208","4.33598740245955E-10","1.08003614514018E-05","-5.0443291037261E-12"
"37","5.339874","1.00019764900208","4.41086389635359E-10","1.02996827990864E-05","-8.40772416965674E-12"
"38","5.48325","1.00019502639771","4.40887187869166E-10","9.08374840946635E-06","-8.38817383608248E-12"
"39","5.626625","1.00019598007202","4.36369884670995E-10","9.58442706178175E-06","-1.13376859983694E-11"
"40","5.770001","1.00019907951355","4.42704428671448E-10","5.10215750182397E-06","-1.15225433361399E-11"
"41","5.913376","1.0002007484436","4.52182763455156E-10","6.53266897643334E-06","-1.05408910766602E-11"
"42","6.056751","1.00020146369934","4.55174425928462E-10","6.7710875555349E-06","-1.46592737948481E-11"
"43","6.200126","1.00020217895508","4.56266746606815E-10","9.98973882815335E-06","-1.24183302530056E-11"
"44","6.343502","1.00020170211792","4.58938109737517E-10","8.29696637083543E-06","-1.48947833233937E-11"
"45","6.486877","1.00020170211792","4.62299920567233E-10","5.62667855774635E-06","-1.18989948102999E-11"
"46","6.630252","1.00019979476929","4.66064187243376E-10","6.62803677187185E-06","-9.62874918686296E-12"
"47","6.773627","1.0002007484436","4.6650799889747E-10","6.79492950439453E-06","-1.52492879434973E-11"
"48","6.917002","1.00019955635071","4.73193373373704E-10","8.44001806399319E-06","-1.25013350366077E-11"
"49","7.060377","1.0002007484436","4.73622308039268E-10","1.01089481177041E-05","-7.95034177381027E-12"
"50","7.203752","1.00019860267639","4.74470129852023E-10","1.1277198609605E-05","-6.96349141543484E-12"
"51","7.347128","1.00019717216492","4.73119488031415E-10","1.24454500110005E-05","-2.78403754043477E-12"
"52","7.490502","1.00019502639771","4.69346894682587E-10","1.0704994565458E-05","-3.81909608104802E-12"
"53","7.633877","1.00019574165344","4.69416228110475E-10","1.30176549646421E-05","-6.29107963640019E-12"
"54","7.777253","1.0001962184906","4.66780392116561E-10","1.48296358020161E-05","-4.59997664958856E-12"
"55","7.920628","1.00019598007202","4.62799881750797E-10","1.509189587523E-05","-3.9871456830598E-12"
"56","8.064003","1.00019836425781","4.57568621881066E-10","1.45912172229146E-05","-7.63407913273451E-12"
"57","8.207378","1.00019836425781","4.64401239685941E-10","1.55687339429278E-05","-7.6237679363933E-12"
"58","8.350753","1.0001974105835","4.78328099351444E-10","1.33514404296875E-05","-3.57863912114897E-12"
"59","8.494128","1.00019788742065","4.79022266297591E-10","1.18017196655273E-05","-8.43639394454421E-12"
"60","8.637503","1.00019764900208","4.71434835613849E-10","1.44243240356445E-05","-1.36652113236213E-11"
"61","8.780878","1.0001974105835","4.74343064826854E-10","1.59740447998047E-05","2.03775169481391E-12"
"62","8.924254","1.00019550323486","4.77742900795164E-10","1.5997886293917E-05","-1.21346353104679E-11"
"63","9.067629","1.00019454956055","4.84837781034031E-10","1.55687339429278E-05","-1.43959046072784E-11"
"64","9.211004","1.00019574165344","4.7858356166941E-10","1.42335893542622E-05","-8.80326020413769E-12"
"65","9.354379","1.00019598007202","4.7548803783215E-10","1.33037565319682E-05","-1.9459356001561E-11"
"66","9.497754","1.00019550323486","4.78784067947657E-10","1.23977661132813E-05","-1.31893870825017E-11"
"67","9.641129","1.0001962184906","4.79601747205294E-10","1.06334691736265E-05","-1.61440010665315E-11"
"68","9.784504","1.00019454956055","4.65012167660817E-10","1.12056732177734E-05","-7.05118168714547E-12"
"69","9.92788","1.00019478797913","4.68011962517778E-10","1.13725664050435E-05","-9.20213471394815E-12"
"70","10.071255","1.00019574165344","4.6770048944822E-10","1.19209289550781E-05","-1.10936641817272E-11"
"71","10.21463","1.00019574165344","4.63121513361031E-10","1.05142598840757E-05","-1.66736017354063E-11"
"72","10.358005","1.00019478797913","4.47882175791392E-10","1.33514404296875E-05","-1.8590807712715E-11"
"73","10.50138","1.00019359588623","4.46001985343614E-10","1.32083896460244E-05","-1.24568584614071E-11"
"74","10.644756","1.00019407272339","4.51432696779719E-10","1.38759614856099E-05","-1.52664426239513E-11"
"75","10.788131","1.00019431114197","4.57093585204404E-10","1.44720079333638E-05","-2.75692229462221E-11"
"76","10.931506","1.00019383430481","4.60871202312418E-10","1.51157382788369E-05","-1.49190659826104E-11"
"77","11.074881","1.00019574165344","4.65983640562939E-10","1.29699710669229E-05","-2.33252878817369E-11"
"78","11.218256","1.00019478797913","4.73494299324528E-10","1.32322311401367E-05","-1.55768870024886E-11"
"79","11.361631","1.00019359588623","4.6810672005293E-10","1.31130218505859E-05","-1.01686124798217E-11"
"80","11.505007","1.00019335746765","4.61940985463372E-10","1.3613701412396E-05","-1.28193020434986E-11"
"81","11.648382","1.00019407272339","4.52614778989613E-10","1.16348264782573E-05","-1.51456592493299E-12"
"82","11.791757","1.00019264221191","4.52152121299676E-10","1.46150587170268E-05","-1.11581204345623E-11"
"83","11.935133","1.00019335746765","4.50099457705022E-10","1.68085098266602E-05","-2.06144459141688E-11"
"84","12.078508","1.00019335746765","4.51602089057701E-10","1.50680543811177E-05","-2.47255566715454E-11"
"85","12.221884","1.00019478797913","4.62440002957365E-10","1.48773196997354E-05","-1.70631286877665E-11"
"86","12.36526","1.00019407272339","4.6536646758355E-10","1.52826305566123E-05","-1.58448341253115E-11"
"87","12.508636","1.00019383430481","4.6315931645502E-10","1.62124633789063E-05","-8.79417632465573E-12"
"88","12.652011","1.00019121170044","4.63394628225089E-10","1.64985667652218E-05","-1.0171425333938E-11"
"89","12.795386","1.00019311904907","4.5254813785256E-10","1.60694125952432E-05","-1.46582607163381E-11"
"90","12.938761","1.00019335746765","4.43497766289269E-10","1.55448924488155E-05","-1.11184594517311E-11"
"91","13.082136","1.00019454956055","4.54469184507644E-10","1.59263618115801E-05","-6.47671239556447E-12"
"92","13.225511","1.00019192695618","4.61609472868219E-10","1.55687339429278E-05","1.51849984409563E-12"
"93","13.368886","1.00019454956055","4.51847170790387E-10","2.00271606445313E-05","-2.49999760476571E-12"
"94","13.512261","1.00019407272339","4.48392267760056E-10","2.0003319150419E-05","-6.9929361780352E-12"
"95","13.655636","1.00019550323486","4.42509529019475E-10","1.60217296070186E-05","-8.98568632695662E-12"
"96","13.79901","1.00019526481628","4.45495723644385E-10","1.87396999535849E-05","-6.02906960467386E-12"
"97","13.942386","1.00019669532776","4.46533199305321E-10","1.66654590429971E-05","-7.6089863576545E-12"
"98","14.085761","1.00019693374634","4.47360370969818E-10","1.54256831592647E-05","-1.14638333548189E-11"
"99","14.229136","1.00019598007202","4.46960662925378E-10","1.94549556908896E-05","-5.85604915254168E-12"
"100","14.372512","1.00019598007202","4.46277376164872E-10","1.96695327758789E-05","-1.31249906776265E-11"
"101","14.515888","1.00019454956055","4.44401238031134E-10","1.39713292810484E-05","-5.86960341442122E-12"
"102","14.659264","1.00019288063049","4.33584806946996E-10","1.19447713586851E-05","-1.41007899800982E-11"
"103","14.802639","1.0001916885376","4.32882063527984E-10","9.08374840946635E-06","-1.60263659981785E-11"
"104","14.946014","1.00019288063049","4.28826807397087E-10","9.20295769901713E-06","-1.1878800894316E-11"
"105","15.089389","1.00019478797913","4.35210228966199E-10","1.11818317236612E-05","-7.95444266010747E-12"
"106","15.232765","1.00019407272339","4.46555958877326E-10","1.12533571154927E-05","-4.74885712350992E-12"
"107","15.376141","1.00019192695618","4.55349064010235E-10","9.89437103271484E-06","-7.61996542253396E-12"
"108","15.519516","1.00019454956055","4.62274885038028E-10","1.16825103759766E-05","-3.68739370634752E-12"
"109","15.662891","1.00019431114197","4.69331018493335E-10","1.0538101378188E-05","-8.56537844123872E-12"
"110","15.806267","1.00019407272339","4.53663800970006E-10","1.0371208190918E-05","-8.39507630079339E-12"
"111","15.949642","1.00019502639771","4.440492140656E-10","8.98838061402785E-06","-7.31120112368311E-12"
"112","16.093018","1.00019598007202","4.38552499870681E-10","9.89437103271484E-06","-1.28549098449282E-11"
"113","16.236393","1.00019693374634","4.35211394700374E-10","8.96453911991557E-06","-1.26494882277117E-11"
"114","16.379768","1.00019764900208","4.28997615209425E-10","1.13964078991557E-05","-1.35080219579309E-11"
"115","16.523143","1.00020051002502","4.33351382556069E-10","1.27553939819336E-05","-1.92869192838785E-11"
"116","16.666518","1.00020122528076","4.31447128024232E-10","9.91821343632182E-06","-1.15170954370636E-11"
"117","16.809894","1.0002007484436","4.42189312943597E-10","7.46250179872732E-06","-1.12877372379638E-11"
"118","16.953269","1.00020027160645","4.62455018723773E-10","7.60555258239037E-06","-9.18326352461474E-12"
"119","17.096644","1.00020003318787","4.55658899500833E-10","6.53266897643334E-06","-5.48257836699428E-12"
"120","17.240019","1.0002007484436","4.47685583049307E-10","5.14984139954322E-06","-4.9698114547303E-12"
"121","17.383394","1.00020098686218","4.51645609800266E-10","5.34057608092553E-06","-7.78921892263806E-12"
"122","17.526769","1.00020098686218","4.45452091879517E-10","6.50882748232107E-06","-1.68490416931066E-12"
"123","17.670144","1.0002007484436","4.34822428063697E-10","8.89301281858934E-06","-7.58067393580308E-12"
"124","17.813519","1.00020027160645","4.32140212502929E-10","1.11341478259419E-05","-1.16628763938142E-11"
"125","17.956894","1.00020098686218","4.24897533823909E-10","1.1610984984145E-05","-1.06678129871418E-11"
"126","18.100269","1.00020217895508","4.19433571208216E-10","1.25885007946636E-05","-8.82111831496113E-12"
"127","18.243644","1.00020217895508","4.29292185133434E-10","1.13725664050435E-05","-3.00952210201266E-12"
"128","18.387019","1.00020027160645","4.3967460228167E-10","1.0704994565458E-05","-6.75804637945143E-12"
"129","18.530394","1.00020051002502","4.49454168327534E-10","9.29832458496094E-06","-1.15414622303689E-11"
"130","18.673769","1.00020289421082","4.50499637594248E-10","8.44001806399319E-06","-6.11358880187041E-12"
"131","18.817144","1.00020241737366","4.53404758182785E-10","1.02996827990864E-05","-1.77947283644397E-12"
"132","18.96052","1.00020027160645","4.54536297489483E-10","1.04904174804688E-05","-4.51266758336177E-12"
"133","19.103895","1.00020265579224","4.54229931445838E-10","8.98838061402785E-06","-7.77502107834893E-12"
"134","19.24727","1.0002007484436","4.68526717423146E-10","8.535384949937E-06","-7.4355842663576E-12"
"135","19.390645","1.00020027160645","4.7047638007669E-10","7.39097595214844E-06","-1.0540997762154E-11"
"136","19.53402","1.00020289421082","4.74218497803491E-10","5.96046447753906E-06","-8.23308261843625E-12"
"137","19.677395","1.00020265579224","4.62149846169879E-10","8.10623168945313E-06","-6.77448505279066E-12"
"138","19.820771","1.00020122528076","4.60035787241964E-10","1.05857852759073E-05","-1.33084897269153E-11"
"139","19.964146","1.00020051002502","4.77162809264797E-10","1.04427335827495E-05","-1.33440142616181E-11"
"140","20.107521","1.0002019405365","4.72594352540767E-10","8.20159948489163E-06","-1.47536878547516E-11"
"141","20.250897","1.00020098686218","4.68831640176859E-10","7.22408321962575E-06","-1.84682252130086E-11"
"142","20.394272","1.00020098686218","4.696247279945E-10","7.93933850218309E-06","-2.08529114115175E-11"
"143","20.537648","1.00020241737366","4.69864480656668E-10","8.55922735354397E-06","-1.50724658448675E-11"
"144","20.681024","1.00020146369934","4.70328775925566E-10","4.33921832154738E-06","-1.52561071414814E-11"
"145","20.824399","1.00020170211792","4.80831263693915E-10","2.90870661956433E-06","-6.08038923030629E-12"
"146","20.967774","1.00019860267639","4.79866146818608E-10","2.64644631897681E-06","-4.61945542581943E-12"
"147","21.11115","1.00019669532776","4.81748196889953E-10","3.07559980683436E-06","-4.82612864602383E-12"
"148","21.254525","1.00019931793213","4.79479789206039E-10","2.19345088225964E-06","-2.54666811727242E-13"
"149","21.3979","1.00020170211792","4.77792971853574E-10","1.83582312729413E-06","-3.01032072533292E-12"
"150","21.541276","1.00020146369934","4.79380590778788E-10","3.00407418762916E-06","-5.84380634160997E-12"
"151","21.68465","1.00020122528076","4.73816152979367E-10","1.09672544112982E-06","-5.39398213594833E-12"
"152","21.828025","1.0002007484436","4.77164585621637E-10","-1.90734866123421E-07","-6.20136277398875E-12"
"153","21.9714","1.00020337104797","4.78048434171541E-10","-2.38418579101563E-07","-8.33047606590975E-12"
"154","22.114775","1.00020241737366","4.83881434920619E-10","2.62260442696061E-07","-1.07073907032462E-11"
"155","22.25815","1.00019979476929","4.74884243040208E-10","-3.81469732246842E-07","-9.93305437901881E-12"
"156","22.401525","1.0002007484436","4.54957710394055E-10","2.78949733001355E-06","-2.50962983033842E-11"
"157","22.5449","1.00019907951355","4.63652588544861E-10","3.31401838593592E-06","-1.22916937045359E-11"
"158","22.688275","1.00020146369934","4.65495447743436E-10","2.50339508056641E-06","-8.91233701422189E-12"
"159","22.83165","1.00020027160645","4.60030541438172E-10","3.02791590911511E-06","-1.04893801977646E-11"
"160","22.975025","1.0001962184906","4.67730743025641E-10","3.52859501617786E-06","-1.55172229232559E-11"
"161","23.1184","1.00019717216492","4.75283257195258E-10","-2.62260442696061E-07","-9.76638821897913E-12"
"162","23.261776","1.00019955635071","4.63962673835638E-10","2.14576721191406E-06","-8.77230146162367E-12"
"163","23.405151","1.00020027160645","4.61482269065172E-10","4.12464169130544E-06","-6.70101647781696E-12"
"164","23.548526","1.0001974105835","4.63557831009709E-10","4.62532034362084E-06","-5.61704632459636E-12"
"165","23.691901","1.00019907951355","4.53942883282821E-10","3.31401838593592E-06","-1.09284048824265E-11"
"166","23.835276","1.00019764900208","4.46486458915984E-10","2.00271620087733E-06","-7.42620201443778E-12"
"167","23.978651","1.00019645690918","4.46921583074911E-10","1.88350679763971E-06","-1.39028077245085E-11"
"168","24.122026","1.00019574165344","4.53457577043181E-10","3.81469732246842E-07","-1.13372323681804E-11"
"169","24.265401","1.00019574165344","4.6164130851345E-10","6.91413902131899E-07","-1.29504202500685E-11"
"170","24.408776","1.00019764900208","4.66442551250168E-10","4.76837165308552E-08","-1.50597815468112E-11"
"171","24.552151","1.0001974105835","4.6996151414902E-10","3.57627868652344E-07","-1.36236430123282E-11"
"172","24.695526","1.00019717216492","4.72529737560734E-10","1.85966496246692E-06","-1.77735205025842E-11"
"173","24.838901","1.00019383430481","4.67641314561007E-10","3.45706939697266E-06","-1.40060185671587E-11"
"174","24.982276","1.00019383430481","4.68857064284123E-10","5.17368334840285E-06","-1.2299264037785E-11"
