	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019073486328","3.01885128006774E-10","3.69548797607422E-06","-3.92055173048522E-11"
"2","0.321825","1.00019288063049","3.15932391359297E-10","5.07831600771169E-06","-4.38410661940392E-11"
"3","0.4652","1.00019145011902","3.2007896333397E-10","4.55379495178931E-06","-3.55822454833898E-11"
"4","0.608575","1.00018858909607","3.15938580852659E-10","6.60419482301222E-06","-3.16440346148639E-11"
"5","0.75195","1.00019240379333","3.14469089657265E-10","7.22408321962575E-06","-2.17386959128207E-11"
"6","0.895326","1.00019264221191","3.13927772666034E-10","6.00814837525832E-06","-1.17284897072079E-11"
"7","1.038701","1.00019216537476","3.16660864196905E-10","5.55515316591482E-06","-1.56871911294321E-11"
"8","1.182076","1.00019335746765","3.2070790467742E-10","5.03063210999244E-06","-2.44894625411884E-11"
"9","1.325451","1.00019454956055","3.2548760908746E-10","3.83853921448463E-06","-2.06162569654778E-11"
"10","1.468826","1.00019359588623","3.26262711292102E-10","4.31537637268775E-06","-9.8868370088101E-12"
"11","1.612201","1.00019288063049","3.29306831803322E-10","3.02791590911511E-06","-8.74094980424234E-12"
"12","1.755577","1.00019407272339","3.34001298840647E-10","5.14984139954322E-06","-5.3262234032958E-12"
"13","1.898951","1.00019431114197","3.34260091827687E-10","4.50611105407006E-06","-2.92675497552686E-12"
"14","2.042326","1.00019216537476","3.40195538406363E-10","6.38961819277029E-06","4.41558378402873E-12"
"15","2.185701","1.00019335746765","3.42092160154905E-10","6.31809234619141E-06","-1.49920353909039E-11"
"16","2.329076","1.00019311904907","3.42004646824989E-10","7.08103198121535E-06","-2.05191376043135E-12"
"17","2.472452","1.00019311904907","3.42845779544021E-10","7.48634329283959E-06","-3.49588392088707E-12"
"18","2.615827","1.00019216537476","3.52297524486289E-10","7.41481790100806E-06","-1.10572575401369E-11"
"19","2.759202","1.00019216537476","3.56866119988197E-10","8.77380352903856E-06","-5.31038060747058E-12"
"20","2.902577","1.00019097328186","3.55289686559956E-10","8.94069671630859E-06","-1.13332156159718E-11"
"21","3.045952","1.00018978118896","3.45796807854626E-10","6.96182269166457E-06","-3.83937118209055E-11"
"22","3.189327","1.00019001960754","3.416263938405E-10","6.65187826598412E-06","-2.53613709894074E-11"
"23","3.332702","1.0001916885376","3.4283065275531E-10","5.41210192750441E-06","-1.40310410859379E-11"
"24","3.476077","1.00019311904907","3.41804501369225E-10","7.93933850218309E-06","-1.6293764948383E-11"
"25","3.619452","1.00019192695618","3.47275375123246E-10","8.82148742675781E-06","-4.1709066755935E-12"
"26","3.762827","1.00019121170044","3.47899070662905E-10","7.93933850218309E-06","-5.42166225109275E-12"
"27","3.906202","1.0001916885376","3.40920569552594E-10","6.7710875555349E-06","-1.92749496918942E-11"
"28","4.049577","1.00019025802612","3.42982753309684E-10","8.27312487672316E-06","-5.72516947044965E-12"
"29","4.192952","1.0001904964447","3.49155537815449E-10","1.04427335827495E-05","-9.77153774561756E-12"
"30","4.336327","1.00019121170044","3.49720113979046E-10","9.96589642454637E-06","-9.49022804785926E-12"
"31","4.479702","1.00019121170044","3.48862522203675E-10","1.39474868774414E-05","-4.60267078356696E-13"
"32","4.623077","1.00018882751465","3.44737405288953E-10","1.40190122692729E-05","-6.5575600505241E-12"
"33","4.766452","1.00018835067749","3.47138512379885E-10","1.37805936901714E-05","-8.39335892455217E-12"
"34","4.909827","1.00018811225891","3.46376649584812E-10","1.22070314318989E-05","-1.25735168804431E-11"
"35","5.053202","1.00018978118896","3.48554962670278E-10","1.36375429065083E-05","-1.61794310588048E-11"
"36","5.196578","1.00018978118896","3.43438721905898E-10","1.34706497192383E-05","-1.27723101192578E-11"
"37","5.339953","1.00019025802612","3.43493816723495E-10","1.22785568237305E-05","-2.77996549391535E-11"
"38","5.483328","1.00019145011902","3.47264161870697E-10","1.10149385363911E-05","-2.47754941562484E-11"
"39","5.626703","1.00019264221191","3.53507140227194E-10","9.77516174316406E-06","-1.18782518543359E-11"
"40","5.770078","1.00019478797913","3.6088917965138E-10","1.25646593005513E-05","-3.17817092088113E-11"
"41","5.913453","1.00019431114197","3.70748376443686E-10","1.52587890625E-05","-2.94247404220016E-11"
"42","6.056828","1.00019335746765","3.76212228037076E-10","1.22785568237305E-05","-2.65439042274052E-11"
"43","6.200203","1.00019264221191","3.70714070552225E-10","1.1610984984145E-05","-5.06703637381811E-11"
"44","6.343578","1.00019192695618","3.70870223420638E-10","1.1467934200482E-05","-5.50905467078255E-11"
"45","6.486953","1.00019335746765","3.70859148945968E-10","7.93933850218309E-06","-5.14756674785399E-11"
"46","6.630329","1.00019192695618","3.71965291900977E-10","1.0371208190918E-05","-4.93076586505214E-11"
"47","6.773704","1.0001916885376","3.65899088805577E-10","1.07526784631773E-05","-1.97349914188294E-11"
"48","6.917079","1.00019454956055","3.59363677704394E-10","1.12295156213804E-05","-3.68299488129331E-12"
"49","7.060454","1.00019145011902","3.57475854473321E-10","1.04904174804688E-05","3.24647426996894E-12"
"50","7.203829","1.00018906593323","3.52878670728529E-10","1.21831899377867E-05","4.59067809807645E-12"
"51","7.347205","1.00019073486328","3.53236773165122E-10","1.22785568237305E-05","-1.19743112994564E-11"
"52","7.49058","1.00019097328186","3.5598754499766E-10","1.19209289550781E-05","-1.35694146891074E-11"
"53","7.633955","1.00018811225891","3.56610990737138E-10","1.2350082215562E-05","-1.16695524771115E-11"
"54","7.77733","1.00019240379333","3.52165324679632E-10","1.24692915051128E-05","-6.15522867050688E-12"
"55","7.920705","1.00019311904907","3.45562328751825E-10","1.36613844006206E-05","-1.67523512423218E-11"
