	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	-5
	...Stop,	5
	...Step,	0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019598007202","5.15588058358496E-11","-5.00319957733154","-1.38206006639052E-08"
"2","0.143375","1.00019812583923","7.24896670467601E-11","-4.90288496017456","-9.75202762987237E-09"
"3","1.099112","1.00020241737366","1.83117618290929E-10","-4.80300188064575","-8.86176021452911E-09"
"4","1.242487","1.00020337104797","2.3442600638468E-10","-4.70276355743408","-7.86858311840888E-09"
"5","1.385862","1.00020360946655","3.51819379185159E-10","-4.60287809371948","-7.31082305804875E-09"
"6","1.529238","1.00020337104797","5.08132091958657E-10","-4.50264692306519","-6.88134882409486E-09"
"7","1.672614","1.00020289421082","6.91198098756729E-10","-4.402756690979","-6.42358299884904E-09"
"8","1.815989","1.00020217895508","9.35658994727362E-10","-4.30279731750488","-6.01587313298069E-09"
"9","2.138034","1.0002007484436","1.35999445038948E-09","-4.20258760452271","-5.62952973126585E-09"
"10","2.281409","1.00019884109497","1.89627047397778E-09","-4.1026782989502","-5.30622124017555E-09"
"11","2.424785","1.00020146369934","2.36516006779652E-09","-4.00245666503906","-4.92167817611744E-09"
"12","2.568161","1.0002019405365","2.80964007615125E-09","-3.90257358551025","-4.52421788921242E-09"
"13","2.711537","1.00020027160645","3.62752072824435E-09","-3.80236625671387","-4.18915524491581E-09"
"14","2.854912","1.00020217895508","4.55018156486631E-09","-3.70246887207031","-3.8613245934016E-09"
"15","2.998287","1.00020289421082","5.63040503109846E-09","-3.60224008560181","-3.545712168318E-09"
"16","3.141662","1.00020456314087","6.44475228739338E-09","-3.50233793258667","-3.23719739903083E-09"
"17","3.285038","1.00020122528076","7.56217488628863E-09","-3.40236902236938","-2.95679813966387E-09"
"18","3.428413","1.00020027160645","9.49001943695293E-09","-3.3021354675293","-2.65669353183284E-09"
"19","3.750463","1.00020408630371","1.02451922501245E-08","-3.20225477218628","-2.37869968167104E-09"
"20","3.893839","1.00020432472229","1.26580239623308E-08","-3.10203790664673","-2.27278240672035E-09"
"21","4.037214","1.00020480155945","1.55549653158005E-08","-3.00206184387207","-1.94276461584764E-09"
"22","4.180589","1.00020480155945","1.91105122837598E-08","-2.90185689926147","-1.67969460562745E-09"
"23","4.323964","1.00020742416382","2.24659082448397E-08","-2.80195951461792","-1.4093816114169E-09"
"24","4.467339","1.00021052360535","2.43345859018973E-08","-2.70175457000732","-1.13260867351528E-09"
"25","4.610714","1.00020718574524","2.83265713107994E-08","-2.60180473327637","-1.97030902704398E-09"
"26","5.566463","1.00020360946655","2.62119055349785E-08","-2.50188827514648","-1.11969589156047E-09"
"27","5.709838","1.00020360946655","3.14761763320348E-08","-2.40165710449219","-1.68568847769279E-09"
"28","6.665536","1.00020217895508","2.87740586912832E-08","-2.30183839797974","-1.61892177441558E-09"
"29","7.621223","1.0002019405365","2.94718276450112E-08","-2.20163345336914","-1.41966582933861E-09"
"30","8.576911","1.00020360946655","2.9747630136967E-08","-2.10170745849609","-1.31015653881406E-09"
"31","9.532604","1.00020360946655","3.4375489121885E-08","-2.00090885162354","-1.17305154478942E-09"
"32","10.488405","1.00020003318787","3.90499117486343E-08","-1.90088677406311","-9.57929624512133E-10"
"33","11.265454","1.00020313262939","4.60782523248326E-08","-1.80086231231689","-4.34177971353478E-10"
"34","11.408829","1.0002007484436","5.77451473304791E-08","-1.70080375671387","-7.20442261403775E-10"
"35","12.819556","1.00019645690918","5.31768087341788E-08","-1.60078310966492","-1.78517811644241E-10"
"36","12.96293","1.00019574165344","6.62104255866325E-08","-1.50072312355042","2.55615112410013E-10"
"37","13.106305","1.00019574165344","8.21905743464413E-08","-1.40069580078125","6.00134497652505E-10"
"38","13.383637","1.00019884109497","9.35750037456273E-08","-1.30067157745361","9.07657837778686E-10"
"39","13.527175","1.00020027160645","1.13469241114217E-07","-1.20061039924622","9.48674139245043E-10"
