	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	-5
	...Stop,	5
	...Step,	0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00018930435181","5.31423104306594E-13","-5.00308513641357","-1.54111621242237E-08"
"2","0.143375","1.00019121170044","-2.40998280359728E-12","-4.90283966064453","-9.74852909507717E-09"
"3","0.465519","1.00019383430481","-2.78921135320187E-12","-4.80298042297363","-8.86399753596834E-09"
"4","0.608894","1.00019264221191","-3.70979332323107E-12","-4.70270156860352","-8.239637416807E-09"
"5","0.752269","1.00019407272339","-4.06438121006159E-12","-4.60280418395996","-7.76571784655289E-09"
"6","0.895644","1.0001974105835","-4.21522842672384E-12","-4.50262308120728","-7.29116544917474E-09"
"7","1.039019","1.00019693374634","-4.27318814014144E-12","-4.40272092819214","-6.81980605321542E-09"
"8","1.182394","1.00019764900208","-4.33443775663123E-12","-4.30275440216064","-6.4288605550189E-09"
"9","1.325769","1.00019788742065","-4.37034393049873E-12","-4.202561378479","-6.01317884374453E-09"
"10","1.469144","1.00019884109497","-4.38889289494648E-12","-4.10265445709229","-5.57914114907021E-09"
"11","1.612519","1.00019812583923","-4.40074192364914E-12","-4.00243282318115","-5.21345500104076E-09"
"12","1.755894","1.00019860267639","-4.37614918261109E-12","-3.90253067016602","-4.85958828733146E-09"
"13","1.899269","1.00019907951355","-4.40189855052675E-12","-3.8023042678833","-4.47918280244153E-09"
"14","2.042643","1.00019884109497","-4.41768193207293E-12","-3.70238065719604","-4.18861878515031E-09"
"15","2.186018","1.00020146369934","-4.42302227829372E-12","-3.60215663909912","-3.85481957465572E-09"
"16","2.329393","1.00020003318787","-4.43159354698852E-12","-3.50231170654297","-3.52614648591043E-09"
"17","2.472768","1.00019955635071","-4.44189303394626E-12","-3.40238094329834","-3.24046123267863E-09"
"18","2.616143","1.00019931793213","-4.44138042315911E-12","-3.30217123031616","-2.93921353922144E-09"
"19","2.759518","1.00019931793213","-4.4315336990286E-12","-3.20229530334473","-2.61417865132785E-09"
"20","2.902894","1.00020003318787","-4.44006940589214E-12","-3.10206174850464","-2.38198749613616E-09"
"21","3.046269","1.00019860267639","-4.42867270633585E-12","-3.00210237503052","-2.08213934982382E-09"
"22","3.189645","1.0001974105835","-4.43110478864917E-12","-2.90189027786255","-1.82332271503327E-09"
"23","3.33302","1.00019907951355","-4.42610965240009E-12","-2.80197143554688","-1.55994295258921E-09"
"24","3.476395","1.00019836425781","-4.4416072382536E-12","-2.70172357559204","-1.31252886337307E-09"
"25","3.61977","1.00019836425781","-4.43874624556084E-12","-2.60180950164795","-1.06591457882388E-09"
"26","3.763145","1.00019454956055","-4.45455304587394E-12","-2.50188589096069","-1.93445681695437E-09"
"27","4.71905","1.00019407272339","-2.7499079402471E-12","-2.40167140960693","-1.0782551518318E-09"
"28","4.862425","1.00019454956055","-3.79717351312037E-12","-2.30173110961914","-1.66974423176924E-09"
"29","5.818167","1.00019717216492","-2.75958769724305E-12","-2.20149278640747","-1.51985168894697E-09"
"30","6.773969","1.00019025802612","-2.73909562566177E-12","-2.10151672363281","-1.38097999702325E-09"
"31","7.729788","1.00018930435181","-2.73765320309149E-12","-2.00088667869568","-1.19789833608053E-09"
"32","8.685509","1.0001904964447","-2.72926104459559E-12","-1.90087080001831","-1.09714626272961E-09"
"33","9.641211","1.00018525123596","-2.72802115099113E-12","-1.80084919929504","-8.91485996135088E-10"
"34","10.41826","1.00018787384033","-2.74139651951222E-12","-1.7007942199707","-3.58533730482335E-10"
"35","10.561635","1.00019025802612","-3.79580264789348E-12","-1.60077714920044","-6.60829668763796E-10"
"36","11.972322","1.00019383430481","-2.74029974059453E-12","-1.50071978569031","-1.23151780440089E-10"
"37","12.115696","1.00019335746765","-3.74872702324502E-12","-1.40069198608398","3.04030994824345E-10"
"38","12.259071","1.00019359588623","-3.56465573204956E-12","-1.30066537857056","6.47565223665936E-10"
"39","12.402446","1.00019574165344","-1.76715846816888E-13","-1.20060205459595","9.51754897116075E-10"
"40","12.545821","1.00019526481628","1.58619645196367E-11","-1.10057878494263","5.91311444253506E-10"
"41","12.868037","1.00019407272339","7.20686912925039E-11","-1.00051474571228","1.07970599128038E-09"
"42","13.645179","1.00019264221191","3.1751476448072E-10","-0.900484323501587","1.36087296986886E-09"
"43","13.788555","1.00019383430481","5.55929302592517E-10","-0.800457239151001","1.13803033663373E-09"
"44","14.110589","1.00019240379333","1.94464200298228E-09","-0.700388431549072","1.49232270985067E-09"
"45","14.253965","1.00019145011902","4.14235845624944E-09","-0.600357532501221","1.63978097766915E-09"
"46","14.397339","1.00019240379333","7.77364750348397E-09","-0.500293493270874","1.82398551817897E-09"
"47","14.719493","1.00019574165344","1.24969838921629E-08","-0.400259256362915","2.08547112912072E-09"
"48","14.862869","1.00019431114197","2.03739176640738E-08","-0.300214767456055","2.0654975507739E-09"
"49","15.006243","1.00019407272339","3.11153520726748E-08","-0.200117856264114","2.34181762870378E-09"
"50","15.149618","1.0001916885376","4.63481057977333E-08","-0.100077748298645","2.56820675836877E-09"
"51","15.292994","1.00018978118896","6.57279528581967E-08","1.51395797729492E-05","2.72845634974317E-09"
"52","15.43637","1.00019001960754","9.07492889723471E-08","0.100061513483524","2.85101764418982E-09"
"53","15.713716","1.00019240379333","1.18570206097957E-07","0.20009957253933","3.09241299234486E-09"
"54","15.857092","1.00019216537476","1.57500750219697E-07","0.300091981887817","3.0415092666658E-09"
"55","16.000467","1.0001916885376","2.06276183689624E-07","0.400141716003418","3.27033289337919E-09"
"56","16.143842","1.00019145011902","2.61946809132496E-07","0.500183820724487","3.43172779082579E-09"
"57","16.287217","1.00018954277039","3.29739464177692E-07","0.600222110748291","3.60103613594731E-09"
"58","16.430592","1.00019001960754","4.06278360287615E-07","0.700302839279175","3.7782372785955E-09"
"59","16.573968","1.00019264221191","4.95743165629392E-07","0.80034351348877","3.92333632248665E-09"
"60","16.717343","1.00019216537476","5.93511344959552E-07","0.900380373001099","4.09079792262901E-09"
"61","16.860718","1.00019311904907","7.08314871644689E-07","1.00042080879211","4.19064294376881E-09"
"62","17.004093","1.00019335746765","8.33648584830371E-07","1.10045480728149","4.35572511392479E-09"
"63","17.147469","1.00019216537476","9.80031813924143E-07","1.20048642158508","4.52993731414608E-09"
"64","17.424836","1.00019335746765","1.11609813302493E-06","1.30051922798157","4.65160621132554E-09"
"65","17.568212","1.00019407272339","1.28686428979563E-06","1.40058183670044","4.62074023488412E-09"
"66","17.711587","1.00019550323486","1.47365324210114E-06","1.50061249732971","4.77845674140553E-09"
"67","17.854962","1.00019550323486","1.66587471994717E-06","1.60064077377319","4.98812813276572E-09"
"68","17.998337","1.00019478797913","1.87431328413368E-06","1.70066714286804","5.15280618174074E-09"
"69","18.141713","1.00019240379333","2.09317317967361E-06","1.80069208145142","5.29068477916894E-09"
"70","18.285089","1.00019311904907","2.35459083341993E-06","1.90072393417358","5.47325118560593E-09"
"71","18.428464","1.00019121170044","2.61164541370817E-06","2.00074982643127","5.61529400755489E-09"
"72","18.571839","1.0001904964447","2.88361070488463E-06","2.10037708282471","5.81668002652691E-09"
"73","18.715214","1.00019145011902","3.17968715535244E-06","2.20065355300903","5.96860294521662E-09"
"74","18.858589","1.00018978118896","3.4600911931193E-06","2.30056285858154","6.14609607652028E-09"
"75","19.001965","1.00018787384033","3.77156243303034E-06","2.40080595016479","6.30481222785306E-09"
"76","19.14534","1.00018835067749","4.10206439482863E-06","2.50075340270996","6.43559339152944E-09"
"77","19.288715","1.00018906593323","4.42742339146207E-06","2.60065793991089","6.6559171507663E-09"
"78","19.43209","1.00018811225891","4.78265155834379E-06","2.70088911056519","6.78698164335856E-09"
"79","19.575465","1.00018501281738","5.15373949383502E-06","2.8007984161377","6.93248747296593E-09"
"80","19.718839","1.00018334388733","5.49655533177429E-06","2.90103673934937","7.14920656008644E-09"
"81","19.862214","1.00018167495728","5.8708619690151E-06","3.00091981887817","7.28351468026744E-09"
"82","20.005589","1.00018239021301","6.23295545665314E-06","3.10089588165283","7.47389350408412E-09"
"83","20.148964","1.00018215179443","6.65056313664536E-06","3.20109844207764","7.62752616623175E-09"
"84","20.292339","1.00018095970154","7.03648083799635E-06","3.30096244812012","7.74057173913434E-09"
"85","20.435714","1.00017809867859","7.40413770472514E-06","3.40118408203125","7.93508547758393E-09"
"86","20.579089","1.00018000602722","7.77830337028718E-06","3.50117444992065","8.14335976428993E-09"
"87","20.722464","1.00017929077148","8.1720882008085E-06","3.60138416290283","8.29950064229479E-09"
"88","20.865839","1.00017786026001","8.58155090099899E-06","3.70131969451904","8.49806092162453E-09"
"89","21.009214","1.00017857551575","8.98705729923677E-06","3.8012433052063","8.72191296963365E-09"
"90","21.152589","1.00017952919006","9.4121905931388E-06","3.90145778656006","8.84259776512408E-09"
"91","21.295964","1.00017857551575","9.78220123215578E-06","4.0013575553894","9.09791797454318E-09"
"92","21.57311","1.00018501281738","9.91758042800939E-06","4.10159587860107","9.27753696089439E-09"
"93","21.716642","1.00018739700317","1.03286502053379E-05","4.20145988464355","9.28223631291303E-09"
"94","21.860017","1.00018715858459","1.07261175799067E-05","4.30135488510132","9.49443101916359E-09"
"95","22.003392","1.00018620491028","1.11510507849744E-05","4.40160989761353","9.68614788376954E-09"
"96","22.146767","1.00018548965454","1.15532511699712E-05","4.50154781341553","9.3600514006198E-09"
"97","22.468969","1.00018882751465","1.15692610052065E-05","4.60173368453979","9.45696232435012E-09"
"98","22.791017","1.00018692016602","1.16342425826588E-05","4.70166683197021","9.56615231473279E-09"
"99","23.113321","1.00019001960754","1.18215084512485E-05","4.80192899703979","1.01324442169926E-08"
"100","23.256696","1.00019145011902","1.22962474051747E-05","4.90186929702759","1.04709032555661E-08"
"101","23.400071","1.00019192695618","1.2683832210314E-05","5.00175952911377","1.08168958234955E-08"
"102","23.543446","1.00019216537476","1.1542391803232E-05","4.90183353424072","9.7350003613883E-09"
"103","23.865492","1.00019311904907","1.03391766970162E-05","4.80193376541138","8.90360585259486E-09"
"104","24.142842","1.00018739700317","9.4151628218242E-06","4.70167875289917","8.35465030490923E-09"
"105","24.286217","1.00018858909607","8.63538389239693E-06","4.60178852081299","7.85462628272171E-09"
"106","24.429593","1.00018858909607","7.96428776084213E-06","4.50156927108765","7.30300175888488E-09"
"107","24.572968","1.00018811225891","7.28205441191676E-06","4.40165281295776","6.93541624130489E-09"
"108","24.716343","1.00019025802612","6.63939454170759E-06","4.30140495300293","6.43900044394741E-09"
"109","24.859718","1.0001904964447","6.06401545155677E-06","4.20147895812988","6.04088068456576E-09"
"110","25.003093","1.00019097328186","5.51267112314235E-06","4.10154819488525","5.62228441580714E-09"
"111","25.146469","1.0001916885376","5.01643626193982E-06","4.00130748748779","5.20084020294576E-09"
"112","25.289844","1.00019407272339","4.53931579613709E-06","3.9014196395874","4.85593654175887E-09"
"113","25.433219","1.00019574165344","4.12170538766077E-06","3.80119562149048","4.4958450295951E-09"
"114","25.576594","1.00019502639771","3.71601686310896E-06","3.70126008987427","4.12274125949352E-09"
"115","25.719969","1.00019264221191","3.34143282998411E-06","3.60134124755859","3.83395448722013E-09"
"116","25.863344","1.00019001960754","3.0037497253943E-06","3.50112438201904","3.44875816793433E-09"
"117","26.006719","1.00019025802612","2.66649840341415E-06","3.40115785598755","3.10822012572487E-09"
"118","26.150094","1.00018930435181","2.37015728998813E-06","3.30091714859009","2.82481438240723E-09"
"119","26.293469","1.00018906593323","2.10410348699952E-06","3.20104598999023","2.50019427383563E-09"
"120","26.436845","1.0001859664917","1.85340991265548E-06","3.10081481933594","2.2668289467731E-09"
"121","26.58022","1.00018668174744","1.62377477863629E-06","3.00087213516235","1.96044913636229E-09"
"122","26.723596","1.00018572807312","1.43156410103984E-06","2.90098190307617","1.68917180243255E-09"
"123","26.866971","1.00018787384033","1.25054236832511E-06","2.80074834823608","1.4478480636626E-09"
"124","27.010346","1.00018858909607","1.08505844309548E-06","2.70082235336304","1.17428300416833E-09"
"125","27.287692","1.00018548965454","9.19606350180402E-07","2.60058641433716","1.98810812257477E-09"
"126","28.109589","1.00018620491028","8.07310698291985E-07","2.50068426132202","1.1556839929483E-09"
"127","28.252964","1.00018644332886","6.79820630011818E-07","2.40075826644897","1.69935587823744E-09"
"128","29.208745","1.00018954277039","5.78107858473231E-07","2.30051517486572","1.57132740152832E-09"
"129","30.164552","1.00018954277039","4.78826166272484E-07","2.20064640045166","1.44628164999716E-09"
"130","31.120293","1.00019502639771","3.84315853807493E-07","2.10036993026733","1.29335164800182E-09"
"131","32.075978","1.00019550323486","3.06162348806538E-07","2.0007529258728","1.14998577327441E-09"
"132","33.031672","1.00019550323486","2.44092234424897E-07","1.90072846412659","9.63550350618902E-10"
"133","33.808733","1.00019216537476","1.92761177686407E-07","1.80069875717163","4.13332340576389E-10"
"134","33.952108","1.00019192695618","1.48599383464898E-07","1.70067739486694","6.87481849226401E-10"
"135","35.3628","1.00018882751465","1.13696813741626E-07","1.60065126419067","1.46589754224102E-10"
"136","35.684851","1.00018739700317","8.51572536930689E-08","1.5006206035614","-2.54424675771858E-10"
"137","35.828227","1.00018811225891","5.87985056199614E-08","1.40058970451355","-4.21601531463978E-10"
"138","35.971603","1.00018954277039","4.11168343816826E-08","1.30052280426025","-7.79001307904537E-10"
"139","36.114978","1.0001904964447","2.70475144503735E-08","1.20049047470093","-6.07248529238547E-10"
"140","36.437326","1.00019216537476","1.7875862567962E-08","1.10045838356018","-1.04880804041585E-09"
"141","36.580701","1.0001916885376","1.10393880703441E-08","1.00042414665222","-1.3405728749305E-09"
"142","36.902753","1.00019025802612","6.42093533897992E-09","0.900385856628418","-1.57782076293245E-09"
"143","37.046128","1.00018978118896","3.51905948825504E-09","0.800342559814453","-1.57153723367998E-09"
"144","37.189503","1.00018978118896","1.80786252634846E-09","0.700301170349121","-1.82883741484119E-09"
"145","37.966555","1.00019001960754","9.33209509668131E-10","0.600221872329712","-2.05096850613984E-09"
"146","38.109931","1.00018811225891","7.17217285561844E-10","0.500188827514648","-1.80601711363693E-09"
"147","38.253306","1.00018692016602","4.06202543823397E-10","0.400148391723633","-1.96147675879388E-09"
"148","38.396682","1.00018882751465","1.97577953997552E-10","0.300096273422241","-2.30950125690299E-09"
"149","39.173827","1.00019645690918","1.51482819343851E-11","0.200100138783455","-2.57926946467535E-09"
"150","39.317203","1.0001974105835","1.3266885853791E-11","0.100066043436527","-2.22700236029993E-09"
"151","39.460578","1.00019979476929","8.78770320400513E-12","1.76668163476279E-05","-2.47241493944728E-09"
"152","39.603959","1.00019955635071","6.47227757499813E-12","-0.100066617131233","-2.77508616086664E-09"
"153","39.747334","1.00019955635071","5.49015997594604E-12","-0.200105354189873","-2.96000246535755E-09"
"154","39.890709","1.00019979476929","5.11715409629021E-12","-0.300203084945679","-3.18331117021842E-09"
"155","40.034084","1.00019812583923","4.95215674023441E-12","-0.400245666503906","-3.40800521136941E-09"
"156","40.177459","1.00019788742065","4.89333877237708E-12","-0.500283002853394","-3.54862206286555E-09"
"157","40.320834","1.00019836425781","4.86540798969037E-12","-0.600351572036743","-3.75258579765614E-09"
"158","40.464209","1.00019907951355","4.862022676827E-12","-0.700386762619019","-3.92766486001506E-09"
"159","40.607584","1.00019693374634","4.85457203949768E-12","-0.800455331802368","-4.07469880059352E-09"
