	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019192695618","2.88486492723908E-13","1.43766401379253E-05","-7.74955783138659E-13"
"2","0.143375","1.00019311904907","2.78794782399006E-13","8.535384949937E-06","-2.40175015292499E-11"
"3","0.28675","1.00019383430481","2.67148011611623E-13","8.6307527453755E-06","-2.7403617569588E-11"
"4","0.430125","1.00019454956055","2.473115841891E-13","9.51290166995022E-06","-2.70469428104159E-11"
"5","0.5735","1.00019431114197","2.42924685358789E-13","7.96318090579007E-06","-2.69269346403478E-11"
"6","0.716876","1.00019383430481","2.45010852968977E-13","5.76972979615675E-06","-2.8564178800039E-11"
"7","0.860251","1.00019383430481","2.51150147770676E-13","3.24249276673072E-06","-3.01052325429874E-12"
"8","1.003627","1.0001916885376","2.50256060449136E-13","4.38690176451928E-06","-2.60337949115064E-11"
"9","1.147002","1.00019192695618","2.35319142644075E-13","1.95503230315808E-06","-8.46984374996973E-12"
"10","1.290378","1.00019264221191","2.31504431510293E-13","7.86781299666472E-07","-4.00746484607861E-11"
"11","1.433754","1.00019335746765","2.29585176824559E-13","1.14440922516224E-06","-1.84966798821851E-11"
"12","1.577129","1.00019431114197","2.16078755365876E-13","-7.62939464493684E-07","-2.61209855828559E-11"
"13","1.720504","1.00019383430481","2.09546098463471E-13","-2.86102306290559E-07","-4.29989117228802E-12"
"14","1.863879","1.00019192695618","2.05445293481425E-13","7.86781299666472E-07","-9.31038839774301E-12"
"15","2.007254","1.00019192695618","2.07626816672683E-13","2.16960916077369E-06","-1.05288033066392E-12"
"16","2.15063","1.00019145011902","1.94883348282777E-13","2.38418582654276E-08","1.07786652867037E-12"
"17","2.294005","1.0001904964447","1.95539005994061E-13","5.72204612581118E-07","-3.58251340919213E-12"
"18","2.437381","1.00018882751465","1.91295154087882E-13","3.64780430572864E-06","-5.68600895534122E-12"
"19","2.580756","1.0001904964447","1.92856784687022E-13","2.86102306290559E-07","-3.87456429787325E-12"
"20","2.724131","1.00019001960754","1.94633006001151E-13","4.76837165308552E-08","-9.17015074985983E-12"
"21","2.867506","1.00018763542175","1.86014181488559E-13","1.85966496246692E-06","-1.42010448539454E-12"
"22","3.010881","1.00018787384033","1.7954111504806E-13","2.8371812277328E-06","1.19379879245929E-11"
"23","3.154256","1.00018954277039","1.75619122109311E-13","2.12192549042811E-06","-2.17204097589796E-12"
"24","3.297632","1.00018906593323","1.80268289445146E-13","2.50339508056641E-06","2.31393571838157E-12"
"25","3.441007","1.0001859664917","1.76525122102221E-13","2.64644631897681E-06","-8.32462310890181E-12"
"26","3.584383","1.00018525123596","1.92785268001219E-13","4.8637389227224E-06","8.57465314030303E-12"
"27","3.727758","1.00018501281738","1.90448758109404E-13","7.29560861145728E-06","-8.64945701867237E-12"
"28","3.871133","1.00018215179443","1.81818007372915E-13","8.79764593264554E-06","-1.62567372757882E-11"
"29","4.014508","1.00018215179443","1.82509430203363E-13","6.05583181823022E-06","-2.94177876503099E-11"
