	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019407272339","2.73650879734078E-08","6.15119961366872E-06","-5.91249488604562E-12"
"2","0.776895","1.0001904964447","2.74270544053934E-08","7.36713400328881E-06","-1.48095737062537E-11"
"3","0.92027","1.00018954277039","2.73303992770479E-08","7.67707842896925E-06","-1.64176346129086E-11"
"4","1.063645","1.00019097328186","2.75789986403652E-08","5.88893908570753E-06","-1.67100187853375E-11"
"5","1.20702","1.00019145011902","2.74069673622535E-08","3.98159045289503E-06","-1.32460951929314E-11"
"6","1.350395","1.00019121170044","2.75247931114109E-08","3.26633448821667E-06","-1.78177004400704E-11"
"7","1.49377","1.00018906593323","2.73283724538942E-08","9.77516151579039E-07","-3.94274023152175E-12"
"8","1.637145","1.00018906593323","2.72184621508131E-08","-1.57356259933294E-06","-5.37387148669133E-12"
"9","1.78052","1.0001859664917","2.72346625251885E-08","-2.19345088225964E-06","-1.52357345489795E-11"
"10","1.923895","1.00018739700317","2.744796390175E-08","-3.79085554413905E-06","1.30393387060002E-11"
"11","2.067271","1.00018429756165","2.7495170584757E-08","-3.12328347717994E-06","6.11275439987846E-12"
"12","2.210647","1.00018239021301","2.79903886735156E-08","-3.86238116334425E-06","1.95996756151284E-12"
"13","2.354022","1.00018501281738","2.78426046662616E-08","-1.31130218505859E-06","-9.67323768828743E-13"
"14","2.497397","1.00018358230591","2.73087739088851E-08","2.50339508056641E-06","1.14381793966944E-11"
"15","2.640772","1.00018405914307","2.74514206921594E-08","9.05990589217254E-07","-7.61928541093138E-12"
"16","2.784147","1.00018262863159","2.78398033515259E-08","-1.04904177078424E-06","-1.22008323583112E-11"
"17","2.927521","1.00018358230591","2.76171689961302E-08","-3.57627868652344E-07","-2.61838445890505E-12"
"18","3.070897","1.00018429756165","2.75887259704177E-08","-2.86102306290559E-07","-8.58414207771663E-12"
"19","3.214272","1.00018501281738","2.7638519028983E-08","-5.96046447753906E-07","6.34921802633581E-12"
"20","3.357648","1.00018692016602","2.72169948800638E-08","4.29153459435838E-07","-8.6463570678208E-12"
"21","3.501023","1.00018858909607","2.74140710132542E-08","3.76701359527942E-06","-1.2161743834227E-11"
"22","3.644398","1.00019192695618","2.7550507653018E-08","1.74045567291614E-06","-1.09963418579162E-11"
"23","3.787774","1.00019216537476","2.83573875492493E-08","3.81469732246842E-07","-1.48574832992132E-11"
"24","3.931149","1.00019216537476","2.82103549409385E-08","2.52723702942603E-06","-2.64733200638911E-11"
"25","4.074524","1.00019454956055","2.82240506521703E-08","5.91278103456716E-06","-3.09714927315685E-11"
"26","4.217899","1.00019192695618","2.84035213127254E-08","6.29425039733178E-06","-2.04234129608238E-11"
"27","4.361273","1.00019192695618","2.8605771973389E-08","5.22136679137475E-06","-3.31513635987157E-11"
"28","4.504648","1.00019240379333","2.83545613655178E-08","5.17368334840285E-06","-3.08959489936367E-11"
"29","4.648023","1.00019478797913","2.79390093282927E-08","6.46114358460181E-06","-1.69143796191484E-11"
"30","4.791398","1.00019717216492","2.78945453402457E-08","4.41074371337891E-06","-1.99617510021621E-11"
"31","4.934773","1.00019860267639","2.76048908176563E-08","3.86238116334425E-06","-2.18955999164994E-11"
"32","5.078148","1.00020027160645","2.74819491608014E-08","4.52995300292969E-06","-5.79247500659408E-12"
"33","5.221523","1.00020027160645","2.73136020467746E-08","4.31537637268775E-06","-1.2902891428912E-11"
"34","5.364898","1.00019764900208","2.73965010677557E-08","5.50746926819556E-06","-1.62525531227642E-11"
"35","5.508273","1.00019502639771","2.77671095005871E-08","4.05311584472656E-06","-6.66503918028694E-12"
"36","5.651648","1.00019550323486","2.76639937624168E-08","3.814697265625E-06","-3.2740903738171E-11"
"37","5.795023","1.00019550323486","2.72981530713423E-08","5.93662252867944E-06","-3.37694421037593E-11"
"38","5.938398","1.00019526481628","2.75576468311556E-08","7.20024127076613E-06","-3.01181093953495E-11"
"39","6.081773","1.00019478797913","2.78389808983093E-08","7.77244622440776E-06","-3.78903401709874E-11"
"40","6.225148","1.0001962184906","2.78141385479103E-08","7.31945056031691E-06","-2.72403245793473E-11"
"41","6.368524","1.00019669532776","2.76680243160854E-08","9.51290166995022E-06","-1.29055620357033E-11"
"42","6.5119","1.00020146369934","2.80527601148606E-08","1.21831899377867E-05","-1.0077714704404E-11"
"43","6.655275","1.00020217895508","2.79447558426682E-08","1.31607057483052E-05","-4.93050825861596E-12"
"44","6.79865","1.00020265579224","2.81208993868631E-08","1.41620639624307E-05","-5.80784075346341E-12"
