	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00020217895508","3.44727277479251E-06","5.00186443328857","1.55349493269341E-08"
"2","0.321993","1.00020289421082","2.67929431174707E-06","4.90192174911499","1.35466455830624E-08"
"3","0.465367","1.0002019405365","2.36679420595465E-06","4.80197191238403","1.21968151134411E-08"
"4","0.608742","1.00020027160645","2.09686754715221E-06","4.70169067382813","1.11302851379946E-08"
"5","0.752117","1.00020456314087","1.86395641321724E-06","4.60177659988403","1.02658272993494E-08"
"6","0.895492","1.00020599365234","1.64660684731643E-06","4.50154542922974","9.58072376988639E-09"
"7","1.217525","1.00020456314087","1.43193483381765E-06","4.40167188644409","8.64690630208997E-09"
"8","1.360901","1.00020456314087","1.26251927667909E-06","4.30140495300293","8.02125121879271E-09"
"9","1.504276","1.00020408630371","1.09915731627552E-06","4.20151472091675","7.46290318431875E-09"
"10","1.781613","1.00019693374634","9.64940340963949E-07","4.10161018371582","6.89280632570899E-09"
"11","1.924988","1.00019454956055","8.42173335513507E-07","4.00136709213257","6.41225339492735E-09"
"12","2.068363","1.00019526481628","7.15200314971298E-07","3.9014744758606","5.90517501564136E-09"
"13","2.211737","1.00019574165344","6.20286357388977E-07","3.80124807357788","5.43123013230229E-09"
"14","2.355112","1.00019383430481","5.33132322289021E-07","3.70132207870483","4.99004482179544E-09"
"15","2.498487","1.0001916885376","4.56509837931662E-07","3.60142707824707","4.5739816378898E-09"
"16","2.641862","1.00019335746765","3.930162222332E-07","3.50120782852173","4.18275591940187E-09"
"17","2.785237","1.00019478797913","3.35902086590067E-07","3.40121984481812","3.8333989316186E-09"
"18","2.928612","1.00019502639771","2.85031319435802E-07","3.30100297927856","3.45763195852555E-09"
"19","3.071987","1.00019478797913","2.41939318357254E-07","3.2011079788208","3.11933989749491E-09"
"20","3.215362","1.00019431114197","2.02373740876283E-07","3.10089111328125","2.81299472604246E-09"
"21","3.358737","1.00019359588623","1.67172188980658E-07","3.00092458724976","2.47303000300292E-09"
"22","3.502112","1.0001962184906","1.40876167620263E-07","2.90102005004883","2.18062279344622E-09"
"23","3.645487","1.0001974105835","1.17142796796088E-07","2.80079364776611","1.89938309524962E-09"
"24","3.967544","1.00019311904907","9.83816548227878E-08","2.70086765289307","1.52851098444984E-09"
"25","4.110919","1.00019478797913","7.97272932118176E-08","2.60066032409668","1.46817802360033E-09"
"26","4.254294","1.00019788742065","6.42235988834727E-08","2.50074863433838","1.16379139658562E-09"
"27","4.397669","1.00019955635071","5.14413365237942E-08","2.40076541900635","1.81913017982538E-09"
"28","5.353391","1.00019574165344","4.38768985588922E-08","2.30057954788208","1.68877478667895E-09"
"29","6.309107","1.00019669532776","3.49517712550096E-08","2.20073461532593","1.4699530481721E-09"
"30","7.265017","1.00019359588623","2.70283351255785E-08","2.10038900375366","1.33528232915125E-09"
"31","8.220722","1.00018978118896","2.09028367947894E-08","2.00075793266296","1.2019681916442E-09"
"32","9.176546","1.00019311904907","1.5232814121191E-08","1.90072703361511","1.05895037183501E-09"
"33","10.132237","1.00019669532776","1.07772351043423E-08","1.80069875717163","8.41577030286089E-10"
"34","11.087976","1.00019860267639","8.27863200214551E-09","1.7006733417511","3.19373361090669E-10"
"35","11.231351","1.00019860267639","5.51141621230045E-09","1.60063910484314","6.16836748346117E-10"
"36","12.642034","1.00019979476929","3.78228648401091E-09","1.50061798095703","5.43051936752192E-10"
"37","14.052745","1.00019550323486","2.86150925177253E-09","1.40058469772339","4.51924914157686E-10"
"38","15.463553","1.00019311904907","1.71070813070884E-09","1.30051302909851","3.36775052289795E-10"
"39","16.874403","1.00018858909607","1.12070563940136E-09","1.20047998428345","-1.95402138913892E-10"
"40","17.651453","1.00018763542175","7.09786618369179E-10","1.10044741630554","-5.9516547246119E-10"
"41","17.794828","1.0001859664917","6.01816041445602E-10","1.00041151046753","-5.34312483146948E-10"
"42","17.938203","1.0001859664917","4.15840140099988E-10","0.900372743606567","-9.31255184077884E-10"
"43","18.081579","1.00018763542175","2.70299893578851E-10","0.800328731536865","-6.67517208174928E-10"
"44","18.403871","1.00018835067749","1.48164619462321E-10","0.700286149978638","-1.22249599332491E-09"
"45","18.547246","1.00018882751465","1.06569288116365E-10","0.600208520889282","-1.46214718110826E-09"
"46","19.324318","1.00019001960754","4.61692212239129E-11","0.500176668167114","-1.66454194872045E-09"
"47","19.467694","1.00018930435181","4.34613352251478E-11","0.400137424468994","-1.44333001106389E-09"
"48","19.611069","1.0001904964447","4.02294413059945E-11","0.300086498260498","-1.72814607068972E-09"
"49","19.754445","1.00019025802612","4.56526275116609E-11","0.200092419981956","-1.95381044676424E-09"
"50","19.89782","1.00019097328186","6.2074914652932E-11","0.100054197013378","-2.15649831325493E-09"
"51","20.041195","1.00019001960754","9.07435515618005E-11","5.17368334840285E-06","-2.37024777582917E-09"
"52","20.818238","1.00018954277039","5.65276124520064E-11","-0.100090265274048","-2.49814391395375E-09"
"53","21.595474","1.00019383430481","5.10522145391601E-11","-0.200125202536583","-2.17772244681669E-09"
