	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	5
	...Stop,	-5
	...Step,	-0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00020217895508","3.19528567160887E-06","5.00184059143066","1.60571094198758E-08"
"2","0.321976","1.00019979476929","2.5690912934806E-06","4.90190029144287","1.38218645417965E-08"
"3","0.465351","1.00019669532776","2.28529916057596E-06","4.80197668075562","1.25503900605395E-08"
"4","0.608727","1.00019550323486","2.03125591724529E-06","4.70169544219971","1.13949178981443E-08"
"5","0.752102","1.00019812583923","1.818958480726E-06","4.60178852081299","1.04969979375369E-08"
"6","0.895478","1.00019598007202","1.62056437602587E-06","4.50154781341553","9.75388658730481E-09"
"7","1.217562","1.00019693374634","1.42827866511652E-06","4.40165042877197","8.76983996533909E-09"
"8","1.360937","1.00019550323486","1.25621909319307E-06","4.3013596534729","8.16900325162351E-09"
"9","1.504312","1.00019693374634","1.10283963294933E-06","4.20147895812988","7.64670726738359E-09"
"10","1.781668","1.00019240379333","9.59907310971175E-07","4.10158395767212","7.13099845839338E-09"
"11","1.925043","1.00019383430481","8.41114626837225E-07","4.00135517120361","6.59058940755131E-09"
"12","2.068418","1.00019335746765","7.32626801891456E-07","3.9014744758606","6.08660455370114E-09"
"13","2.211793","1.0001962184906","6.37140146864112E-07","3.80125999450684","5.56039081445192E-09"
"14","2.355168","1.00019788742065","5.47442425613553E-07","3.70134830474854","5.18500575807934E-09"
