	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00018191337585","2.10641615261409E-10","9.84668713499559E-06","4.10166995853944E-12"
"2","0.143375","1.00018215179443","2.09690209640456E-10","1.00851057140972E-05","-2.67311346668908E-11"
"3","0.286751","1.00018167495728","2.06479902620238E-10","1.02281574072549E-05","-5.20595788700007E-11"
"4","0.430127","1.00018095970154","2.07488179415627E-10","8.01086480350932E-06","-4.40312612759453E-11"
"5","0.573502","1.00018072128296","2.09508646542567E-10","7.12871542418725E-06","-3.64080085524243E-11"
"6","0.716878","1.00018000602722","2.0862221672413E-10","4.79221353089088E-06","-3.16040769943182E-11"
"7","0.860253","1.00018048286438","2.08250999778059E-10","5.05447405885207E-06","-2.44271044363975E-11"
"8","1.003628","1.00018239021301","2.07800499030242E-10","6.48498553346144E-06","-1.03423953429216E-11"
"9","1.147003","1.00018239021301","2.09660885874818E-10","6.36577624391066E-06","-5.65286636944329E-11"
"10","1.290379","1.00018405914307","2.06173536576593E-10","5.24520874023438E-06","-3.52650512958075E-11"
"11","1.433754","1.00018572807312","2.03068964421682E-10","3.38554377776745E-06","-3.41808803483445E-11"
"12","1.57713","1.00018572807312","2.0490192875755E-10","2.50339508056641E-06","-6.08027586612714E-11"
