	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00018501281738","2.52189269467351E-10","2.86102306290559E-07","-5.79252271148967E-12"
"2","0.143376","1.00018572807312","2.5249219381962E-10","-3.71932992493385E-06","-7.64460543478673E-12"
"3","0.286751","1.0001847743988","2.5151405957935E-10","-5.00679050219333E-07","-7.84864447739286E-12"
"4","0.430127","1.00018429756165","2.53603693600724E-10","1.19209289550781E-07","-1.71244025903849E-11"
"5","0.573502","1.00018548965454","2.57604243492082E-10","-2.7656556085276E-06","-9.56348195080281E-12"
"6","0.716877","1.00018644332886","2.6189195256876E-10","7.15255737304688E-07","-1.08710644652898E-11"
"7","0.860252","1.00018405914307","2.67551897303875E-10","-1.52587892898737E-06","-1.94983838103235E-11"
"8","1.003627","1.00018692016602","2.70953648406902E-10","-2.38418579101563E-07","-3.30253836430816E-12"
"9","1.147002","1.00018858909607","2.72001032808333E-10","7.62939464493684E-07","-5.81175082017826E-12"
"10","1.290378","1.00018787384033","2.71762973236278E-10","4.0531159584134E-07","-8.66024526396947E-12"
"11","1.433754","1.00019216537476","2.72784100863177E-10","-1.78813934326172E-06","-8.96397799737825E-12"
"12","1.57713","1.00019073486328","2.74525402410575E-10","2.09808354156849E-06","-1.46727803518321E-11"
"13","1.720505","1.00019121170044","2.77647238533518E-10","3.24249276673072E-06","-1.45531295348E-11"
"14","1.86388","1.00019001960754","2.81981826777411E-10","7.15255765726397E-08","1.0127425157172E-12"
"15","2.007255","1.00019001960754","2.82519563299388E-10","1.9788742520177E-06","-3.94833081160395E-12"
"16","2.15063","1.00018930435181","2.84708256970134E-10","6.43730174942903E-07","-1.00390312382515E-11"
"17","2.294006","1.00019001960754","2.8347837965903E-10","8.34465026855469E-07","-4.56950666541389E-12"
"18","2.437381","1.00019192695618","2.84080009516074E-10","7.15255765726397E-08","-1.07364659697462E-12"
"19","2.580757","1.00019240379333","2.87013773858646E-10","-3.52859501617786E-06","-8.90049926122183E-12"
"20","2.724133","1.00019240379333","2.89902213346238E-10","-5.31673458681325E-06","-1.7286658215987E-12"
"21","2.867508","1.00019383430481","2.91022539400387E-10","-6.36577624391066E-06","-2.08997853745618E-11"
"22","3.010883","1.00019311904907","2.92087187769852E-10","-7.00950613463647E-06","-3.13417451713871E-11"
"23","3.154258","1.00019454956055","2.90152651905018E-10","-6.05583181823022E-06","-2.18521364198088E-11"
"24","3.297633","1.00019717216492","2.89471252523654E-10","-9.08374840946635E-06","-3.46390728600543E-11"
"25","3.441008","1.00019598007202","2.88660872982405E-10","-9.67979485722026E-06","-3.5141028975616E-11"
"26","3.584383","1.00019383430481","2.90442087047538E-10","-7.10487393007497E-06","-1.94998860808537E-11"
"27","3.727759","1.00019311904907","2.91485779957412E-10","-6.10351571594947E-06","-3.02309982602722E-11"
"28","3.871134","1.0001962184906","2.94086699437202E-10","-5.79357174501638E-06","-1.63975829442498E-11"
"29","4.014509","1.00019502639771","2.94311269799508E-10","-5.6743624554656E-06","-1.13924859129755E-11"
